MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txdel_qm1,blue,frc7750,frc6315,frc7264,32,59,0,12,2,5,5,2,0,5,2,2,9,0,0,0,3,3,3,3,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,20,0,0,0,0,32
2019txdel_qm1,red,frc7492,frc1477,frc1817,59,32,0,9,5,5,5,0,5,2,5,5,18,0,0,0,6,12,3,0,9,21,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,41,0,0,0,0,59
2019txdel_qm10,blue,frc7063,frc5726,frc3035,51,80,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,10,0,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,36,0,0,0,0,51
2019txdel_qm10,red,frc4378,frc3481,frc7521,80,51,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,3,0,0,30,6,0,5,5,5,8,2,0,2,0,0,0,2,0,2,2,2,2,2,2,6,3,6,2,15,0,35,0,0,0,0,80
2019txdel_qm11,blue,frc1477,frc1164,frc3997,59,37,0,15,5,5,5,0,0,5,5,5,18,0,0,0,12,3,3,1,6,18,30,5,5,5,2,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,38,0,0,0,0,59
2019txdel_qm11,red,frc4219,frc4694,frc4639,37,59,0,12,2,5,5,0,0,2,5,2,9,0,0,0,3,3,3,2,3,9,0,5,5,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,22,0,0,0,0,37
2019txdel_qm12,blue,frc4412,frc5572,frc6935,75,89,0,9,5,5,5,5,5,5,5,2,21,0,0,0,3,3,3,4,30,9,0,3,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,1,36,0,0,0,0,75
2019txdel_qm12,red,frc5892,frc3240,frc5427,89,75,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,3,3,0,22,12,0,5,5,5,10,0,5,2,5,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,3,52,0,0,0,0,89
2019txdel_qm13,blue,frc6377,frc4332,frc1817,45,42,0,12,5,5,5,2,5,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,33,0,0,0,0,45
2019txdel_qm13,red,frc6800,frc457,frc7138,42,45,0,12,2,5,2,5,5,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,30,0,0,0,0,42
2019txdel_qm14,blue,frc5894,frc7750,frc3481,52,57,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,3,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,37,0,0,0,0,52
2019txdel_qm14,red,frc7088,frc6830,frc7521,57,52,0,15,5,5,5,0,0,5,5,2,18,0,0,0,0,3,6,0,9,9,0,5,5,5,6,5,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,6,2,15,0,33,0,0,0,0,57
2019txdel_qm15,blue,frc4063,frc4694,frc6180,50,47,0,9,2,2,2,5,5,5,5,5,15,0,0,0,12,3,3,0,0,18,30,5,5,5,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,41,0,0,0,0,50
2019txdel_qm15,red,frc3035,frc653,frc5892,47,50,0,12,5,5,5,0,5,5,5,5,21,0,0,0,3,3,6,0,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,35,0,0,0,0,47
2019txdel_qm16,blue,frc6800,frc6935,frc7063,44,27,0,9,2,5,5,5,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,35,2,0,0,0,44
2019txdel_qm16,red,frc1164,frc7264,frc5726,27,44,0,6,5,5,5,0,0,5,5,2,15,0,0,0,3,3,3,0,0,6,0,5,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,21,0,0,0,0,27
2019txdel_qm17,blue,frc7138,frc3240,frc5986,34,38,0,9,5,2,5,0,2,5,5,5,15,0,0,0,0,3,3,0,0,6,0,5,5,3,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,25,0,0,0,0,34
2019txdel_qm17,red,frc4219,frc5894,frc6315,38,34,0,12,2,5,5,2,0,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,26,0,0,0,0,38
2019txdel_qm18,blue,frc3545,frc4639,frc4332,26,54,0,15,2,2,5,2,0,5,2,2,6,0,0,0,0,3,0,1,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,11,0,0,0,0,26
2019txdel_qm18,red,frc1817,frc3997,frc5572,54,26,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,0,0,13,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,26,0,0,0,0,54
