Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7750,11.44,18.13,0.00,5.29,1.02,1.20,1.66,1.44,1.08,1.33,1.12,0.41,4.14,-0.20,0.00,0.00,-0.27,0.60,1.59,0.30,-1.07,2.01,1.25,1.75,1.64,1.70,1.07,0.17,-0.42,0.40,-0.11,-0.03,-0.05,0.04,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.16,2.06,2.02,0.10,5.29,-0.08,7.22,0.03,-0.01,-0.00,-0.01,11.44,
frc6315,14.41,19.73,0.00,3.33,1.95,1.77,2.30,1.02,0.07,1.67,1.09,1.70,7.11,-0.88,0.00,0.00,1.44,0.52,1.92,0.50,0.09,3.44,0.71,1.79,1.62,1.44,0.44,0.13,-0.24,-0.02,0.03,-0.04,-0.09,0.14,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.34,0.70,0.99,0.14,3.33,0.17,10.99,-0.07,-0.01,0.16,0.02,14.41,
frc7264,5.80,14.81,0.00,3.90,0.82,1.31,1.11,-0.71,-0.58,1.34,0.38,-0.02,0.28,1.76,0.00,0.00,0.66,0.89,1.98,1.17,-0.82,3.27,1.72,1.74,1.66,0.99,-0.82,-0.15,-0.39,0.31,-0.34,0.16,-0.06,0.28,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,2.53,1.64,1.02,0.10,3.90,-0.00,2.73,-0.07,-0.02,-0.02,0.00,5.80,
frc7492,18.27,12.49,0.00,3.44,1.41,1.30,1.34,1.53,0.82,0.78,1.84,1.63,6.86,-0.26,0.00,0.00,2.00,1.25,1.11,0.05,1.70,4.49,0.27,1.66,1.48,1.71,1.78,0.42,0.42,0.28,0.02,-0.06,0.36,-0.05,0.34,0.67,0.67,0.67,0.67,0.67,0.67,1.88,1.31,0.61,0.91,3.44,-0.05,13.12,-0.02,0.01,-0.05,-0.01,18.27,
frc1477,23.66,13.42,0.00,3.79,1.53,1.29,1.75,0.01,1.84,1.24,0.88,1.19,4.98,2.17,0.00,0.00,4.19,3.43,3.46,0.06,0.82,11.22,23.60,1.73,2.00,1.75,2.85,0.53,0.59,-0.10,0.85,0.12,0.29,0.03,0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.48,0.69,2.07,3.79,-0.03,19.05,-0.03,-0.01,0.12,-0.01,23.66,
frc1817,17.76,7.86,0.00,3.37,1.24,1.57,0.93,0.23,1.45,1.82,1.57,1.88,6.91,-0.16,0.00,0.00,0.97,2.42,2.41,-0.09,1.21,5.30,9.43,1.29,1.47,1.82,0.96,0.14,0.55,-0.15,0.34,-0.15,-0.04,-0.21,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.91,1.43,1.18,1.11,3.37,0.04,13.17,-0.02,-0.02,-0.07,0.17,17.76,
frc7063,10.81,15.46,0.00,4.55,1.10,0.95,1.34,1.73,-0.07,0.69,1.15,1.57,3.28,2.56,0.00,0.00,-0.32,0.33,2.32,0.91,0.09,2.46,1.16,1.16,1.83,1.94,0.43,-0.07,-0.16,-0.50,0.13,-0.02,0.02,-0.22,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.02,2.11,1.42,0.07,4.55,0.03,6.17,0.14,-0.02,-0.08,0.00,10.81,
frc5726,10.68,18.05,0.00,1.26,0.34,0.61,0.77,0.75,0.34,1.96,1.69,2.03,4.98,-1.31,0.00,0.00,1.25,1.33,0.09,0.62,0.38,2.32,2.10,1.68,1.38,0.82,1.75,0.23,0.69,0.01,0.35,0.04,-0.04,-0.17,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.13,1.05,0.96,0.14,1.26,-0.00,9.05,0.00,-0.01,-0.01,-0.02,10.68,
frc3035,17.98,15.42,0.00,4.27,1.80,1.87,2.10,0.77,2.04,1.27,1.60,0.90,7.59,-0.29,0.00,0.00,0.74,0.36,2.46,0.71,0.28,3.66,-0.13,1.82,1.72,1.38,2.17,0.91,-0.02,0.83,-0.11,-0.10,-0.02,0.19,0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.84,1.46,1.33,0.37,4.27,-0.03,13.43,-0.04,-0.03,0.01,-0.01,17.98,
frc4378,18.45,11.33,0.00,5.98,1.92,2.01,1.67,0.51,-0.91,1.61,1.01,1.89,5.31,-0.83,0.00,0.00,-0.07,1.90,1.25,0.18,4.20,3.08,1.89,1.78,1.82,1.75,-0.12,-0.12,-0.11,0.30,-0.06,-0.23,-0.05,0.06,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,2.26,1.11,2.01,0.83,5.98,0.06,8.27,-0.03,-0.01,-0.01,-0.01,18.45,
