MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txdls_qm1,blue,frc6751,frc7091,frc7303,17,44,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,0,0,0,6,0,5,5,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,8,0,0,0,0,17
2019txdls_qm1,red,frc7535,frc7506,frc1296,44,17,0,15,5,5,5,0,2,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,29,0,0,0,0,44
2019txdls_qm10,blue,frc3355,frc7091,frc3370,15,26,0,9,2,2,2,0,0,2,2,2,0,0,0,0,0,3,3,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,6,0,0,0,0,15
2019txdls_qm10,red,frc7708,frc6901,frc3282,26,15,0,12,2,2,5,0,0,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,14,0,0,0,0,26
2019txdls_qm11,blue,frc2969,frc5682,frc148,78,40,0,12,5,2,0,0,0,5,5,5,21,0,0,0,3,3,12,0,15,18,30,5,5,5,12,0,5,0,5,0,5,0,2,2,2,2,2,2,2,6,3,3,3,12,0,51,0,2,0,2,78
2019txdls_qm11,red,frc7303,frc7704,frc5242,40,78,0,9,2,2,5,5,5,5,5,5,18,0,0,0,3,3,3,5,0,9,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,31,0,0,0,0,40
2019txdls_qm12,blue,frc1296,frc704,frc5047,57,28,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,0,10,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,32,0,0,0,0,57
2019txdls_qm12,red,frc7119,frc7534,frc7125,28,57,0,12,2,2,2,5,2,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,1,16,0,0,0,0,28
2019txdls_qm13,blue,frc6672,frc7535,frc7120,50,34,0,12,5,5,5,0,0,5,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,38,0,0,0,0,50
2019txdls_qm13,red,frc5411,frc2805,frc5057,34,50,0,12,2,2,5,2,2,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,22,0,0,0,0,34
