MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txelp_qm1,blue,frc5047,frc4063,frc3847,50,7,0,6,2,2,2,5,5,5,5,2,15,0,0,0,0,12,3,0,0,15,30,0,5,5,14,0,2,0,5,0,0,0,0,2,2,2,2,2,2,0,3,3,3,6,0,44,0,0,0,0,50
2019txelp_qm1,red,frc7271,frc6974,frc4301,7,50,0,0,5,0,0,0,0,2,0,2,3,0,0,0,0,0,3,0,0,0,0,3,3,0,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,0,0,7,0,0,0,0,7
2019txelp_qm10,blue,frc4153,frc7540,frc7649,29,20,0,15,0,0,2,0,0,2,0,2,0,0,0,0,3,3,0,0,0,6,0,5,5,5,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,14,0,0,0,0,29
2019txelp_qm10,red,frc5613,frc4301,frc6682,20,29,0,6,0,0,0,0,0,5,2,2,3,0,0,0,3,3,3,0,0,9,0,3,5,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,14,0,0,0,0,20
2019txelp_qm11,blue,frc6974,frc3366,frc4799,30,15,0,6,2,5,5,0,0,5,5,5,15,0,0,0,3,3,0,0,3,6,0,5,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,6,0,21,0,0,0,0,30
2019txelp_qm11,red,frc4328,frc5047,frc5866,15,30,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,6,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,6,0,9,0,6,0,0,0,0,15
2019txelp_qm12,blue,frc4378,frc4717,frc7533,28,48,0,3,0,0,0,0,0,5,5,5,9,0,0,0,3,0,3,0,10,6,0,5,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,3,0,15,0,0,0,0,28
2019txelp_qm12,red,frc6144,frc3847,frc118,48,28,0,9,0,0,0,0,0,2,2,2,12,0,0,0,3,0,12,0,0,15,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,3,9,1,39,2,0,2,0,48
2019txelp_qm13,blue,frc6974,frc457,frc5866,33,50,0,15,0,0,2,0,0,5,5,5,9,0,0,0,3,3,3,2,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,18,0,0,0,0,33
2019txelp_qm13,red,frc1164,frc4063,frc5783,50,33,0,12,0,0,0,5,2,5,0,0,6,0,0,0,3,12,3,0,6,18,30,5,5,5,8,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,32,0,0,0,0,50
2019txelp_qm14,blue,frc5047,frc4799,frc4153,18,25,0,6,5,0,0,0,0,0,0,2,3,0,0,0,3,3,3,0,0,9,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,12,0,0,0,0,18
2019txelp_qm14,red,frc3366,frc3847,frc7540,25,18,0,6,0,0,0,0,2,2,2,2,6,0,0,0,0,0,3,0,0,3,0,3,5,5,10,5,0,5,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,19,0,0,0,2,25
2019txelp_qm15,blue,frc4328,frc4378,frc4063,33,15,0,6,2,2,2,5,5,0,0,0,6,0,0,0,0,3,12,0,0,15,30,0,3,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,6,0,27,0,0,0,0,33
2019txelp_qm15,red,frc2613,frc7533,frc7271,15,33,0,0,2,0,0,0,0,5,5,5,9,0,0,0,0,3,3,0,0,6,0,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,0,0,15,0,0,0,0,15
2019txelp_qm16,blue,frc5613,frc6144,frc7750,28,15,0,3,0,0,0,0,2,0,0,0,0,0,0,0,3,12,3,0,3,18,30,3,3,5,4,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,3,3,0,22,0,0,0,0,28
2019txelp_qm16,red,frc1164,frc6682,frc4717,15,28,0,9,0,0,0,0,0,2,2,2,0,0,0,0,3,0,3,1,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,6,0,0,0,0,15
2019txelp_qm17,blue,frc118,frc457,frc5047,47,19,0,9,2,2,5,0,0,2,2,2,12,0,0,0,12,3,3,0,0,18,30,5,5,5,8,5,0,5,0,5,0,2,0,2,2,2,2,2,2,3,3,3,3,9,0,38,0,0,0,0,47
2019txelp_qm17,red,frc7540,frc7649,frc4301,19,47,0,6,2,2,2,0,2,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,3,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,13,0,0,0,0,19
2019txelp_qm18,blue,frc7750,frc5866,frc4717,34,30,0,15,0,0,0,0,0,5,2,2,3,0,0,0,0,3,3,0,10,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,9,0,0,0,0,34
2019txelp_qm18,red,frc4063,frc7533,frc6682,30,34,0,6,5,0,0,5,5,0,0,0,9,0,0,0,3,3,3,0,0,9,0,5,3,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,1,24,0,0,0,0,30
2019txelp_qm19,blue,frc457,frc4378,frc4301,24,27,0,9,5,5,5,0,0,5,5,2,15,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,15,0,0,0,0,24
2019txelp_qm19,red,frc3847,frc5613,frc4799,27,24,0,3,5,5,5,0,0,0,0,0,9,30,0,0,0,3,3,0,3,6,0,5,3,3,6,0,2,0,2,0,2,0,0,2,2,2,2,2,2,3,3,3,3,3,0,21,0,0,0,0,27
2019txelp_qm2,blue,frc7540,frc6682,frc4799,10,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,3,3,3,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,0,0,10,0,0,0,0,10
2019txelp_qm2,red,frc5613,frc4378,frc1164,13,10,0,3,2,2,2,2,0,2,2,2,0,0,0,0,0,3,3,0,0,6,0,3,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,3,0,10,0,0,0,0,13
2019txelp_qm20,blue,frc7649,frc3366,frc2613,17,56,0,3,2,2,5,0,0,2,2,2,3,0,0,0,3,0,6,0,0,9,0,3,3,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,14,0,0,0,0,17
