Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5047,11.93,14.23,0.00,3.74,1.10,0.55,0.70,0.16,-0.41,1.34,1.09,1.19,1.76,-0.74,0.00,-0.23,0.94,0.59,1.67,0.69,3.41,3.26,1.95,1.33,1.33,2.04,-0.24,0.29,-0.48,0.13,0.01,0.32,-0.23,0.09,-0.26,0.67,0.67,0.67,0.67,0.67,0.67,0.39,1.18,1.23,-0.01,3.74,0.04,4.78,-0.02,-0.15,-0.02,-0.15,11.93,
frc4063,25.57,12.69,0.00,3.73,0.97,0.89,0.94,3.96,3.92,0.73,0.03,-0.16,6.92,-0.46,0.00,-0.23,1.61,5.00,2.36,0.02,-0.13,9.06,17.97,1.33,1.56,1.98,5.98,-0.44,-0.14,0.32,0.91,-0.11,0.12,0.12,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.25,0.77,0.88,1.30,3.73,0.12,21.97,-0.01,-0.19,-0.01,-0.22,25.57,
frc3847,22.01,6.49,0.00,4.50,0.84,1.07,0.94,0.69,1.43,0.89,1.72,1.07,7.79,2.55,0.00,0.03,0.14,1.29,1.56,-0.29,-0.05,3.13,3.85,1.49,2.00,1.95,6.64,1.58,1.13,1.12,1.79,0.31,0.30,0.52,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.28,1.07,0.89,1.30,4.50,0.12,17.56,0.15,0.97,0.15,1.13,22.01,
frc7271,10.39,5.53,0.00,2.81,1.03,1.82,1.20,0.35,0.42,2.93,2.32,1.28,4.83,-0.71,0.00,-0.51,1.00,0.61,2.14,-0.08,-0.47,3.28,2.86,1.53,1.10,1.13,-0.06,-0.24,0.09,-0.46,-0.08,-0.12,-0.38,-0.09,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.62,1.61,1.76,0.81,2.81,0.02,8.05,-0.01,-0.17,-0.01,-0.27,10.39,
frc6974,10.99,20.36,0.00,4.68,1.67,1.70,2.05,-0.06,-0.05,1.42,1.24,1.65,6.04,-0.49,0.00,0.01,0.67,-0.42,0.24,1.40,-0.29,0.36,-4.73,1.50,1.69,1.45,0.21,-0.20,0.17,0.03,-0.41,-0.16,0.62,-0.07,0.30,0.67,0.67,0.67,0.67,0.67,0.67,2.35,1.77,1.16,-0.18,4.68,0.03,6.61,-0.04,0.33,-0.04,0.35,10.99,
frc4301,10.50,15.12,0.00,2.93,1.45,1.68,1.88,0.39,0.61,2.03,1.85,1.60,6.25,-0.48,0.00,-0.24,0.57,-0.19,0.39,-0.15,-0.75,0.64,1.14,1.67,1.57,1.43,1.44,-0.27,0.95,0.04,0.02,-0.06,-0.25,-0.05,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.76,2.13,0.74,-0.20,2.93,-0.06,8.33,-0.00,-0.02,-0.00,0.21,10.50,
frc4153,21.27,5.91,0.00,6.01,1.14,1.00,1.19,0.97,2.06,1.00,0.50,1.24,4.93,-0.50,0.00,-0.25,1.22,3.14,1.21,-0.27,2.46,5.10,5.45,1.10,1.94,1.20,2.77,0.88,0.18,-0.29,0.10,-0.12,-0.41,-0.13,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,2.30,2.08,1.92,0.81,6.01,-0.07,12.80,-0.02,-0.17,-0.02,-0.22,21.27,
frc7540,8.71,8.39,0.00,3.41,-0.37,-0.63,-0.27,0.23,0.22,1.44,1.15,1.27,0.75,-0.48,0.00,-0.23,1.82,0.49,0.43,0.11,-0.43,2.61,0.18,1.77,1.26,1.84,2.37,0.97,0.66,0.63,1.43,-0.07,-0.27,-0.12,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,0.88,1.28,0.77,0.37,3.41,-0.04,5.73,-0.02,-0.19,-0.02,-0.04,8.71,
frc7649,3.88,13.00,0.00,1.38,0.11,-0.13,0.67,-0.92,0.42,0.05,0.96,0.68,-1.93,-0.47,0.00,-0.22,0.19,1.26,0.85,0.14,1.39,2.14,-1.26,0.65,1.60,1.46,0.90,-0.20,0.01,0.30,-0.20,-0.05,0.45,0.32,0.44,0.67,0.67,0.67,0.67,0.67,0.67,2.01,1.10,1.82,-0.14,1.38,-0.04,1.11,-0.02,-0.09,-0.02,-0.10,3.88,
frc5613,-0.26,10.63,0.00,-0.81,-0.04,-0.10,-0.05,0.11,-0.54,-0.07,-0.39,0.14,-2.44,2.09,0.00,-0.52,1.26,1.67,-0.22,-0.16,-0.26,2.83,2.91,1.08,1.25,0.59,0.42,0.21,0.12,-0.17,-0.04,-0.00,0.32,-0.12,0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.47,1.03,0.63,0.42,-0.81,-0.06,0.81,-0.03,-0.10,-0.03,-0.05,-0.26,
