MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txgre_qm1,blue,frc6357,frc6526,frc4295,24,39,0,3,2,5,5,5,5,2,2,2,12,0,0,0,0,3,0,0,0,3,0,5,3,3,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,3,0,21,0,0,0,0,24
2019txgre_qm1,red,frc647,frc4587,frc5242,39,24,0,12,2,2,2,2,2,2,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,12,5,2,5,0,0,0,2,0,2,2,2,2,2,2,3,6,3,2,12,0,27,0,0,0,0,39
2019txgre_qm10,blue,frc7125,frc647,frc5908,16,69,0,3,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,3,5,3,4,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,6,0,3,0,13,0,0,0,0,16
2019txgre_qm10,red,frc5431,frc6646,frc3743,69,16,0,12,5,5,5,5,2,5,5,2,24,0,0,0,12,6,3,0,0,21,30,5,5,5,12,2,0,2,0,0,5,0,5,2,2,2,2,2,2,3,6,3,3,12,0,57,0,0,0,0,69
2019txgre_qm11,blue,frc2805,frc3310,frc1745,60,79,0,9,0,0,0,0,0,2,5,5,24,30,30,0,3,12,0,2,0,15,30,3,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,2,9,1,51,5,0,5,0,60
2019txgre_qm11,red,frc6526,frc3802,frc5414,79,60,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,0,16,18,30,5,5,5,12,2,2,0,0,2,0,2,0,2,2,2,2,2,2,3,3,3,3,9,0,54,0,0,0,0,79
2019txgre_qm12,blue,frc3735,frc2468,frc2583,69,31,0,15,5,2,2,2,2,2,2,2,15,0,0,0,3,12,0,0,6,15,30,5,5,5,18,2,5,2,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,48,0,2,0,0,69
2019txgre_qm12,red,frc7535,frc4587,frc7506,31,69,0,6,2,2,2,2,2,2,2,2,0,0,0,0,0,12,3,2,0,15,30,3,5,3,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,6,0,25,0,0,0,0,31
2019txgre_qm13,blue,frc5242,frc2158,frc3037,58,38,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,2,12,9,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,37,0,0,0,0,58
2019txgre_qm13,red,frc418,frc7510,frc5888,38,58,0,12,2,5,5,5,0,2,2,2,9,0,0,0,6,3,0,4,6,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,20,0,0,0,0,38
