MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txpas_qm1,blue,frc5261,frc4295,frc6488,39,37,0,15,2,5,5,0,0,5,5,5,15,0,0,0,3,6,0,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,24,0,0,0,0,39
2019txpas_qm1,red,frc2587,frc5908,frc7410,37,39,0,15,5,5,2,0,0,2,5,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,22,0,0,0,0,37
2019txpas_qm10,blue,frc5261,frc5923,frc7440,30,45,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,0,0,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,21,0,0,0,0,30
2019txpas_qm10,red,frc1255,frc6111,frc2585,45,30,0,15,5,5,5,0,0,5,2,2,12,0,0,0,3,12,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,30,0,0,0,0,45
2019txpas_qm11,blue,frc2882,frc7418,frc6800,66,55,0,15,2,2,5,2,5,5,5,5,27,0,0,0,3,3,0,0,0,6,0,5,5,5,18,2,5,0,5,0,5,0,2,2,2,2,2,2,2,6,6,3,2,15,0,51,0,5,0,2,66
2019txpas_qm11,red,frc6547,frc2881,frc6488,55,66,0,15,5,5,5,0,0,5,5,2,21,0,0,0,3,12,0,0,0,15,30,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,40,0,0,0,0,55
2019txpas_qm12,blue,frc5908,frc7616,frc6111,36,46,0,15,5,5,5,0,0,5,2,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,21,0,0,0,0,36
2019txpas_qm12,red,frc7691,frc6645,frc3103,46,36,0,9,5,5,5,5,2,0,2,2,18,0,0,0,3,3,3,0,0,9,0,3,5,5,10,5,2,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,37,0,0,0,0,46
2019txpas_qm13,blue,frc6321,frc2585,frc231,64,57,0,15,5,5,5,5,5,2,5,2,18,0,0,0,12,3,6,0,0,21,30,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,49,0,0,0,0,64
2019txpas_qm13,red,frc6547,frc6800,frc5414,57,64,0,12,5,5,5,5,0,0,0,5,21,0,0,0,3,3,12,0,0,18,30,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,45,0,0,0,0,57
2019txpas_qm14,blue,frc4295,frc3029,frc3728,27,61,0,6,2,5,5,0,0,5,5,5,15,0,0,0,6,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,21,0,0,0,0,27
2019txpas_qm14,red,frc7418,frc2587,frc1255,61,27,0,12,5,5,5,5,5,5,5,2,24,0,0,0,3,12,0,0,0,15,30,5,5,5,10,2,0,5,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,49,0,0,0,0,61
2019txpas_qm15,blue,frc5070,frc2950,frc5923,26,41,0,9,2,2,2,0,2,5,5,2,6,0,0,0,3,3,3,1,0,9,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,17,0,0,0,0,26
2019txpas_qm15,red,frc7440,frc2881,frc7115,41,26,0,15,2,2,5,0,0,5,5,5,12,0,0,0,3,3,3,0,3,9,0,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,23,0,0,0,0,41
2019txpas_qm16,blue,frc5261,frc7410,frc7494,45,53,0,15,2,5,2,5,2,5,2,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,30,0,0,0,0,45
2019txpas_qm16,red,frc118,frc7518,frc7312,53,45,0,15,2,5,5,2,0,2,2,5,9,0,0,0,12,3,6,0,0,21,30,5,5,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,38,2,0,0,0,53
2019txpas_qm17,blue,frc5414,frc3728,frc2882,56,37,0,9,2,5,5,5,5,5,5,5,21,0,0,0,12,0,0,0,0,12,0,5,3,5,14,2,2,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,2,9,0,47,0,0,0,2,56
2019txpas_qm17,red,frc3103,frc5908,frc6645,37,56,0,15,2,2,0,2,5,5,2,5,9,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,22,0,0,0,0,37
2019txpas_qm18,blue,frc7494,frc7418,frc7115,26,54,0,12,5,5,5,2,0,0,2,2,9,0,0,0,0,3,0,0,0,3,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,0,0,12,0,14,0,0,0,0,26
2019txpas_qm18,red,frc7616,frc118,frc7440,54,26,0,9,2,2,2,0,0,2,2,2,18,30,30,0,0,12,3,0,0,15,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,4,9,0,45,5,0,5,0,54
2019txpas_qm19,blue,frc1255,frc5070,frc6488,20,46,0,9,2,5,5,0,5,2,2,2,9,0,0,0,0,0,0,0,0,0,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,11,0,0,0,0,20
2019txpas_qm19,red,frc7410,frc6321,frc7312,46,20,0,15,2,5,5,5,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,31,0,0,0,0,46
2019txpas_qm2,blue,frc6547,frc7494,frc6321,46,50,0,15,0,2,2,5,2,5,5,5,12,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,31,0,0,0,0,46
2019txpas_qm2,red,frc231,frc2882,frc7115,50,46,0,15,5,5,5,0,0,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,5,8,0,5,0,2,0,2,0,2,2,2,2,2,2,2,6,6,3,2,15,0,35,0,0,0,0,50
2019txpas_qm20,blue,frc2587,frc2585,frc6800,57,49,0,12,5,2,2,0,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,12,0,5,0,2,0,5,0,5,2,2,2,2,2,2,3,6,3,2,12,0,45,0,2,0,0,57
