Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5261,16.54,17.83,0.00,5.24,1.75,2.36,1.33,1.82,1.16,2.30,2.23,1.58,8.61,-1.52,-0.86,-0.50,1.24,0.49,0.34,0.19,-0.25,1.85,-0.72,1.74,1.29,1.41,1.09,0.33,-0.06,0.30,-0.34,0.12,-0.22,0.21,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,2.20,2.01,0.97,0.40,5.24,0.00,11.55,-0.00,-0.09,-0.27,-0.12,16.54,
frc4295,23.44,11.72,0.00,4.90,1.40,2.26,2.05,1.27,1.74,2.27,1.88,2.36,10.41,0.65,1.62,-0.51,2.21,1.92,3.22,-0.23,0.37,7.40,4.03,1.93,1.44,1.38,0.35,0.33,-0.15,0.51,-0.63,0.25,-0.36,0.25,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,2.06,1.38,1.60,0.96,4.90,-0.02,18.17,0.25,-0.15,0.19,-0.17,23.44,
frc6488,4.84,19.51,0.00,3.58,0.97,0.99,1.64,-0.45,-0.28,1.48,1.04,0.58,1.79,0.89,-0.41,-0.50,0.46,0.10,-1.19,0.41,0.47,-0.64,-1.85,1.07,1.40,1.65,-0.36,0.30,-0.28,0.17,0.17,-0.30,-0.16,-0.30,0.06,0.67,0.67,0.67,0.67,0.67,0.67,0.80,1.10,1.90,-0.12,3.58,0.02,0.79,-0.11,-0.16,-0.08,0.05,4.84,
frc2587,20.08,19.12,0.00,4.65,2.01,1.61,0.91,1.38,1.63,2.01,1.99,1.41,9.18,0.27,0.39,0.15,1.45,1.71,0.44,0.58,0.07,3.63,3.41,1.58,1.64,1.66,2.55,-0.13,0.69,0.31,0.23,-0.08,0.71,-0.12,0.46,0.67,0.67,0.67,0.67,0.67,0.67,0.98,1.85,1.96,0.69,4.65,-0.05,15.36,0.08,0.12,0.04,-0.05,20.08,
frc5908,10.93,17.75,0.00,4.14,1.10,1.31,0.98,0.49,2.03,0.97,0.90,0.48,2.40,0.93,-0.88,2.37,1.65,0.52,0.90,-0.04,0.90,2.90,-3.94,0.86,1.66,1.79,0.60,-0.56,-0.01,-0.73,0.06,-0.52,0.32,-0.52,0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.70,1.73,1.66,-0.20,4.14,-0.04,5.89,-0.20,0.36,-0.04,0.38,10.93,
frc7410,15.96,11.72,0.00,5.30,1.32,1.57,1.54,1.08,-0.73,1.38,1.55,1.40,5.04,-0.04,-0.86,0.51,1.09,0.28,0.72,-0.17,0.60,2.15,-6.46,1.82,1.72,1.66,2.87,0.47,1.24,0.68,0.68,0.03,0.01,0.12,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.55,1.52,2.27,0.33,5.30,-0.03,10.06,-0.19,0.14,-0.12,0.13,15.96,
frc5923,10.34,17.28,0.00,3.91,1.33,1.12,1.19,-0.03,0.63,1.02,1.29,1.29,4.09,-0.25,1.02,-0.77,0.97,0.22,0.75,0.09,-0.75,2.01,-0.19,1.45,1.55,1.73,1.08,0.32,-0.15,0.53,-0.05,-0.13,-0.29,-0.09,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.96,1.39,1.26,-0.28,3.91,0.05,7.19,0.11,-0.19,0.05,0.00,10.34,
frc7440,6.00,8.43,0.00,4.07,0.81,0.79,0.50,-0.58,-0.00,1.05,0.58,0.74,1.41,3.39,4.42,-0.21,-0.18,-0.32,0.75,0.06,0.05,0.34,2.04,0.92,1.42,1.80,0.13,0.43,-0.56,0.04,-0.54,0.52,-0.08,0.51,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.26,1.55,1.52,0.35,4.07,0.03,1.88,0.71,-0.15,0.85,-0.11,6.00,
frc1255,14.35,11.94,0.00,4.23,0.71,1.47,1.29,1.17,2.14,0.72,0.15,0.65,1.31,-2.38,-1.46,-0.83,1.08,3.94,1.28,0.01,0.54,6.32,15.48,1.90,1.86,1.84,1.94,0.23,-0.55,0.47,0.24,-0.22,-0.10,-0.25,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.58,1.02,1.14,0.82,4.23,0.07,9.57,-0.25,-0.16,-0.32,-0.22,14.35,
frc6111,17.22,7.63,0.00,5.83,1.82,1.74,1.92,-0.98,0.20,1.64,1.20,1.17,5.83,0.18,1.24,-0.46,0.30,1.12,1.63,-0.16,1.69,3.09,1.47,1.82,1.76,1.75,0.78,0.59,-0.08,0.38,0.27,0.15,-0.17,0.63,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.81,2.45,1.45,0.82,5.83,-0.04,9.70,0.15,-0.11,0.08,0.07,17.22,
