MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txpla_qm1,blue,frc5417,frc6901,frc6672,48,17,0,12,5,5,2,2,5,5,5,5,18,0,0,0,3,3,3,0,3,9,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,33,0,0,0,0,48
2019txpla_qm1,red,frc6171,frc704,frc4192,17,48,0,6,2,2,5,5,0,2,2,2,6,0,0,0,3,3,0,1,0,3,0,0,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,11,0,0,0,0,17
2019txpla_qm10,blue,frc7503,frc7303,frc7120,12,56,0,9,2,2,2,0,0,0,0,2,0,0,0,0,0,3,0,4,0,3,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,3,0,0,0,0,12
2019txpla_qm10,red,frc6901,frc4610,frc5057,56,12,0,9,2,2,5,0,5,5,5,5,21,0,0,0,3,3,0,0,12,6,0,5,5,0,8,5,0,5,0,0,0,2,0,2,2,2,2,2,2,3,6,0,2,9,0,35,0,0,0,0,56
2019txpla_qm11,blue,frc6768,frc3679,frc4364,53,34,0,12,5,5,5,0,5,5,5,2,18,0,0,0,6,3,3,0,3,12,0,5,5,5,8,2,0,0,0,0,0,0,2,2,2,2,2,2,2,3,6,3,2,12,0,38,0,0,0,2,53
2019txpla_qm11,red,frc5417,frc4206,frc7319,34,53,0,3,2,2,5,0,0,5,5,5,18,0,0,0,3,3,3,1,0,9,0,5,3,3,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,0,3,0,31,0,0,0,0,34
2019txpla_qm12,blue,frc2714,frc5431,frc5682,43,40,0,12,2,5,5,0,0,2,5,0,9,0,0,0,0,12,3,0,3,15,30,5,5,5,4,0,0,0,0,0,2,0,2,2,2,2,2,2,2,6,3,3,3,12,0,28,0,0,0,0,43
2019txpla_qm12,red,frc7119,frc6144,frc704,40,43,0,12,2,2,2,5,2,5,2,2,6,0,0,0,3,12,3,1,0,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,28,0,0,0,0,40
2019txpla_qm13,blue,frc7319,frc4364,frc7120,6,33,0,0,2,2,2,0,0,2,2,2,0,0,0,0,3,3,0,0,0,6,0,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,0,0,6,0,0,0,0,6
2019txpla_qm13,red,frc6672,frc5503,frc6526,33,6,0,9,5,0,5,0,0,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,24,0,0,0,0,33
