Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5417,17.63,16.11,0.00,2.61,0.67,0.33,0.47,1.98,0.75,0.56,0.85,1.47,4.15,0.00,0.00,0.00,1.34,1.21,0.79,-0.09,0.71,3.39,1.74,1.72,1.88,1.83,6.76,0.22,0.77,0.12,0.56,0.68,0.44,0.38,0.48,0.67,0.67,0.67,0.67,0.67,0.67,0.78,1.19,1.08,0.63,2.61,0.03,14.31,0.57,0.48,0.61,1.03,17.63,
frc6901,20.84,9.13,0.00,3.54,2.72,2.17,2.29,0.46,1.68,2.40,1.89,1.44,9.95,0.00,0.00,0.00,1.70,1.01,0.63,-0.26,2.27,3.39,0.82,1.34,1.70,1.29,1.70,0.71,0.05,0.75,0.36,-0.21,0.03,0.39,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.07,1.45,1.15,0.53,3.54,0.06,15.04,-0.11,-0.04,-0.13,-0.14,20.84,
frc6672,19.27,11.57,0.00,6.32,1.57,1.48,1.49,0.89,1.31,2.21,1.06,2.31,7.05,0.00,0.00,0.00,0.66,1.58,0.89,0.10,1.38,3.23,1.83,2.05,1.86,1.93,1.29,-0.34,-0.41,0.22,0.27,0.02,-0.22,-0.19,-0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.73,1.49,2.11,0.76,6.32,0.06,11.57,-0.09,-0.10,-0.11,-0.13,19.27,
frc6171,9.14,18.84,0.00,2.73,0.91,0.91,1.49,1.08,0.21,1.71,0.83,1.09,3.53,0.00,0.00,0.00,0.86,0.44,-0.72,0.05,0.41,0.39,-1.33,1.22,1.79,0.73,2.09,0.46,0.23,0.24,0.20,0.12,0.37,0.01,0.20,0.67,0.67,0.67,0.67,0.67,0.67,0.71,1.37,0.40,-0.04,2.73,-0.03,6.01,0.02,0.07,-0.12,0.33,9.14,
frc704,13.18,17.88,0.00,4.93,1.56,1.88,1.71,1.86,0.98,1.39,1.14,1.00,4.84,0.00,0.00,0.00,1.82,1.48,0.46,0.16,-1.23,3.54,1.91,1.36,1.71,1.24,1.10,-0.21,-0.20,-0.33,-0.12,0.21,-0.20,-0.14,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,2.05,1.68,2.47,0.33,4.93,0.07,9.47,0.07,-0.02,-0.07,-0.03,13.18,
frc4192,10.19,15.72,0.00,1.48,1.49,0.94,1.76,0.79,1.92,0.79,0.91,0.30,3.42,0.00,0.00,0.00,1.20,0.69,1.10,-0.13,0.19,2.56,-0.97,1.29,1.51,1.17,2.54,0.68,-0.01,0.50,0.29,0.05,-0.18,-0.09,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.77,1.03,1.36,-0.15,1.48,-0.02,8.52,0.13,-0.09,-0.10,-0.03,10.19,
frc7503,16.07,18.51,0.00,4.00,0.48,-0.03,0.49,1.20,2.03,1.04,0.80,1.33,4.81,0.00,0.00,0.00,0.81,0.84,1.36,0.40,0.95,3.10,0.73,2.00,1.79,1.94,3.21,0.49,0.54,1.17,0.79,-0.22,0.18,-0.22,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.41,0.81,0.81,0.32,4.00,0.04,11.12,-0.13,-0.07,-0.15,-0.08,16.07,
frc7303,5.69,15.13,0.00,3.78,0.76,0.76,1.09,-0.45,0.63,0.30,0.36,0.23,0.08,0.00,0.00,0.00,1.54,-0.08,0.04,0.70,0.30,1.31,0.53,2.12,1.16,1.11,0.22,0.10,0.27,-0.26,0.09,-0.03,0.03,-0.07,0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.43,1.14,2.28,-0.19,3.78,-0.06,1.60,-0.01,-0.03,0.23,0.06,5.69,
frc7120,4.96,12.72,0.00,0.09,0.34,1.30,0.39,1.24,0.78,1.20,1.04,1.64,2.62,0.00,0.00,0.00,0.32,0.90,1.12,0.49,-0.50,2.36,0.18,0.82,1.10,1.18,0.39,0.06,-0.27,0.45,-0.55,-0.05,-0.19,0.07,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.87,1.86,1.36,0.27,0.09,-0.04,5.38,-0.06,-0.01,0.17,-0.04,4.96,
frc4610,24.41,11.11,0.00,5.30,1.44,1.52,2.42,1.20,1.70,2.60,2.61,2.16,11.77,0.00,0.00,0.00,0.51,0.27,0.01,0.28,0.86,0.62,0.11,1.04,2.03,1.40,5.86,0.63,0.65,0.92,0.46,-0.12,-0.05,0.27,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.67,2.37,1.86,0.63,5.30,0.06,18.25,-0.10,0.07,0.28,0.06,24.41,
