MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txsan_qm1,blue,frc3028,frc6830,frc3545,5,32,0,0,2,2,2,2,0,2,2,2,0,0,0,0,0,0,3,0,0,3,0,3,0,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,0,0,5,0,0,0,0,5
2019txsan_qm1,red,frc7312,frc7521,frc7872,32,5,0,9,5,5,2,0,0,5,5,5,15,0,0,0,3,3,3,0,0,6,0,0,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,23,0,0,0,0,32
2019txsan_qm10,blue,frc7312,frc5986,frc5681,12,15,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,3,0,1,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,6,0,6,0,0,0,0,12
2019txsan_qm10,red,frc3345,frc4219,frc4412,15,12,0,3,2,2,5,0,0,2,2,2,3,0,0,0,3,3,0,0,3,6,0,3,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,2,3,0,9,0,0,0,0,15
2019txsan_qm11,blue,frc3545,frc2966,frc7621,6,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,3,0,0,0,0,6
2019txsan_qm11,red,frc3035,frc3561,frc6733,24,6,0,12,5,5,5,0,0,5,2,2,12,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,12,0,0,0,0,24
2019txsan_qm12,blue,frc3481,frc7088,frc6155,21,36,0,3,5,5,5,0,0,5,5,2,15,0,0,0,0,0,3,2,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,3,0,3,0,18,0,0,0,0,21
2019txsan_qm12,red,frc6935,frc7521,frc3028,36,21,0,6,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,6,6,0,0,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,6,0,24,0,0,0,0,36
2019txsan_qm13,blue,frc457,frc5986,frc5103,41,27,0,15,2,5,5,5,2,2,2,0,9,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,26,0,0,0,0,41
2019txsan_qm13,red,frc5960,frc6830,frc3345,27,41,0,12,5,5,5,0,0,5,2,2,12,0,0,0,3,0,0,0,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,0,0,12,0,15,0,0,0,0,27
