Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3028,2.99,8.08,0.00,-0.49,1.06,1.35,1.37,-0.50,-0.20,1.09,1.20,1.17,1.84,0.00,0.00,0.00,0.60,-0.27,1.52,-0.07,-0.13,1.78,2.08,0.66,1.02,0.56,-0.01,0.06,-0.14,-0.09,-0.03,0.01,0.00,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.30,1.80,1.11,0.11,-0.49,-0.05,3.61,0.00,0.00,0.00,0.00,2.99,
frc6830,7.90,10.44,0.00,4.75,1.23,1.26,0.75,0.20,-0.37,0.53,0.56,0.79,0.36,0.00,0.00,0.00,0.24,1.00,1.23,0.21,-0.07,2.52,2.40,1.51,1.64,1.47,0.34,-0.04,0.05,-0.01,-0.07,-0.01,-0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.83,2.09,-0.17,4.75,-0.03,3.22,0.00,0.00,0.00,0.00,7.90,
frc3545,6.93,15.41,0.00,3.64,0.45,0.50,0.50,-0.03,0.39,0.84,0.63,0.48,0.87,0.00,0.00,0.00,0.53,0.46,0.66,0.47,0.63,1.84,-0.67,1.86,1.04,2.06,-0.05,0.00,0.03,-0.17,0.36,-0.02,-0.02,0.00,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,2.60,0.35,1.27,0.00,3.64,-0.04,2.67,0.00,0.00,0.00,0.00,6.93,
frc7312,10.21,14.81,0.00,1.65,0.68,0.93,1.12,0.54,0.06,1.58,1.59,1.41,3.24,0.00,0.00,0.00,1.11,0.50,1.77,0.19,1.54,3.29,2.43,1.25,1.28,0.94,0.49,-0.10,-0.08,-0.03,0.35,-0.02,-0.03,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.03,0.93,0.66,0.16,1.65,0.03,7.03,0.00,0.00,0.00,0.00,10.21,
frc7521,25.76,9.05,0.00,6.05,2.24,2.76,2.47,1.59,1.78,2.54,2.67,2.81,13.29,0.00,0.00,0.00,1.08,1.73,1.15,0.35,1.82,3.55,-0.50,1.20,1.99,1.64,1.04,-0.01,-0.16,0.18,-0.17,-0.01,-0.02,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.69,1.88,3.30,1.20,6.05,0.08,17.88,0.00,0.00,0.00,0.00,25.76,
frc7872,10.24,5.29,0.00,4.36,1.02,0.72,0.36,0.29,-0.31,1.03,0.96,0.88,1.22,0.00,0.00,0.00,0.34,1.19,0.53,-0.22,1.90,1.67,-0.84,0.91,1.97,1.62,1.10,0.16,0.24,0.53,0.30,-0.01,0.00,0.00,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.76,2.31,0.66,0.47,4.36,-0.04,3.99,0.00,0.00,0.00,0.00,10.24,
frc5986,13.77,15.28,0.00,6.27,1.33,1.32,0.85,1.27,0.26,0.79,1.53,1.73,3.56,0.00,0.00,0.00,0.29,1.16,1.12,0.86,-0.45,2.71,1.82,1.54,1.86,2.08,1.68,0.39,0.30,-0.15,0.21,-0.01,-0.02,0.00,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.05,1.98,1.87,0.40,6.27,0.06,7.95,0.00,0.00,0.00,0.00,13.77,
frc5681,4.33,9.05,0.00,3.32,0.35,0.40,0.37,0.19,0.02,-0.04,0.32,0.26,-1.10,0.00,0.00,0.00,0.79,1.08,0.24,-0.08,0.65,1.39,-0.73,1.95,1.24,0.41,0.06,-0.18,-0.04,0.10,-0.13,-0.01,-0.01,0.00,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,2.24,1.04,0.11,-0.05,3.32,-0.06,0.36,0.00,0.00,0.00,0.00,4.33,
frc3345,6.92,10.19,0.00,2.54,1.33,1.57,2.17,0.37,0.28,1.15,-0.02,0.37,2.74,0.00,0.00,0.00,0.71,0.41,-0.32,0.10,-0.03,0.96,-1.08,1.40,2.00,0.48,0.70,0.22,0.15,0.17,-0.18,0.01,0.16,0.00,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.28,-0.19,-0.06,2.54,0.08,4.40,0.00,0.00,0.00,0.00,6.92,
frc4219,8.40,9.11,0.00,4.31,0.19,0.93,1.11,0.43,-0.24,1.05,0.91,1.07,1.47,0.00,0.00,0.00,0.37,0.64,1.13,0.26,-0.24,2.31,-0.22,1.58,2.07,1.51,0.56,0.23,0.17,0.25,0.36,0.00,-0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.16,1.36,2.17,0.65,4.31,-0.05,4.33,0.00,0.00,0.00,0.00,8.40,
frc4412,-4.11,10.29,0.00,-1.92,0.78,0.58,1.30,-0.53,0.21,0.38,0.52,0.33,-0.31,0.00,0.00,0.00,0.52,-0.21,-0.64,-0.05,-1.13,-0.22,-0.68,1.31,-0.11,-0.32,-0.53,-0.14,-0.01,0.09,-0.12,-0.01,-0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.09,0.21,-0.23,-1.92,0.07,-1.06,0.00,0.00,0.00,0.00,-4.11,
frc2966,11.32,10.47,0.00,3.30,0.60,0.01,0.16,1.22,0.29,0.94,0.46,0.40,1.01,0.00,0.00,0.00,1.30,0.72,2.06,-0.05,2.13,3.65,2.56,1.66,1.23,1.24,1.23,0.08,0.25,-0.03,0.21,-0.01,-0.03,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.70,2.18,1.48,0.24,3.30,-0.01,5.89,0.00,0.00,0.00,0.00,11.32,
frc7621,10.69,8.77,0.00,3.43,-0.08,0.68,0.30,0.53,1.62,0.21,0.62,0.67,1.16,0.00,0.00,0.00,0.82,0.39,0.72,0.18,0.93,1.78,-0.40,1.92,1.66,0.90,3.39,1.00,0.67,0.85,-0.02,-0.02,0.17,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.85,2.09,0.56,0.23,3.43,-0.03,6.33,0.00,0.00,0.00,0.00,10.69,
frc3035,21.40,11.42,0.00,5.26,1.90,2.46,2.74,1.34,0.58,2.51,2.13,2.09,11.08,0.00,0.00,0.00,0.18,1.87,0.50,0.43,1.36,2.47,-1.06,1.57,1.57,1.60,1.23,0.50,0.33,0.29,-0.19,0.16,-0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.33,2.54,1.88,0.86,5.26,0.01,14.78,0.00,0.00,0.00,0.00,21.40,
frc3561,9.07,7.76,0.00,4.24,1.54,1.19,1.06,0.25,-0.20,1.86,1.56,1.04,3.43,0.00,0.00,0.00,1.31,-0.25,0.93,0.36,-1.17,1.92,0.07,2.08,0.62,1.34,0.65,-0.06,-0.09,-0.15,-0.09,-0.01,-0.03,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.82,1.78,2.18,0.31,4.24,-0.04,6.00,0.00,0.00,0.00,0.00,9.07,
frc6733,2.82,2.61,0.00,0.50,0.82,0.78,0.88,-0.32,0.24,1.02,0.36,0.70,1.36,0.00,0.00,0.00,0.25,0.72,-0.11,-0.08,0.17,0.49,-0.56,0.90,0.81,1.02,0.31,0.06,0.11,0.06,0.15,-0.01,0.01,0.00,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.21,1.37,1.21,0.51,0.50,-0.04,2.16,0.00,0.00,0.00,0.00,2.82,
frc3481,15.98,14.57,0.00,4.90,2.00,1.74,2.00,0.77,0.99,1.68,1.68,1.39,7.31,0.00,0.00,0.00,0.94,0.82,0.53,0.47,0.39,2.44,-0.75,1.74,1.25,2.02,0.94,0.13,-0.14,0.30,-0.10,-0.02,0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.16,0.95,1.05,0.39,4.90,0.05,10.69,0.00,0.00,0.00,0.00,15.98,
frc7088,4.71,12.87,0.00,1.38,0.24,0.99,1.48,0.22,-0.14,1.78,1.06,0.57,1.78,0.00,0.00,0.00,0.64,0.63,0.88,-0.20,-0.73,2.25,-0.83,1.42,0.63,1.03,0.03,-0.00,0.01,0.03,-0.12,-0.00,-0.01,0.00,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.13,0.23,1.50,-0.06,1.38,0.15,4.06,0.00,0.00,0.00,0.00,4.71,
frc6155,17.82,9.30,0.00,2.75,2.12,2.41,2.03,0.41,0.18,1.73,1.80,2.33,8.90,0.00,0.00,0.00,0.07,1.15,0.60,0.10,3.24,1.95,-0.86,0.65,1.59,1.88,0.98,0.25,0.29,0.03,0.19,-0.01,0.00,0.00,0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.73,1.53,2.04,0.76,2.75,0.05,11.82,0.00,0.00,0.00,0.00,17.82,
frc6935,10.13,10.17,0.00,1.56,1.16,1.38,0.97,1.02,0.35,1.68,1.69,1.27,4.60,0.00,0.00,0.00,1.85,1.09,0.53,-0.12,0.28,3.02,1.90,1.71,1.17,0.82,0.66,0.17,-0.01,-0.20,0.26,-0.02,-0.03,0.00,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.51,0.57,1.40,0.53,1.56,0.06,8.29,0.00,0.00,0.00,0.00,10.13,
frc457,11.35,7.78,0.00,2.73,-0.26,-0.21,-0.10,1.62,1.32,0.35,-0.36,-0.54,-0.04,0.00,0.00,0.00,0.77,1.38,1.14,-0.06,0.25,3.13,-0.12,2.02,1.81,1.24,5.29,-0.18,-0.03,0.29,-0.04,0.01,-0.01,0.00,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.13,1.33,1.37,0.50,2.73,0.09,8.38,0.00,0.00,0.00,0.00,11.35,
