MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019utwv_qm1,blue,frc6706,frc4598,frc2993,43,36,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,28,0,0,0,0,43
2019utwv_qm1,red,frc4068,frc2972,frc3243,36,43,0,9,5,5,5,5,5,0,2,2,15,0,0,0,0,6,0,0,0,6,0,5,3,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,27,0,0,0,0,36
2019utwv_qm10,blue,frc2972,frc3598,frc5924,64,53,0,9,2,5,5,5,5,5,5,2,24,0,0,0,6,12,3,0,0,21,30,5,5,3,10,5,0,5,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,55,0,0,0,0,64
2019utwv_qm10,red,frc4585,frc1339,frc3374,53,64,0,12,5,5,5,5,5,5,5,5,24,0,0,0,0,6,3,0,0,9,0,0,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,0,6,6,0,12,0,41,0,0,0,0,53
2019utwv_qm11,blue,frc3478,frc4348,frc1828,60,48,0,9,5,5,5,5,5,5,5,5,27,0,0,0,12,3,3,0,0,18,30,5,3,5,6,0,0,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,51,0,0,0,0,60
2019utwv_qm11,red,frc3480,frc6706,frc6411,48,60,0,9,2,5,5,5,5,2,5,2,21,0,0,0,3,3,3,0,0,6,0,5,0,5,12,2,0,5,0,2,0,5,0,2,2,2,2,2,2,3,3,6,0,9,0,39,0,0,0,0,48
2019utwv_qm12,blue,frc3405,frc5430,frc4738,29,73,0,6,5,5,5,5,0,5,2,2,15,0,0,0,0,3,3,0,0,6,0,5,3,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,23,0,0,0,0,29
2019utwv_qm12,red,frc399,frc4944,frc4388,73,29,0,12,2,5,5,5,5,5,5,5,33,0,0,0,3,6,3,0,0,12,0,5,5,5,16,2,5,2,5,5,0,5,0,2,2,2,2,2,2,6,3,3,2,12,0,61,0,0,0,0,73
2019utwv_qm13,blue,frc6844,frc3200,frc3243,52,53,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,3,6,0,0,12,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,37,0,0,0,0,52
2019utwv_qm13,red,frc5071,frc3006,frc3230,53,52,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,0,12,0,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,38,0,0,0,0,53
2019utwv_qm14,blue,frc7436,frc2102,frc4068,69,20,0,12,5,5,5,5,0,5,5,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,12,0,0,0,2,0,2,0,2,2,2,2,2,2,2,6,3,3,3,12,0,57,0,5,0,5,69
2019utwv_qm14,red,frc3501,frc7909,frc1332,20,69,0,6,0,0,0,5,0,5,5,2,9,0,0,0,0,3,6,0,0,3,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,14,0,0,0,0,20
2019utwv_qm15,blue,frc3245,frc5159,frc3239,29,37,0,12,2,2,2,2,2,2,2,2,0,0,0,0,3,0,0,1,10,3,0,5,0,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,6,0,12,1,7,0,0,0,0,29
2019utwv_qm15,red,frc3225,frc2993,frc7634,37,29,0,15,2,2,2,0,0,5,5,2,6,0,0,0,0,3,0,0,13,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,1,9,0,0,0,0,37
2019utwv_qm16,blue,frc7151,frc5974,frc3289,10,45,0,3,2,5,2,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,3,5,3,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,3,3,0,3,0,7,0,0,0,2,10
2019utwv_qm16,red,frc4598,frc7905,frc5933,45,10,0,15,2,2,2,5,5,2,5,5,12,0,0,0,0,0,12,0,0,12,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,30,0,0,0,0,45
2019utwv_qm17,blue,frc7906,frc6546,frc3478,70,44,0,9,5,5,5,0,0,5,5,5,21,0,0,0,3,3,12,2,20,18,30,5,5,5,2,0,0,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,41,0,0,0,0,70
2019utwv_qm17,red,frc3006,frc2972,frc3045,44,70,0,9,2,2,2,2,5,2,2,2,9,0,0,0,3,6,3,0,6,12,0,5,5,3,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,2,29,0,0,0,0,44
2019utwv_qm18,blue,frc3200,frc6411,frc3598,78,45,0,15,2,2,5,5,0,5,5,5,27,0,0,0,3,6,12,0,3,21,30,5,5,5,12,5,5,5,5,2,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,60,0,0,0,0,78
2019utwv_qm18,red,frc4585,frc5071,frc4068,45,78,0,12,2,5,5,5,5,5,5,5,21,0,0,0,0,3,3,1,0,6,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,33,0,0,2,0,45
2019utwv_qm19,blue,frc3230,frc6844,frc2993,43,41,0,15,2,5,5,0,5,5,5,2,15,0,0,0,0,3,3,0,3,6,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,25,0,0,0,0,43
