Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6706,14.08,17.74,0.00,3.29,1.28,1.40,1.65,-0.07,0.70,2.20,2.21,1.82,9.37,0.17,-0.13,0.35,-0.48,-0.08,1.10,0.17,-0.43,0.25,-2.19,1.57,1.36,1.72,1.60,0.58,0.93,1.51,0.58,-0.46,0.43,0.23,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.06,1.57,1.68,0.26,3.29,0.19,11.22,-0.39,0.01,-0.29,0.01,14.08,
frc4598,18.50,10.61,0.00,5.31,1.39,1.49,1.46,-0.21,0.06,0.96,1.35,1.53,3.99,-0.83,-0.10,-0.58,1.18,0.87,2.16,0.55,3.09,4.33,3.86,1.66,1.67,1.50,1.77,1.07,0.24,0.33,-0.10,0.07,-0.18,-0.15,0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.73,2.11,1.86,0.74,5.31,-0.11,10.09,0.19,0.03,-0.02,0.11,18.50,
frc2993,6.98,11.92,0.00,5.36,0.87,1.16,1.23,-0.21,0.57,0.45,0.15,-0.70,-0.58,-0.06,0.13,-0.02,-0.39,-0.64,-0.12,-0.41,2.56,-1.23,-6.63,1.73,1.80,1.51,0.88,0.67,-0.83,0.47,-0.53,0.60,-0.36,0.55,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.15,2.22,2.23,0.34,5.36,0.07,-0.94,0.35,-0.09,0.03,-0.19,6.98,
frc4068,12.53,17.64,0.00,3.25,1.28,1.63,1.93,1.91,-0.31,1.39,1.98,1.90,5.93,-0.75,-0.03,-0.90,-0.53,0.64,1.18,0.45,0.90,1.26,0.23,1.41,1.76,1.85,1.19,-0.42,-0.14,-0.93,0.61,-0.44,0.45,-0.41,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.16,0.63,1.22,0.46,3.25,0.06,8.38,-0.10,0.24,0.06,0.23,12.53,
frc2972,22.42,14.82,0.00,3.06,1.42,1.60,1.83,2.32,1.82,0.48,1.89,1.02,9.60,-1.28,-0.45,-0.16,1.55,1.96,0.50,0.23,1.04,4.10,-1.83,1.76,1.62,0.90,4.61,1.70,1.24,1.79,1.25,0.33,-0.17,-0.05,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.55,1.20,2.43,0.47,3.06,0.13,18.31,0.09,-0.13,0.07,-0.18,22.42,
frc3243,19.87,16.29,0.00,5.69,1.86,2.06,1.59,1.61,1.04,0.03,-0.09,0.77,1.90,-0.53,0.08,-0.79,1.64,4.45,1.01,0.03,2.03,7.23,8.56,1.73,1.54,2.01,3.02,0.50,-0.25,0.48,-0.86,0.45,-0.41,0.73,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.27,2.07,2.09,0.52,5.69,-0.05,12.15,0.30,-0.33,0.24,-0.38,19.87,
frc3598,22.79,14.42,0.00,3.96,0.73,0.89,1.08,1.90,2.52,1.60,0.61,1.45,6.44,1.23,0.03,0.76,2.10,3.21,2.45,-0.05,-0.70,7.81,11.78,1.66,1.89,1.28,5.28,1.56,1.21,1.35,1.28,0.08,0.23,-0.10,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.77,1.83,2.01,1.32,3.96,0.11,19.53,-0.30,0.05,-0.33,0.02,22.79,
frc5924,15.64,15.92,0.00,4.61,1.08,1.07,0.78,0.02,0.06,2.62,1.96,1.69,5.63,0.30,0.39,-0.20,2.78,2.07,0.00,-0.02,-0.40,4.88,10.82,1.69,1.32,1.63,0.93,0.31,-0.16,0.39,0.12,-0.27,0.25,-0.26,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.13,1.55,1.46,0.49,4.61,0.03,11.43,0.00,0.12,0.02,0.07,15.64,
frc4585,7.46,20.39,0.00,1.59,0.94,1.42,0.62,-0.21,0.99,1.63,0.88,1.12,3.62,-1.98,-0.48,-1.02,-1.33,2.85,0.15,-0.02,0.44,1.71,-1.36,0.85,1.27,1.41,0.10,0.91,-0.67,0.95,-0.52,0.52,-0.33,0.32,-0.50,0.67,0.67,0.67,0.67,0.67,0.67,0.45,1.82,1.28,-0.22,1.59,0.03,5.43,0.03,-0.23,0.43,-0.29,7.46,
frc1339,27.79,19.86,0.00,5.06,2.19,1.86,1.31,3.04,2.56,2.10,1.93,2.23,11.40,2.72,-0.14,2.88,4.38,1.39,2.15,0.66,1.30,7.86,15.49,1.18,1.70,1.68,2.18,-0.35,0.38,-0.08,0.48,-0.46,0.05,-0.08,0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.26,1.91,0.91,5.06,0.05,21.44,-0.05,0.21,-0.13,0.24,27.79,
frc3374,24.16,11.10,0.00,5.80,1.98,2.09,2.20,2.26,0.83,1.98,0.80,1.45,8.07,-0.09,0.44,-0.23,1.43,1.13,2.06,-0.26,0.04,4.66,6.26,1.42,1.94,1.97,5.58,0.98,0.13,1.09,0.00,0.87,-0.09,0.72,-0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.43,1.82,1.14,0.71,5.80,0.01,18.32,0.57,0.02,0.51,-0.02,24.16,
