MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019vabla_qm1,blue,frc540,frc2068,frc1262,53,54,0,15,0,0,5,0,2,5,5,5,18,0,0,0,3,3,3,0,3,9,0,5,5,5,8,0,0,0,5,0,0,0,5,2,2,2,2,2,2,6,6,3,0,15,0,35,0,0,0,2,53
2019vabla_qm1,red,frc3274,frc5279,frc346,54,53,0,15,2,2,5,0,0,5,5,5,12,0,0,0,0,3,12,1,0,15,30,5,5,5,12,0,2,2,0,0,2,0,0,2,2,2,2,2,2,6,6,3,3,15,0,39,0,0,0,0,54
2019vabla_qm10,blue,frc539,frc1086,frc3455,50,18,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,3,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,41,0,0,0,0,50
2019vabla_qm10,red,frc1598,frc1915,frc3274,18,50,0,9,2,2,5,0,0,2,5,2,6,0,0,0,0,3,0,0,0,3,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,9,0,0,0,0,18
2019vabla_qm11,blue,frc540,frc4505,frc5804,67,49,0,15,5,5,5,2,0,5,5,5,30,0,0,0,3,3,3,0,3,9,0,5,5,5,10,5,5,5,5,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,49,0,0,0,0,67
2019vabla_qm11,red,frc3748,frc1413,frc5954,49,67,0,15,5,5,5,5,5,5,5,2,21,0,0,0,0,6,3,1,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,34,0,0,0,0,49
2019vabla_qm12,blue,frc1262,frc3072,frc5279,52,89,0,15,5,5,5,5,5,5,5,5,24,0,0,0,6,0,3,9,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,37,0,0,0,0,52
2019vabla_qm12,red,frc4466,frc3136,frc6802,89,52,0,15,2,2,5,2,5,5,5,5,21,0,0,0,3,3,12,0,27,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,47,0,0,0,0,89
2019vabla_qm13,blue,frc3258,frc3939,frc6312,46,67,0,15,2,2,2,5,0,5,2,2,12,0,0,0,3,6,0,0,0,9,0,5,5,5,10,2,0,0,0,5,0,5,0,2,2,2,2,2,2,6,3,6,0,15,0,31,2,0,0,0,46
2019vabla_qm13,red,frc346,frc449,frc3455,67,46,0,15,5,5,5,5,5,2,5,2,21,0,0,0,12,3,0,0,0,15,30,5,5,5,16,2,5,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,52,0,0,0,0,67
2019vabla_qm14,blue,frc3748,frc6194,frc384,63,54,0,15,5,5,5,2,5,5,5,5,21,0,0,0,6,3,12,0,0,21,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,48,0,0,0,0,63
2019vabla_qm14,red,frc2890,frc539,frc1413,54,63,0,15,2,5,5,5,5,5,2,2,18,0,0,0,3,3,3,0,0,9,0,5,5,5,12,5,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,39,0,0,0,0,54
2019vabla_qm15,blue,frc1915,frc401,frc1262,58,41,0,6,5,5,5,0,0,5,5,5,24,0,0,0,3,12,0,0,3,15,30,3,5,5,10,0,5,0,2,0,5,0,2,2,2,2,2,2,2,6,3,3,3,6,0,49,0,0,0,2,58
2019vabla_qm15,red,frc2068,frc5954,frc5724,41,58,0,15,2,5,5,0,5,5,5,2,15,0,0,0,0,3,6,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,26,0,0,0,0,41
2019vabla_qm16,blue,frc619,frc3274,frc977,57,54,0,15,2,2,2,0,0,0,5,2,15,0,0,0,12,0,3,2,0,15,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,42,0,2,0,2,57
2019vabla_qm16,red,frc1598,frc6802,frc4505,54,57,0,15,5,5,5,5,0,5,5,5,24,0,0,0,0,3,0,0,6,3,0,5,5,5,6,0,5,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,33,0,0,0,0,54
2019vabla_qm17,blue,frc540,frc1522,frc1086,64,47,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,6,6,0,0,15,30,5,5,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,49,0,0,0,0,64
