Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc540,20.79,17.17,0.00,5.63,1.57,1.77,2.03,1.22,0.14,2.02,1.51,1.74,9.16,-0.48,0.00,0.00,1.74,1.41,0.36,0.37,-0.28,3.59,2.15,1.74,1.80,1.71,2.70,0.30,0.45,0.40,1.26,-0.30,0.30,-0.31,0.93,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.71,1.83,0.35,5.63,-0.07,15.44,-0.02,0.03,-0.09,0.12,20.79,
frc2068,9.94,18.56,0.00,4.88,0.99,1.45,1.23,0.02,0.73,1.81,1.41,1.27,5.20,-0.21,0.00,0.00,-0.06,-0.74,1.81,-0.06,-0.39,0.53,-8.19,1.35,1.34,1.70,-0.27,0.39,-0.76,0.27,0.03,-0.01,-0.20,-0.08,0.46,0.67,0.67,0.67,0.67,0.67,0.67,2.51,1.34,1.30,-0.34,4.88,0.02,5.45,-0.07,0.09,-0.14,0.14,9.94,
frc1262,32.53,15.58,0.00,3.93,1.40,1.15,1.92,1.53,2.06,1.24,1.73,1.77,13.41,-0.53,0.00,0.00,3.05,1.47,0.57,0.57,4.12,5.24,6.90,1.68,1.77,1.77,5.84,0.52,2.12,0.63,2.46,0.53,1.41,0.58,1.62,0.67,0.67,0.67,0.67,0.67,0.67,1.12,1.37,1.92,0.95,3.93,-0.06,24.49,-0.12,0.04,0.05,0.62,32.53,
frc3274,11.16,20.25,0.00,3.64,0.83,0.94,1.53,0.45,0.49,0.78,1.72,1.06,2.06,-0.27,0.00,0.00,0.12,2.81,1.74,0.02,0.95,4.65,13.74,1.77,1.51,1.59,-0.15,-0.50,-0.62,0.04,-0.06,-0.25,0.17,-0.21,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.34,1.29,2.15,0.88,3.64,-0.08,6.57,-0.02,0.01,-0.11,-0.02,11.16,
frc5279,13.21,27.15,0.00,5.02,1.00,1.12,1.21,0.15,-0.23,1.75,1.18,1.25,2.87,-0.03,0.00,0.00,0.23,0.96,3.27,1.12,-0.67,3.98,4.71,1.35,1.83,1.32,2.02,0.28,0.33,0.23,-0.07,0.15,0.17,-0.05,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.72,2.71,0.60,-0.17,5.02,0.04,8.87,0.11,0.05,0.34,-0.20,13.21,
frc346,31.10,16.61,0.00,4.99,1.29,1.36,2.01,1.95,2.32,0.04,-0.24,0.78,8.63,2.39,0.00,0.00,3.05,2.79,1.50,-0.24,0.39,7.54,14.10,1.86,1.74,1.33,9.56,0.49,2.96,0.98,2.09,0.71,-0.16,0.42,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,2.62,0.66,1.29,1.51,4.99,0.09,25.73,0.06,-0.15,0.37,-0.12,31.10,
frc539,19.60,11.41,0.00,4.83,0.93,1.52,1.24,2.06,1.73,1.51,0.91,1.51,6.04,0.27,0.00,0.00,1.83,2.33,1.01,-0.50,0.38,5.29,4.68,1.83,1.22,1.75,3.06,0.85,0.32,-0.07,0.29,0.05,0.16,0.03,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.46,1.22,2.05,0.74,4.83,0.04,14.39,-0.09,-0.00,-0.09,-0.02,19.60,
frc1086,11.61,21.90,0.00,3.75,1.85,1.46,0.97,1.36,2.14,1.44,1.68,1.13,4.93,-0.54,0.00,0.00,1.96,0.28,1.34,0.82,-1.89,3.56,6.91,1.68,1.23,1.69,1.25,-0.03,-0.44,0.14,-0.49,-0.28,-0.16,-0.14,-0.34,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.81,1.82,0.00,3.75,0.03,9.74,-0.07,-0.19,0.08,0.20,11.61,
frc3455,21.61,18.78,0.00,4.42,1.86,2.04,2.06,1.99,0.95,1.08,2.14,0.89,8.02,0.21,0.00,0.00,1.16,0.06,-0.43,-0.34,4.44,0.91,1.01,1.89,1.23,1.50,3.82,1.75,0.13,0.99,-0.28,0.14,-0.36,0.32,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.33,1.77,2.09,0.27,4.42,0.02,12.75,0.16,0.10,0.35,-0.03,21.61,
frc1598,11.66,25.95,0.00,4.22,1.41,1.40,1.57,-0.68,-0.25,0.85,1.23,1.48,2.90,2.42,0.00,0.00,0.24,1.64,-0.89,0.63,4.11,1.09,-3.36,1.81,1.48,1.30,-0.66,-0.12,-0.26,-0.36,-0.59,0.30,0.08,0.09,0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.51,1.66,1.39,-0.43,4.22,-0.05,3.32,0.09,-0.08,0.11,-0.01,11.66,
