MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019vagle_qm1,blue,frc3361,frc1599,frc1522,33,0,0,9,2,2,5,2,5,2,2,2,6,0,0,0,6,3,3,0,0,12,0,3,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,9,0,24,0,0,0,0,33
2019vagle_qm1,red,frc1598,frc5950,frc6021,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2019vagle_qm10,blue,frc6882,frc1599,frc3136,47,50,0,15,5,5,5,5,0,2,2,2,12,0,0,0,3,12,3,1,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,1,32,0,0,0,0,47
2019vagle_qm10,red,frc3258,frc384,frc1610,50,47,0,12,5,0,5,5,0,0,2,2,9,0,0,0,0,3,3,0,13,6,0,5,5,5,10,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,3,6,2,12,0,25,0,0,2,0,50
2019vagle_qm11,blue,frc3359,frc5957,frc4286,44,73,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,29,0,0,0,0,44
2019vagle_qm11,red,frc6802,frc1908,frc346,73,44,0,9,5,5,5,5,5,5,5,5,33,0,0,0,6,3,12,0,0,21,30,5,3,5,10,5,0,5,5,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,64,0,0,0,0,73
2019vagle_qm12,blue,frc7330,frc1262,frc619,43,21,0,9,2,2,2,5,0,5,5,0,9,0,0,0,0,6,3,0,6,9,0,0,5,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,0,3,6,2,9,0,28,0,0,0,0,43
2019vagle_qm12,red,frc6021,frc617,frc5804,21,43,0,6,5,0,5,0,0,5,0,5,12,0,0,0,0,0,3,2,0,3,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,6,0,6,0,15,0,0,0,0,21
2019vagle_qm13,blue,frc1080,frc977,frc1610,36,32,0,15,0,0,0,0,0,0,0,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,12,2,2,2,2,0,0,0,2,2,2,2,2,2,2,3,6,6,2,15,0,21,0,0,0,2,36
2019vagle_qm13,red,frc1413,frc540,frc6189,32,36,0,9,5,5,0,0,0,0,5,5,15,0,0,0,3,3,0,0,0,6,0,5,5,0,2,0,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,9,0,23,0,0,0,0,32
2019vagle_qm14,blue,frc5957,frc1793,frc6334,31,35,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,3,9,0,5,5,5,4,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,13,0,0,0,0,31
2019vagle_qm14,red,frc5546,frc4286,frc3258,35,31,0,12,2,2,5,5,0,5,5,5,15,0,0,0,3,0,3,1,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,23,0,0,0,0,35
2019vagle_qm15,blue,frc6802,frc1599,frc1598,51,35,0,9,2,2,5,5,5,5,5,5,18,0,0,0,6,12,0,0,0,18,30,5,5,0,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,0,3,9,0,42,0,0,0,0,51
2019vagle_qm15,red,frc1086,frc5804,frc1522,35,51,0,15,2,2,2,0,5,5,5,5,12,0,0,0,0,3,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,20,0,0,0,0,35
2019vagle_qm16,blue,frc539,frc3361,frc619,56,51,0,15,2,5,2,5,2,2,2,2,6,0,0,0,3,6,3,0,13,12,0,5,5,5,10,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,28,0,0,0,0,56
2019vagle_qm16,red,frc7429,frc7330,frc346,51,56,0,9,2,2,2,5,0,5,5,5,15,0,0,0,3,0,12,1,0,15,30,5,0,5,12,2,0,5,0,0,0,0,0,2,2,2,2,2,2,6,0,3,1,9,1,42,0,0,0,0,51
2019vagle_qm17,blue,frc5950,frc6882,frc422,32,39,0,12,0,0,0,5,0,5,5,2,9,0,0,0,3,3,3,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,20,0,0,0,0,32
2019vagle_qm17,red,frc617,frc977,frc1262,39,32,0,9,2,2,2,5,0,5,5,5,12,0,0,0,0,3,6,0,3,9,0,3,5,5,6,0,2,0,0,0,2,0,0,2,2,2,2,2,2,0,6,3,2,9,0,27,0,0,0,0,39
2019vagle_qm18,blue,frc1908,frc6021,frc1413,33,27,0,6,5,5,5,0,0,5,2,2,12,0,0,0,6,0,6,0,3,12,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,6,0,24,0,0,0,0,33
