Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3361,15.83,12.69,0.00,5.46,0.46,0.74,0.86,1.18,0.83,0.96,1.04,1.01,2.62,-0.40,-0.41,0.00,0.60,2.00,2.49,-0.15,0.42,5.16,5.07,1.46,1.85,1.42,2.16,-0.38,0.14,-0.70,0.27,-0.34,0.25,-0.25,0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.20,2.35,1.82,0.38,5.46,-0.02,9.95,-0.18,0.38,-0.16,0.26,15.83,
frc1599,18.21,15.74,0.00,3.63,1.16,0.54,1.96,2.35,1.56,0.84,0.59,0.97,4.21,-0.66,-0.24,0.00,2.12,3.08,2.88,0.40,-0.39,8.12,10.43,1.29,1.55,1.40,2.63,0.39,0.27,-0.08,0.19,0.04,0.01,-0.15,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.79,2.02,1.52,0.94,3.63,0.07,14.97,-0.06,0.38,-0.09,0.28,18.21,
frc1522,7.58,10.91,0.00,1.73,0.33,1.27,1.22,0.79,1.51,0.82,1.52,1.29,3.02,0.19,0.10,0.00,-0.10,0.16,-0.16,0.03,1.91,-0.05,-3.94,1.59,1.58,1.66,0.98,-0.18,-0.04,-0.18,0.29,-0.07,-0.17,-0.05,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.34,1.30,1.05,0.21,1.73,-0.03,3.95,-0.02,-0.16,-0.00,0.05,7.58,
frc1598,6.75,12.97,0.00,3.83,0.06,0.47,0.78,-0.17,0.43,1.45,1.20,1.12,1.51,-0.38,-0.22,0.00,0.19,0.93,-0.31,-0.33,0.02,0.88,-0.64,1.63,1.07,0.94,0.52,-0.20,-0.29,-0.33,-0.02,-0.11,0.11,-0.07,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.83,1.27,0.80,-0.18,3.83,-0.05,2.91,0.00,-0.10,0.01,0.11,6.75,
frc5950,6.25,16.35,0.00,1.50,0.39,0.54,0.48,-0.43,0.28,0.64,1.10,1.45,2.80,-0.34,-0.14,0.00,0.57,-0.33,1.40,-0.08,0.24,1.59,-0.19,1.09,0.96,1.16,0.12,0.37,-0.12,0.86,0.10,0.43,0.02,-0.16,0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.40,0.22,0.32,-0.23,1.50,-0.04,4.51,-0.13,0.08,-0.15,0.06,6.25,
frc6021,3.49,16.51,0.00,0.37,1.68,0.04,0.60,-0.14,0.86,0.53,-0.62,-0.14,1.44,-0.07,0.08,0.00,1.73,-0.21,0.12,0.68,-0.34,1.67,-0.68,0.56,0.69,1.12,0.35,0.04,0.11,-0.21,0.37,-0.21,-0.01,0.08,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.86,0.28,1.91,-0.15,0.37,0.06,3.46,-0.05,-0.01,-0.01,-0.00,3.49,
frc6882,9.42,4.16,0.00,3.52,1.08,1.44,0.02,-0.19,1.34,-0.23,0.61,0.15,2.20,-0.24,0.08,0.00,0.04,1.98,1.74,0.04,-0.66,3.87,3.29,1.65,1.92,1.30,0.50,-0.28,0.56,-0.35,0.27,0.01,0.55,-0.05,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.23,1.38,1.12,0.29,3.52,0.04,6.57,0.15,-0.07,0.00,-0.04,9.42,
frc3136,13.93,14.83,0.00,4.28,1.75,1.18,1.74,0.72,0.64,1.21,1.06,1.68,5.16,-0.17,0.05,0.00,2.27,1.96,-2.13,0.46,0.77,2.10,6.33,1.29,1.77,0.97,1.62,0.77,-0.16,0.98,-0.14,0.02,-0.21,-0.04,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.98,1.58,1.66,0.37,4.28,0.06,8.88,0.16,-0.10,0.18,-0.11,13.93,
frc3258,11.19,17.22,0.00,3.78,1.93,1.95,2.52,-0.12,-0.82,1.15,1.61,1.75,6.47,-0.52,-0.38,0.00,0.28,-0.57,1.20,0.53,0.97,0.66,-1.97,1.55,1.76,1.50,-0.68,-0.03,-0.27,0.38,0.21,-0.18,0.12,0.14,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.87,1.47,1.56,0.17,3.78,0.00,6.44,-0.16,-0.01,0.19,-0.24,11.19,
frc384,21.70,20.45,0.00,4.80,1.02,0.85,1.99,0.76,1.39,1.48,1.05,1.43,6.00,2.61,0.10,0.00,4.37,-0.91,2.84,-0.38,3.03,6.31,11.84,2.13,1.27,1.26,1.56,-0.36,-0.08,0.43,0.10,-0.28,-0.13,-0.05,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.89,1.70,1.46,1.01,4.80,-0.05,13.87,-0.12,-0.03,0.03,0.33,21.70,
