MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019vahay_qm1,blue,frc620,frc339,frc5338,27,32,0,12,2,2,2,0,0,2,2,2,0,0,0,0,0,6,3,0,0,9,0,5,5,5,6,0,0,0,2,0,2,0,0,2,2,2,2,2,2,3,6,3,0,12,0,15,0,0,0,2,27
2019vahay_qm1,red,frc4505,frc2988,frc3941,32,27,0,9,2,2,5,0,0,5,5,5,12,0,0,0,3,3,3,0,0,9,0,5,3,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,9,0,23,0,0,0,0,32
2019vahay_qm10,blue,frc2028,frc316,frc2363,50,23,0,15,2,5,5,0,0,5,5,5,15,0,0,0,3,3,12,0,0,18,30,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,35,0,0,0,0,50
2019vahay_qm10,red,frc2421,frc3941,frc1719,23,50,0,6,0,2,2,0,5,5,5,0,9,0,0,0,0,3,3,0,0,6,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,0,6,0,17,0,0,0,0,23
2019vahay_qm11,blue,frc3274,frc339,frc2534,46,26,0,12,0,0,5,0,0,5,0,0,6,0,0,0,3,6,12,0,3,21,30,5,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,31,0,0,0,0,46
2019vahay_qm11,red,frc623,frc1418,frc4464,26,46,0,3,0,0,0,0,0,0,0,0,9,0,0,0,3,3,0,1,0,6,0,3,5,0,8,0,0,0,0,0,5,0,2,2,2,2,2,2,2,3,3,0,0,3,0,23,0,5,0,5,26
2019vahay_qm12,blue,frc888,frc2186,frc5549,23,38,0,6,2,2,2,0,0,2,2,2,6,0,0,0,3,0,0,0,0,3,0,5,3,5,8,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,3,3,0,6,0,17,0,0,0,0,23
2019vahay_qm12,red,frc2961,frc5338,frc4242,38,23,0,6,0,5,5,0,0,5,5,0,12,0,0,0,0,12,6,0,0,18,30,0,3,5,2,0,0,0,0,0,2,0,0,2,2,2,2,2,2,0,3,6,3,6,0,32,0,0,0,0,38
2019vahay_qm13,blue,frc611,frc612,frc6584,33,25,0,12,5,0,0,0,0,5,5,5,12,0,0,0,0,6,0,0,3,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,18,0,0,0,0,33
2019vahay_qm13,red,frc6543,frc1629,frc2819,25,33,0,6,2,5,2,2,2,2,5,5,9,0,0,0,3,3,0,1,0,6,0,5,5,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,6,0,19,0,0,0,0,25
