Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc620,4.87,16.93,0.00,2.88,0.65,0.68,0.62,0.30,1.11,0.76,1.20,1.06,1.02,0.04,0.00,0.00,0.04,-0.41,0.16,0.31,-0.17,-0.07,-6.18,1.59,1.61,1.18,1.21,-0.27,-0.26,-0.28,0.01,0.24,0.11,0.30,0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.34,1.28,1.24,-0.52,2.88,-0.05,2.16,-0.03,0.01,-0.03,0.18,4.87,
frc339,12.70,3.48,0.00,5.54,0.79,1.03,2.00,-0.68,-0.36,1.93,1.17,0.89,2.84,-0.33,0.00,0.00,0.50,1.67,1.48,-0.41,-0.96,3.74,-0.00,2.03,1.84,1.74,1.53,0.08,0.87,-0.20,0.70,-0.26,0.09,-0.18,0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.02,1.87,1.97,0.95,5.54,0.02,8.11,-0.08,0.46,-0.06,0.24,12.70,
frc5338,19.38,11.59,0.00,2.69,1.21,1.90,1.81,0.90,0.71,0.91,0.93,0.23,2.32,-0.39,0.00,0.00,5.34,3.52,2.37,0.00,1.20,11.18,21.47,1.67,1.51,1.63,1.99,0.29,-0.04,0.08,0.06,0.08,0.24,-0.14,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.24,0.88,1.11,1.22,2.69,0.04,15.49,-0.18,-0.14,-0.09,0.07,19.38,
frc4505,13.96,14.35,0.00,6.38,1.47,1.33,1.86,-0.94,-0.30,1.54,2.13,1.39,3.28,-0.50,0.00,0.00,1.98,0.04,1.68,0.46,-0.57,3.72,3.95,2.09,1.74,2.06,1.15,0.08,0.16,0.21,-0.04,0.09,0.33,0.22,0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.09,1.88,2.09,0.41,6.38,0.14,8.15,-0.19,0.02,0.01,-0.06,13.96,
frc2988,17.91,16.16,0.00,4.43,0.60,1.10,1.59,0.57,1.39,1.63,1.43,1.40,4.88,-0.19,0.00,0.00,2.08,1.58,0.88,0.26,-0.18,4.64,-0.73,1.64,1.48,1.74,4.14,0.69,0.88,1.13,0.70,-0.07,-0.19,-0.01,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.00,1.84,1.71,0.54,4.43,0.06,13.66,-0.02,0.20,-0.01,0.01,17.91,
frc3941,12.89,22.53,0.00,4.18,1.39,1.71,2.45,0.55,1.14,1.92,2.47,1.14,8.07,-0.54,0.00,0.00,-0.09,-0.58,0.21,0.29,0.66,-0.41,-4.26,1.09,1.64,2.00,0.39,-0.25,0.11,0.02,0.18,-0.08,0.29,-0.09,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.32,2.53,1.35,-0.12,4.18,0.24,8.06,-0.22,0.14,-0.12,0.12,12.89,
frc2028,16.19,15.32,0.00,3.56,1.39,1.28,1.57,0.42,0.65,1.69,2.30,1.49,5.91,-0.26,0.00,0.00,1.36,0.22,1.30,0.08,3.03,2.99,1.20,1.95,1.94,1.46,0.70,0.84,0.16,0.44,0.44,-0.22,-0.06,-0.33,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.82,1.76,1.17,0.69,3.56,0.06,9.60,-0.05,-0.09,-0.13,-0.16,16.19,
frc316,17.03,16.16,0.00,5.89,0.85,1.68,2.19,0.60,0.41,2.44,1.78,2.07,5.69,-0.34,0.00,0.00,0.30,2.55,0.97,0.88,-0.06,3.83,3.18,1.79,1.53,2.11,1.69,0.32,-0.54,0.84,-0.61,0.22,-0.23,0.31,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.92,2.15,1.77,0.29,5.89,-0.05,11.20,-0.01,-0.11,-0.11,-0.18,17.03,
frc2363,19.74,12.87,0.00,5.27,1.24,1.48,1.85,1.23,1.15,1.16,0.36,1.01,6.27,-0.41,0.00,0.00,0.87,2.34,3.00,0.03,-0.24,6.21,13.66,1.56,1.33,1.85,2.23,0.66,-0.45,0.39,0.30,1.17,-0.03,1.14,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.82,1.98,2.04,0.89,5.27,-0.02,14.71,0.32,-0.06,0.10,-0.12,19.74,
frc2421,7.06,21.67,0.00,1.88,0.95,1.01,1.55,0.37,-0.32,1.69,0.80,0.76,4.77,-0.22,0.00,0.00,-0.47,-0.08,1.04,-0.04,-0.06,0.27,-2.72,0.59,1.18,1.49,0.19,0.79,0.19,0.64,0.48,0.02,-0.31,0.07,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.08,0.46,0.39,-0.47,1.88,0.01,5.23,0.08,-0.17,-0.05,-0.23,7.06,
frc1719,17.53,9.32,0.00,2.60,-0.14,-0.03,-0.48,0.25,1.63,0.21,1.28,0.56,2.18,2.79,0.00,0.00,1.78,3.60,2.08,-0.18,2.75,7.42,9.99,0.76,1.82,1.95,2.57,0.37,0.73,0.67,1.06,0.42,-0.16,0.15,0.29,0.67,0.67,0.67,0.67,0.67,0.67,-0.26,1.67,1.41,0.84,2.60,-0.06,12.17,0.37,-0.17,0.15,-0.18,17.53,
frc3274,4.45,14.52,0.00,1.65,-0.54,-0.34,-0.59,0.31,1.16,-0.12,-0.77,-0.43,-2.98,-0.03,0.00,0.00,1.82,0.03,1.32,0.09,3.53,2.34,4.71,-0.39,1.71,1.82,-0.08,-0.54,-0.51,-0.33,-0.64,-0.04,-0.17,-0.05,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,-0.08,1.23,1.62,0.05,1.65,0.06,-0.73,0.22,-0.11,-0.02,-0.10,4.45,
frc2534,21.02,13.92,0.00,3.59,1.61,1.41,1.38,0.62,1.35,1.43,1.07,1.50,8.79,-0.34,0.00,0.00,1.80,2.10,1.54,0.01,-0.41,5.47,6.93,2.12,1.57,1.96,3.58,0.71,1.57,1.07,1.70,-0.02,0.30,0.31,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.28,1.27,0.71,1.22,3.59,-0.08,17.84,-0.16,-0.13,-0.11,-0.16,21.02,
frc623,10.50,12.29,0.00,3.02,0.22,0.92,0.84,1.06,-0.34,1.07,1.17,0.72,3.86,-0.61,0.00,0.00,0.12,-0.02,0.91,0.30,1.60,1.06,-2.30,2.02,1.41,1.58,0.95,-0.54,0.52,0.00,0.72,-0.28,0.23,-0.28,0.26,0.67,0.67,0.67,0.67,0.67,0.67,2.09,0.54,0.11,0.27,3.02,0.09,5.87,-0.22,0.35,-0.15,0.28,10.50,
frc1418,22.22,11.61,0.00,2.65,-0.37,0.01,0.11,1.05,0.21,0.34,0.28,0.35,6.23,2.71,0.00,0.00,0.99,3.69,-0.25,0.32,-0.09,4.43,5.64,1.21,2.21,0.93,9.00,1.98,0.73,1.55,1.05,1.12,1.34,1.15,1.09,0.67,0.67,0.67,0.67,0.67,0.67,1.05,0.88,0.59,0.89,2.65,0.05,19.66,1.56,1.18,0.82,1.73,22.22,
frc4464,3.15,22.36,0.00,1.84,0.69,-0.14,0.86,-0.94,0.98,0.66,-0.50,0.30,0.18,-0.30,0.00,0.00,-0.31,-0.04,0.31,0.67,1.70,0.01,0.05,1.05,0.72,1.55,-0.59,0.31,-0.42,0.11,-0.64,-0.15,0.24,-0.08,0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.99,0.92,1.02,-0.07,1.84,0.11,-0.39,-0.12,0.36,-0.09,0.30,3.15,
frc888,18.31,19.51,0.00,4.52,1.43,0.87,1.64,0.47,-0.20,1.47,1.39,1.83,5.46,0.04,0.00,0.00,2.93,0.37,1.23,0.15,2.16,4.64,7.22,1.98,1.27,1.86,1.52,0.83,1.08,0.03,1.11,-0.18,0.30,-0.14,0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.63,0.80,2.18,0.57,4.52,-0.07,11.62,-0.09,0.03,-0.10,-0.11,18.31,
frc2186,6.93,12.63,0.00,1.15,1.27,1.23,1.74,0.67,-0.27,1.56,1.37,0.40,2.77,-0.29,0.00,0.00,1.30,-0.23,0.72,-0.02,0.06,1.84,-1.99,1.42,1.35,1.71,1.12,-0.54,0.68,-0.49,0.81,-0.23,0.42,-0.35,0.27,0.67,0.67,0.67,0.67,0.67,0.67,0.28,1.76,0.94,0.27,1.15,0.08,5.72,-0.25,0.22,-0.17,0.19,6.93,
frc5549,9.19,8.05,0.00,2.03,0.32,1.47,1.15,0.68,0.63,0.34,0.07,0.35,1.21,0.06,0.00,0.00,1.24,2.03,-0.51,0.29,1.02,2.74,-0.17,1.76,1.89,0.78,2.20,0.07,-0.03,0.17,0.30,0.18,0.49,-0.06,0.45,0.67,0.67,0.67,0.67,0.67,0.67,1.18,0.74,0.52,0.21,2.03,0.25,6.15,0.06,-0.05,0.04,-0.01,9.19,
frc2961,3.48,12.35,0.00,1.36,0.16,0.18,-0.37,0.16,0.25,-0.22,-0.17,0.33,-0.53,2.65,0.00,0.00,-1.21,2.04,0.39,-0.06,0.36,1.28,0.50,0.64,0.35,1.00,1.00,0.52,-0.07,0.38,-0.67,0.43,0.19,0.27,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.05,0.56,0.71,0.33,1.36,-0.08,1.76,0.29,0.01,0.09,-0.21,3.48,
frc4242,18.49,10.01,0.00,6.33,1.45,1.37,2.01,0.53,0.69,2.34,1.76,1.53,7.25,-0.27,0.00,0.00,2.17,1.19,1.02,0.00,0.05,4.45,2.63,1.66,1.95,1.56,0.42,-0.02,0.25,0.22,-0.19,-0.27,0.35,-0.01,0.10,0.67,0.67,0.67,0.67,0.67,0.67,2.26,1.65,2.00,0.60,6.33,0.02,12.12,-0.13,0.05,-0.10,0.06,18.49,
frc611,13.75,16.21,0.00,2.53,2.21,2.12,1.57,-0.27,-0.38,0.98,1.23,0.44,7.54,-0.08,0.00,0.00,0.88,-0.61,0.27,0.21,2.51,0.07,-3.45,1.53,1.66,0.89,1.10,0.38,1.30,0.43,1.15,-0.22,0.81,-0.22,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.56,1.58,0.78,-0.10,2.53,-0.04,8.71,-0.20,0.09,0.04,0.33,13.75,
frc612,25.90,10.19,0.00,6.11,1.28,1.38,1.38,2.15,1.22,1.99,2.63,2.15,8.59,0.02,0.00,0.00,3.42,3.01,3.60,-0.07,1.00,9.98,22.15,1.58,2.13,0.96,0.22,-0.53,0.16,-0.72,0.81,-0.31,-0.09,-0.24,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,2.62,2.25,1.16,1.96,6.11,-0.04,18.79,-0.02,-0.10,-0.03,-0.11,25.90,
frc6584,11.23,12.08,0.00,3.15,0.70,-0.72,0.39,1.62,0.43,1.09,0.57,1.13,2.28,0.02,0.00,0.00,-0.78,1.72,0.60,-0.12,2.23,1.70,-2.14,2.10,1.41,1.70,1.87,0.09,-0.18,0.42,-0.33,0.08,-0.03,0.39,0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.12,1.06,1.08,0.28,3.15,0.16,5.85,-0.09,0.08,-0.08,0.01,11.23,
frc6543,12.78,17.80,0.00,2.13,1.53,1.90,1.50,1.31,0.75,1.35,2.18,2.01,6.53,-0.33,0.00,0.00,1.05,0.76,1.20,0.70,0.59,3.05,2.06,1.66,1.46,1.12,0.49,-0.02,-0.32,-0.10,-0.49,-0.02,-0.10,-0.07,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.09,0.92,-0.01,0.04,2.13,0.05,10.07,-0.00,-0.06,-0.05,-0.07,12.78,
frc1629,14.27,11.02,0.00,3.42,0.84,0.57,0.94,0.79,3.26,0.97,0.96,1.45,3.94,0.04,0.00,0.00,-0.03,0.54,1.79,1.04,-0.21,2.40,-2.22,2.24,1.39,1.65,4.73,0.89,0.57,0.33,0.47,0.14,0.16,0.14,0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.06,0.72,1.04,0.27,3.42,-0.06,11.07,0.13,0.21,-0.03,0.23,14.27,
frc2819,2.89,14.63,0.00,0.93,0.83,0.92,0.41,0.08,0.36,1.58,0.88,0.66,0.39,-0.02,0.00,0.00,1.20,0.94,0.44,0.70,-0.09,2.35,1.96,0.77,0.76,0.62,-0.69,-0.64,-0.52,-0.64,-0.63,-0.13,-0.20,-0.08,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,2.73,0.78,0.83,-0.18,0.93,-0.08,2.05,-0.02,-0.04,0.01,-0.04,2.89,
