MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019vapor_qm1,blue,frc6882,frc401,frc3136,15,65,0,3,2,2,2,0,0,2,2,2,0,0,0,0,3,3,0,0,0,6,0,3,5,0,6,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,3,0,12,0,0,0,0,15
2019vapor_qm1,red,frc2068,frc1413,frc1599,65,15,0,15,2,5,5,5,5,5,5,5,21,0,0,0,6,3,12,0,0,21,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,50,0,0,0,0,65
2019vapor_qm10,blue,frc977,frc3359,frc4286,55,54,0,15,2,5,5,2,2,5,2,2,9,0,0,0,6,6,3,0,0,15,30,5,5,5,16,2,0,2,2,2,0,0,2,2,2,2,2,2,2,6,6,3,3,15,0,40,2,0,0,0,55
2019vapor_qm10,red,frc6021,frc2998,frc1599,54,55,0,12,0,5,5,5,5,5,5,5,21,0,0,0,0,3,12,0,0,15,30,3,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,12,0,42,0,0,0,0,54
2019vapor_qm11,blue,frc6504,frc617,frc2890,9,56,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,6,0,6,0,3,0,0,0,0,9
2019vapor_qm11,red,frc2028,frc122,frc401,56,9,0,9,5,5,5,0,0,5,2,2,18,0,0,0,0,3,12,0,0,15,30,5,5,5,14,2,0,2,2,0,5,2,5,2,2,2,2,2,2,3,3,3,3,9,0,47,0,2,0,0,56
2019vapor_qm12,blue,frc1080,frc190,frc2363,72,32,0,12,2,5,5,0,0,5,5,5,27,0,0,0,3,12,6,0,0,21,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,3,12,0,60,0,2,0,2,72
2019vapor_qm12,red,frc6882,frc5279,frc5546,32,72,0,12,2,2,2,2,2,5,5,5,9,0,0,0,3,0,0,0,0,3,0,5,5,0,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,6,0,0,12,0,20,0,0,0,0,32
2019vapor_qm13,blue,frc2068,frc4466,frc3359,35,66,0,6,5,5,5,0,0,5,2,5,15,0,0,0,3,3,6,0,0,12,0,3,3,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,29,0,0,0,0,35
2019vapor_qm13,red,frc1793,frc7429,frc1599,66,35,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,0,9,0,5,5,5,12,2,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,51,0,0,0,0,66
2019vapor_qm14,blue,frc5957,frc6504,frc7330,22,49,0,12,0,0,0,0,2,5,2,2,3,0,0,0,3,0,0,0,0,3,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,10,0,0,0,0,22
2019vapor_qm14,red,frc2106,frc3136,frc6334,49,22,0,15,2,2,2,0,5,2,0,0,3,0,0,0,3,0,12,0,0,15,30,5,5,5,16,2,2,2,0,2,2,2,0,2,2,2,2,2,2,3,6,6,3,15,0,34,0,2,0,0,49
2019vapor_qm15,blue,frc6189,frc6882,frc1908,30,20,0,15,2,2,2,0,2,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,6,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,15,0,0,0,0,30
2019vapor_qm15,red,frc2028,frc5279,frc617,20,30,0,6,5,5,2,0,0,5,2,2,9,0,0,0,0,3,0,0,0,3,0,5,5,0,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,6,0,14,0,0,0,0,20
2019vapor_qm16,blue,frc5546,frc1080,frc6194,42,56,0,6,2,5,5,2,0,5,5,0,12,0,0,0,3,0,3,0,10,6,0,3,5,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,3,0,6,0,26,0,0,0,0,42
2019vapor_qm16,red,frc122,frc422,frc2890,56,42,0,15,5,5,5,5,5,5,5,2,21,0,0,0,0,6,0,0,0,6,0,5,5,5,14,2,2,2,2,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,1,41,0,0,0,0,56
2019vapor_qm17,blue,frc401,frc3361,frc977,47,62,0,15,2,2,5,5,0,2,2,2,6,0,0,0,3,3,6,0,0,12,0,5,5,5,14,2,2,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,0,15,0,32,0,0,0,2,47
2019vapor_qm17,red,frc1610,frc1793,frc2363,62,47,0,15,2,5,5,2,0,0,0,0,18,0,0,0,0,3,12,0,0,15,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,3,15,0,47,2,0,2,0,62
2019vapor_qm18,blue,frc6021,frc3072,frc5954,8,46,0,6,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,2,0,0,0,0,8
2019vapor_qm18,red,frc2998,frc3939,frc1413,46,8,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,0,0,0,0,3,0,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,34,0,0,0,0,46
2019vapor_qm19,blue,frc6189,frc2028,frc2068,35,41,0,12,2,5,5,0,5,5,5,5,18,0,0,0,3,0,0,2,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,23,0,0,0,0,35
2019vapor_qm19,red,frc190,frc5546,frc4286,41,35,0,6,5,5,5,5,0,5,2,2,15,0,0,0,3,0,3,0,6,6,0,5,0,5,8,2,0,2,0,0,0,2,0,2,2,2,2,2,2,3,0,3,2,6,0,29,0,0,0,0,41
2019vapor_qm2,blue,frc2363,frc2998,frc6334,59,30,0,15,2,2,2,5,2,5,5,5,12,0,0,0,12,3,3,0,0,18,30,5,5,5,14,2,0,0,2,0,0,0,2,2,Unknown,2,2,2,2,6,6,3,3,15,0,44,0,0,0,0,59
2019vapor_qm2,red,frc2028,frc1908,frc7330,30,59,0,9,5,5,0,0,0,0,5,5,12,0,0,0,3,6,0,0,0,9,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,0,0,9,0,21,0,0,0,0,30
2019vapor_qm20,blue,frc4466,frc401,frc5957,47,31,0,9,5,5,5,0,0,5,5,2,15,0,0,0,3,0,6,0,10,9,0,3,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,28,0,0,0,0,47
2019vapor_qm20,red,frc7330,frc3136,frc2363,31,47,0,9,5,5,5,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,5,5,10,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,6,0,9,1,22,0,0,0,0,31
2019vapor_qm21,blue,frc1908,frc1413,frc1610,63,48,0,15,2,0,0,0,0,5,5,5,21,0,0,0,6,3,0,0,6,9,0,5,5,5,12,5,2,2,5,0,5,0,5,2,2,2,2,2,2,3,6,6,2,15,0,42,0,0,0,0,63
2019vapor_qm21,red,frc7429,frc1080,frc6504,48,63,0,15,5,5,2,5,5,2,5,5,18,0,0,0,3,3,3,2,0,9,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,33,0,0,0,0,48
2019vapor_qm22,blue,frc3072,frc4286,frc2998,44,48,0,15,5,5,5,0,0,5,5,5,18,0,0,0,0,0,3,0,0,3,0,5,5,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,6,0,15,0,29,0,0,0,0,44
2019vapor_qm22,red,frc2890,frc6882,frc2106,48,44,0,15,5,2,2,5,0,0,5,5,12,0,0,0,3,0,12,0,0,15,30,5,5,5,6,0,2,0,0,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,33,0,0,0,0,48
2019vapor_qm23,blue,frc617,frc3939,frc422,24,42,0,6,5,5,5,0,0,2,2,5,12,0,0,0,0,0,6,0,0,6,0,0,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,6,0,6,0,18,0,0,0,0,24
2019vapor_qm23,red,frc6334,frc3361,frc6021,42,24,0,12,2,2,2,0,0,2,2,2,0,0,0,0,12,6,0,0,0,18,30,5,5,3,12,0,2,0,2,0,2,0,2,2,2,2,2,2,2,6,6,3,3,12,0,30,0,2,0,2,42
2019vapor_qm24,blue,frc1599,frc5954,frc977,52,29,0,9,2,2,5,5,5,5,5,5,18,0,0,0,3,0,6,0,0,9,0,5,0,5,16,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,6,6,2,9,0,43,0,2,0,2,52
2019vapor_qm24,red,frc6194,frc2068,frc5279,29,52,0,9,2,0,2,0,0,2,0,0,6,0,0,0,0,6,0,0,0,6,0,5,3,5,8,2,0,2,0,5,0,5,0,2,2,2,2,2,2,6,6,3,0,9,0,20,0,0,0,0,29
2019vapor_qm25,blue,frc122,frc1793,frc6504,33,70,0,9,2,2,2,5,5,5,2,2,9,0,0,0,0,0,3,0,0,3,0,5,5,3,12,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,0,9,0,24,0,0,0,0,33
2019vapor_qm25,red,frc3359,frc190,frc2998,70,33,0,15,5,5,5,5,5,5,5,5,24,0,0,0,6,12,3,0,0,21,30,5,5,5,10,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,55,0,0,0,0,70
2019vapor_qm26,blue,frc2363,frc4286,frc2106,42,35,0,12,2,2,2,0,0,5,5,5,15,0,0,0,6,0,3,0,0,9,0,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,30,0,0,0,0,42
2019vapor_qm26,red,frc4466,frc3136,frc617,35,42,0,12,5,5,5,5,0,5,2,2,15,0,0,0,3,3,0,0,0,6,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,0,0,12,0,23,0,0,0,0,35
2019vapor_qm27,blue,frc3361,frc2068,frc1610,60,50,0,15,2,5,5,0,2,2,2,2,15,0,0,0,6,3,3,0,0,12,0,5,5,5,18,2,5,0,5,0,5,0,2,2,2,2,2,2,2,6,3,6,2,15,0,45,0,2,0,2,60
2019vapor_qm27,red,frc977,frc5546,frc5957,50,60,0,15,2,2,5,0,2,5,5,2,9,0,0,0,3,3,0,0,0,6,0,5,5,5,20,2,2,0,2,0,2,0,2,2,2,2,2,2,2,6,3,6,0,15,0,35,0,2,0,2,50
2019vapor_qm28,blue,frc190,frc5954,frc5279,25,64,0,3,2,2,2,0,0,5,2,2,3,0,0,0,12,0,3,0,0,15,30,5,3,3,4,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,3,1,3,0,22,0,0,0,0,25
2019vapor_qm28,red,frc1413,frc401,frc422,64,25,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,49,0,0,0,0,64
2019vapor_qm29,blue,frc7429,frc2028,frc6882,45,55,0,15,2,5,5,0,5,5,5,2,15,0,0,0,3,3,3,1,0,9,0,5,5,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,6,0,15,0,30,0,0,0,0,45
2019vapor_qm29,red,frc3072,frc3939,frc1793,55,45,0,15,5,2,2,0,5,5,5,5,15,0,0,0,12,3,3,0,3,18,30,5,5,5,4,0,0,0,0,0,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,37,0,0,0,0,55
2019vapor_qm3,blue,frc3072,frc6194,frc190,33,25,0,9,2,0,2,0,0,2,0,2,3,0,0,0,3,0,12,0,0,15,30,5,0,5,6,0,5,0,2,0,0,0,2,2,2,2,2,2,Unknown,6,0,3,3,9,0,24,0,0,0,0,33
2019vapor_qm3,red,frc1080,frc617,frc3361,25,33,0,9,5,0,5,5,2,0,0,2,9,0,0,0,3,0,0,0,0,3,0,5,0,5,4,0,0,0,0,0,0,0,0,2,2,Unknown,2,2,2,3,0,6,0,9,0,16,0,0,0,0,25
2019vapor_qm30,blue,frc1599,frc2890,frc3359,68,14,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,0,6,0,3,18,30,5,5,5,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,50,2,0,0,0,68
2019vapor_qm30,red,frc7330,frc6189,frc1080,14,68,0,3,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,1,0,9,0,3,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,3,0,11,0,0,2,0,14
2019vapor_qm31,blue,frc6334,frc1908,frc2068,53,31,0,15,2,2,2,0,0,5,2,2,6,0,0,0,12,6,6,0,0,24,30,5,5,5,8,2,0,5,0,2,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,38,2,0,0,0,53
2019vapor_qm31,red,frc122,frc6194,frc6021,31,53,0,15,2,2,2,0,0,2,2,2,6,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,16,0,0,0,0,31
2019vapor_qm32,blue,frc617,frc977,frc2998,60,41,0,12,5,5,5,5,5,5,2,2,18,0,0,0,3,6,3,0,0,12,0,3,5,5,18,2,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,2,12,0,48,0,0,0,2,60
2019vapor_qm32,red,frc3136,frc5546,frc3072,41,60,0,15,5,5,5,0,0,5,5,2,18,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,26,0,0,0,0,41
2019vapor_qm33,blue,frc2363,frc5957,frc2028,74,46,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,6,3,0,3,12,0,5,5,5,14,5,0,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,56,2,0,0,0,74
2019vapor_qm33,red,frc3359,frc1610,frc6882,46,74,0,15,5,5,5,0,0,0,0,0,12,0,0,0,6,0,3,1,0,9,0,5,5,5,10,5,0,2,0,2,0,2,0,2,2,2,2,2,2,6,6,3,0,15,0,31,0,0,2,0,46
2019vapor_qm34,blue,frc6194,frc7330,frc7429,23,66,-1,12,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,5,3,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,12,0,0,0,0,23
2019vapor_qm34,red,frc422,frc190,frc3361,66,23,0,15,5,5,5,0,0,5,5,2,21,0,0,0,6,12,6,0,0,24,30,5,5,5,6,0,0,2,0,5,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,51,0,0,0,0,66
2019vapor_qm35,blue,frc6334,frc122,frc4466,54,33,0,15,2,0,2,0,2,2,2,2,9,0,0,0,12,3,3,0,0,18,30,5,5,5,12,5,0,5,0,2,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,39,2,0,0,0,54
2019vapor_qm35,red,frc5954,frc401,frc2890,33,54,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,12,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,18,0,0,0,0,33
2019vapor_qm36,blue,frc1080,frc1908,frc3939,46,42,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,6,3,0,0,12,0,5,5,5,4,0,0,0,0,0,2,0,2,2,2,2,2,2,2,3,6,3,2,12,0,34,0,0,0,0,46
2019vapor_qm36,red,frc6504,frc1413,frc4286,42,46,0,15,0,2,0,2,2,2,5,5,6,0,0,0,3,12,0,0,0,15,30,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,27,0,0,0,0,42
2019vapor_qm37,blue,frc5279,frc6021,frc1793,44,61,0,12,5,5,5,0,5,5,5,5,21,0,0,0,0,3,3,0,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,29,0,0,0,0,44
2019vapor_qm37,red,frc1599,frc2106,frc6189,61,44,0,15,2,5,5,5,5,5,5,5,21,0,0,0,6,12,3,1,0,21,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,46,0,0,0,0,61
2019vapor_qm38,blue,frc190,frc977,frc2028,64,35,0,12,5,5,5,0,0,5,5,2,18,30,0,0,12,3,3,0,6,18,30,5,5,5,10,5,0,0,2,2,0,0,2,2,2,2,2,2,2,3,6,3,4,12,0,46,2,0,0,0,64
2019vapor_qm38,red,frc2890,frc4466,frc7429,35,64,0,15,0,0,0,5,2,2,0,0,3,0,0,0,0,3,6,2,0,9,0,5,5,5,8,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,20,0,0,0,0,35
2019vapor_qm39,blue,frc2068,frc2998,frc1080,31,62,0,15,2,2,2,0,0,5,5,0,6,0,0,0,0,3,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,16,0,0,0,0,31
2019vapor_qm39,red,frc3361,frc2363,frc3939,62,31,0,15,5,5,5,5,2,2,2,2,15,0,0,0,3,12,3,0,0,18,30,5,5,5,14,0,2,0,5,2,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,47,0,0,0,0,62
2019vapor_qm4,blue,frc5957,frc422,frc5279,54,26,0,15,0,5,5,2,5,5,5,0,21,0,0,0,0,3,3,0,0,6,0,5,5,5,12,0,0,0,2,0,5,0,5,2,2,2,Unknown,2,2,6,6,3,2,15,0,39,0,0,0,0,54
2019vapor_qm4,red,frc3939,frc4466,frc4286,26,54,0,6,2,2,2,0,2,2,2,2,0,0,0,0,0,12,0,0,0,12,0,3,3,5,8,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,Unknown,6,0,6,0,20,0,0,0,0,26
2019vapor_qm40,blue,frc3359,frc5546,frc401,61,57,0,12,5,5,5,2,5,5,5,5,21,0,0,0,6,6,12,0,0,24,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,49,0,0,0,0,61
2019vapor_qm40,red,frc4286,frc422,frc1908,57,61,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,6,6,0,0,15,30,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,42,0,0,0,0,57
