MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019waahs_qm1,blue,frc3070,frc4911,frc3684,49,68,0,9,5,5,5,5,0,5,2,2,27,0,0,0,0,3,0,1,0,3,0,0,5,5,10,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,0,9,0,40,0,0,0,0,49
2019waahs_qm1,red,frc3049,frc2046,frc4089,68,49,0,12,2,2,5,0,0,5,5,5,18,30,0,0,3,12,6,0,3,21,30,5,5,5,14,2,5,0,5,0,2,0,2,2,2,2,2,2,2,3,6,3,4,12,0,53,0,2,0,2,68
2019waahs_qm10,blue,frc3070,frc360,frc2097,34,27,0,3,5,5,5,0,5,2,0,0,12,0,0,0,3,3,3,1,6,9,0,3,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,3,0,25,0,0,0,0,34
2019waahs_qm10,red,frc3237,frc3393,frc2929,27,34,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,2,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,9,0,0,0,0,27
2019waahs_qm11,blue,frc6503,frc4461,frc3574,24,60,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,1,0,15,30,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,15,0,0,0,0,24
2019waahs_qm11,red,frc948,frc1318,frc4911,60,24,0,6,5,5,5,5,5,5,5,2,30,0,0,0,3,6,3,0,3,9,0,0,5,5,12,5,5,5,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,51,0,0,0,0,60
2019waahs_qm12,blue,frc6350,frc3049,frc7118,49,54,0,12,5,5,5,5,5,2,0,0,18,0,0,0,3,3,3,0,0,9,0,5,5,5,10,5,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,37,0,0,0,0,49
2019waahs_qm12,red,frc2097,frc2907,frc5937,54,49,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,6,0,0,12,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,42,0,0,0,0,54
2019waahs_qm13,blue,frc1318,frc2927,frc3786,50,39,0,9,2,2,2,5,5,5,5,5,18,0,0,0,12,3,0,6,0,15,30,5,5,5,8,5,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,41,0,0,0,0,50
2019waahs_qm13,red,frc6959,frc3684,frc2906,39,50,0,12,2,2,5,0,0,2,2,2,3,0,0,0,0,3,3,0,18,6,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,9,0,0,0,0,39
