Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3070,10.56,15.22,0.00,5.33,0.61,0.80,1.46,0.27,-0.05,1.46,1.30,0.77,3.81,-0.71,0.01,-0.34,0.69,1.09,0.32,0.30,-0.67,1.93,-0.88,1.30,1.67,1.60,0.17,-0.12,0.01,0.04,-0.15,0.04,0.44,0.27,0.28,0.67,0.67,0.67,0.67,0.67,0.67,2.36,1.80,2.02,0.22,5.33,-0.02,5.90,-0.08,-0.09,0.14,-0.09,10.56,
frc4911,32.36,15.56,0.00,2.48,2.70,2.60,2.08,3.00,1.62,1.85,1.31,0.51,16.83,6.33,4.94,2.58,1.62,2.06,0.69,0.40,2.24,4.15,4.31,1.06,1.88,1.41,6.67,1.94,2.10,1.75,1.85,1.11,0.34,1.00,0.50,0.67,0.67,0.67,0.67,0.67,0.67,0.38,0.91,1.61,1.03,2.48,-0.01,27.65,0.78,0.42,0.80,0.40,32.36,
frc3684,8.82,13.07,0.00,3.91,0.76,1.39,1.50,0.03,0.20,1.17,0.75,0.61,1.63,-1.26,-0.78,-0.12,-0.19,1.64,-0.39,-0.55,1.65,1.11,-0.99,1.17,1.17,1.47,0.52,0.42,-0.34,0.08,-0.28,0.19,-0.07,0.24,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,2.25,1.76,0.99,0.19,3.91,-0.02,3.26,-0.14,0.00,-0.10,-0.01,8.82,
frc3049,14.87,15.66,0.00,3.82,0.61,0.98,1.06,0.32,0.45,0.33,0.11,-0.31,0.24,1.05,-0.54,-0.40,0.71,2.43,2.87,0.26,0.45,6.07,9.59,1.83,1.41,1.90,4.28,0.25,0.96,-0.57,1.04,-0.39,-0.19,-0.14,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.59,0.78,0.90,0.43,3.82,-0.01,10.59,-0.16,0.05,-0.11,0.07,14.87,
frc2046,37.15,13.17,0.00,6.31,0.10,0.62,0.99,0.69,0.72,0.95,1.41,0.61,9.90,7.13,-0.25,2.55,3.24,1.23,4.12,0.21,2.81,8.66,14.54,1.79,1.63,1.92,9.47,2.33,1.64,2.14,1.94,2.47,1.63,2.11,1.47,0.67,0.67,0.67,0.67,0.67,0.67,1.74,2.24,1.98,1.72,6.31,-0.01,28.03,0.41,0.93,0.25,0.75,37.15,
frc4089,25.73,16.00,0.00,5.17,1.98,2.35,2.65,-0.38,0.09,2.55,1.90,2.29,10.06,4.51,2.57,-0.20,2.83,3.45,2.57,-0.28,-0.14,8.89,13.94,1.71,1.72,1.77,1.75,0.48,0.75,0.13,0.52,0.14,0.09,0.17,0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.90,2.01,2.04,1.12,5.17,0.08,20.70,0.39,0.09,0.40,0.09,25.73,
frc360,17.40,11.25,0.00,3.42,1.53,0.55,1.15,1.34,1.95,1.13,0.61,0.79,3.73,0.92,-0.78,-0.13,3.06,0.11,4.01,0.52,1.05,7.22,10.17,1.19,1.43,1.68,1.98,-0.25,0.61,-0.31,0.66,-0.14,-0.21,-0.09,0.02,0.67,0.67,0.67,0.67,0.67,0.67,2.07,1.93,0.97,0.87,3.42,-0.01,12.94,-0.06,0.07,-0.06,0.27,17.40,
frc2097,13.97,14.37,0.00,2.93,1.49,1.63,1.35,0.22,0.25,1.52,0.69,0.41,5.24,1.42,2.41,-0.39,2.03,0.69,-0.59,-0.13,1.27,2.20,-3.66,1.48,1.80,1.71,2.34,1.24,0.79,0.80,-0.00,0.65,-0.44,0.37,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,0.86,1.42,1.78,0.34,2.93,0.17,9.78,0.52,-0.14,0.32,-0.14,13.97,
frc3237,9.06,26.32,0.00,4.30,0.73,1.30,1.38,-0.01,0.72,0.89,0.92,0.64,3.30,2.56,2.30,-0.22,0.07,-0.45,2.22,1.32,-1.22,1.85,-2.35,1.45,1.28,1.20,0.83,-0.27,-0.15,-0.24,0.01,0.41,0.28,0.46,0.22,0.67,0.67,0.67,0.67,0.67,0.67,2.00,1.39,1.18,-0.52,4.30,-0.02,5.98,0.36,-0.05,0.37,-0.05,9.06,
frc3393,12.92,17.13,0.00,6.67,0.62,0.34,-0.13,1.79,1.64,0.29,-0.02,-0.37,-0.03,-1.29,-0.76,-0.32,2.32,0.90,0.04,0.39,-0.30,3.29,3.29,1.95,1.88,2.11,3.30,0.17,0.71,-0.22,0.52,-0.12,-0.12,-0.38,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.53,2.32,0.20,6.67,-0.00,6.55,-0.15,-0.07,-0.13,-0.03,12.92,
frc2929,5.91,11.25,0.00,4.22,0.60,0.53,1.34,-0.62,-1.18,0.61,1.51,1.50,2.46,4.42,2.17,0.11,0.27,0.14,0.32,0.76,0.28,0.77,0.84,1.56,1.40,1.61,-1.81,0.27,-0.49,-0.16,-0.44,0.08,0.28,0.10,0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.39,1.50,1.72,0.40,4.22,-0.01,1.41,0.28,-0.02,0.29,-0.05,5.91,
frc6503,8.14,16.34,0.00,5.60,-0.22,0.07,0.03,0.78,-0.50,0.89,1.07,0.75,1.36,-1.56,-0.39,-0.30,0.70,0.90,-0.63,0.33,0.96,0.98,0.01,1.84,1.82,1.97,-0.76,0.40,0.66,0.28,0.39,-0.04,-0.29,-0.31,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.05,1.98,0.29,5.60,-0.02,1.58,-0.14,-0.14,-0.15,-0.15,8.14,
frc4461,4.56,24.84,0.00,0.34,0.31,0.65,1.32,1.09,-0.55,1.09,1.12,0.47,1.90,1.74,-0.43,-0.20,-0.45,-0.18,2.48,0.29,0.20,1.64,3.91,1.20,1.03,0.77,0.48,-0.02,0.12,-0.23,0.58,-0.00,-0.30,0.11,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.40,1.43,1.45,-0.33,0.34,-0.03,4.02,-0.12,-0.08,-0.09,0.10,4.56,
frc3574,20.58,12.91,0.00,3.15,-0.12,-0.02,-0.13,0.48,1.21,-1.04,-1.03,-0.95,-0.42,-0.64,-0.34,0.10,3.18,3.65,4.01,-0.15,2.57,10.89,19.92,1.71,0.89,1.83,4.38,0.30,0.47,0.60,0.08,-0.07,0.25,0.29,0.26,0.67,0.67,0.67,0.67,0.67,0.67,0.84,0.24,2.09,1.21,3.15,0.07,14.86,-0.06,0.20,0.31,0.20,20.58,
frc948,23.66,21.43,0.00,5.88,2.29,1.98,0.78,1.21,0.81,1.70,2.93,2.74,10.29,0.93,-0.42,-0.34,1.33,1.20,1.59,0.28,1.95,3.92,0.93,1.25,1.97,1.93,1.63,0.71,0.03,0.66,0.65,0.16,-0.05,0.32,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.45,2.14,1.80,0.39,5.88,-0.03,15.83,0.04,-0.13,-0.17,-0.15,23.66,
frc1318,27.25,14.80,0.00,2.05,1.59,1.55,1.48,1.91,2.92,0.84,1.03,1.05,9.37,-0.86,-0.27,-0.44,3.42,1.65,3.50,0.63,0.48,8.37,12.61,1.00,1.58,1.87,6.98,2.14,1.84,2.06,1.04,0.65,-0.35,0.59,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.23,1.31,0.60,0.95,2.05,0.00,24.73,0.24,-0.11,0.28,-0.09,27.25,
