MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019waamv_qm1,blue,frc2976,frc3588,frc5588,49,12,0,12,2,2,5,5,2,5,5,5,15,0,0,0,0,3,3,0,0,6,0,5,5,5,16,2,2,0,2,2,0,0,2,2,2,2,2,2,2,3,6,3,2,12,0,37,0,0,0,2,49
2019waamv_qm1,red,frc4681,frc2906,frc4060,12,49,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,0,3,0,0,6,0,3,0,3,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,6,0,0,0,12,0,0,0,0,12
2019waamv_qm10,blue,frc4060,frc948,frc7461,60,35,0,15,5,5,5,0,0,5,5,5,18,0,0,0,6,3,3,1,15,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,30,0,0,0,0,60
2019waamv_qm10,red,frc2927,frc1983,frc1294,35,60,0,9,5,5,5,0,0,5,5,5,18,0,0,0,0,3,0,5,3,3,0,5,3,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,23,0,0,0,0,35
2019waamv_qm11,blue,frc6503,frc4915,frc5588,19,16,0,3,2,2,2,0,5,2,2,2,3,0,0,0,0,0,3,0,6,3,0,3,0,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,3,0,10,0,0,0,0,19
2019waamv_qm11,red,frc4918,frc568,frc2976,16,19,0,3,2,2,2,0,0,5,5,2,6,0,0,0,3,0,0,2,0,3,0,3,3,5,4,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,0,3,0,13,0,0,0,0,16
2019waamv_qm12,blue,frc3574,frc3684,frc4450,47,38,0,15,5,5,5,0,5,0,2,2,12,0,0,0,12,3,3,1,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,2,32,0,0,0,0,47
2019waamv_qm12,red,frc2907,frc4681,frc6959,38,47,0,3,2,5,5,0,0,2,2,2,6,0,0,0,3,0,3,0,23,6,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,3,0,12,0,0,0,0,38
2019waamv_qm13,blue,frc6350,frc4205,frc2557,38,35,0,9,5,5,5,2,2,0,2,0,9,0,0,0,0,3,3,0,6,6,0,5,3,5,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,23,0,0,0,0,38
2019waamv_qm13,red,frc2097,frc488,frc948,35,38,0,12,0,0,0,5,0,5,5,5,12,0,0,0,3,3,3,2,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,23,0,0,0,0,35
2019waamv_qm14,blue,frc568,frc7461,frc2906,12,63,0,12,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,0,0,0,0,0,12
2019waamv_qm14,red,frc3393,frc1899,frc1983,63,12,0,9,2,2,5,5,5,5,5,5,18,0,0,0,0,3,12,0,15,15,30,3,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,39,0,0,0,0,63
2019waamv_qm15,blue,frc1294,frc3218,frc2907,33,24,0,9,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,1,0,6,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,24,0,0,0,0,33
2019waamv_qm15,red,frc5450,frc3237,frc5588,24,33,0,6,5,5,2,0,2,2,2,2,6,0,0,0,0,0,3,0,3,3,0,5,3,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,15,0,0,0,0,24
2019waamv_qm16,blue,frc2929,frc3684,frc3588,12,40,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,0,3,0,9,0,0,0,0,12
2019waamv_qm16,red,frc5937,frc1258,frc2097,40,12,0,9,5,5,5,5,0,0,0,0,15,0,0,0,6,3,3,0,0,12,0,5,3,5,4,0,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,9,0,31,0,0,0,0,40
2019waamv_qm17,blue,frc4450,frc4131,frc6959,30,48,0,6,0,0,2,5,5,5,5,5,15,0,0,0,3,0,0,0,0,3,0,5,5,0,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,24,0,0,0,0,30
2019waamv_qm17,red,frc2976,frc4915,frc6350,48,30,0,15,5,5,5,5,5,2,2,2,15,0,0,0,3,0,3,0,0,6,0,5,5,5,12,2,2,2,0,0,0,2,0,2,2,2,2,2,2,3,6,6,2,15,0,33,0,0,0,0,48
2019waamv_qm18,blue,frc2412,frc2046,frc4918,52,35,0,12,2,2,0,0,0,2,2,2,12,0,0,0,3,12,3,0,0,18,30,5,5,3,10,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,3,12,0,40,0,0,2,0,52
2019waamv_qm18,red,frc4681,frc488,frc3681,35,52,0,6,5,5,5,5,5,0,0,0,18,0,0,0,3,0,0,0,0,3,0,5,3,3,8,0,0,0,0,0,0,5,0,2,2,2,2,2,2,6,6,3,0,6,0,29,0,0,2,0,35
2019waamv_qm19,blue,frc5827,frc6503,frc4205,31,25,0,3,0,0,0,0,2,2,2,2,0,0,0,0,12,3,3,3,0,18,30,5,3,3,10,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,0,28,0,0,0,0,31
2019waamv_qm19,red,frc3574,frc4060,frc2927,25,31,0,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,7,0,0,0,0,25
2019waamv_qm2,blue,frc1258,frc2907,frc4131,45,42,0,12,5,5,5,5,2,2,2,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,1,33,0,0,0,0,45
2019waamv_qm2,red,frc5937,frc3574,frc3393,42,45,0,9,0,0,2,5,2,5,0,0,6,0,0,0,6,3,0,0,10,9,0,5,5,0,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,9,0,23,0,0,0,0,42
2019waamv_qm20,blue,frc6350,frc3588,frc4131,54,9,0,15,2,5,5,5,5,2,2,2,15,0,0,0,3,3,3,0,3,9,0,5,5,5,12,2,2,2,5,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,36,0,0,0,0,54
2019waamv_qm20,red,frc3237,frc1294,frc2929,9,54,0,6,2,2,2,0,0,2,2,2,0,0,0,0,6,0,3,1,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,3,0,0,0,0,9
2019waamv_qm21,blue,frc5588,frc6959,frc2906,19,39,0,9,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,1,0,3,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,10,0,0,0,0,19
2019waamv_qm21,red,frc4450,frc4915,frc2097,39,19,0,9,5,5,5,0,0,2,2,2,9,0,0,0,3,12,3,0,3,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,27,0,0,0,0,39
2019waamv_qm22,blue,frc3684,frc5937,frc2927,16,49,0,9,0,0,2,2,0,5,2,2,3,0,0,0,0,0,0,0,0,0,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,7,0,0,0,0,16
2019waamv_qm22,red,frc2976,frc2412,frc3393,49,16,0,12,5,5,5,5,5,0,0,0,21,0,0,0,3,3,0,0,0,6,0,5,5,5,10,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,37,0,0,0,0,49
2019waamv_qm23,blue,frc4681,frc5827,frc4918,33,68,0,3,2,0,0,0,5,0,0,5,9,0,0,0,0,12,3,0,0,15,30,0,5,3,6,5,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,1,3,0,30,0,0,0,0,33
2019waamv_qm23,red,frc2907,frc4205,frc2046,68,33,0,15,5,5,5,5,0,2,2,2,24,0,0,0,3,0,12,0,0,15,30,5,5,5,14,5,0,2,0,2,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,53,5,0,5,0,68
2019waamv_qm24,blue,frc5450,frc3681,frc948,33,29,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,6,2,9,0,24,0,0,0,0,33
2019waamv_qm24,red,frc7461,frc3218,frc3574,29,33,0,12,0,0,2,2,2,2,2,2,0,0,0,0,6,0,3,0,0,9,0,5,3,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,17,0,0,0,0,29
2019waamv_qm25,blue,frc4060,frc1899,frc488,42,31,0,15,5,2,5,5,0,5,0,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,27,0,0,0,0,42
2019waamv_qm25,red,frc1258,frc2557,frc6503,31,42,0,3,2,2,2,2,2,5,5,5,9,0,0,0,3,3,3,0,0,9,0,3,5,3,10,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,28,0,0,0,0,31
2019waamv_qm26,blue,frc4205,frc1983,frc2929,54,47,0,12,2,5,5,5,0,5,5,5,18,0,0,0,3,12,3,0,0,18,30,3,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,12,0,42,0,0,0,0,54
2019waamv_qm26,red,frc4131,frc4915,frc568,47,54,0,3,2,5,5,5,5,2,2,2,18,0,0,0,3,12,3,0,0,18,30,5,3,3,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,1,3,0,44,0,0,0,0,47
2019waamv_qm27,blue,frc3393,frc948,frc1294,48,46,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,0,0,9,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,24,0,0,0,0,48
2019waamv_qm27,red,frc2097,frc2976,frc3237,46,48,0,6,2,5,5,5,5,5,5,5,27,0,0,0,3,0,0,3,0,3,0,5,5,3,10,5,5,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,40,0,0,0,0,46
2019waamv_qm28,blue,frc3574,frc4918,frc3681,36,24,0,12,2,2,2,2,2,2,0,0,0,0,0,0,3,3,3,1,3,9,0,5,5,5,12,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,3,2,12,0,21,0,0,0,2,36
2019waamv_qm28,red,frc6350,frc2906,frc488,24,36,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,0,3,1,3,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,6,0,0,0,0,24
2019waamv_qm29,blue,frc4450,frc3218,frc4060,30,50,0,12,2,2,2,2,0,5,5,2,6,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,18,0,0,0,0,30
2019waamv_qm29,red,frc5937,frc5827,frc1899,50,30,0,12,5,5,5,0,0,5,2,0,12,0,0,0,3,12,3,0,0,18,30,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,38,0,0,0,0,50
2019waamv_qm3,blue,frc3681,frc2412,frc2929,8,30,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,0,3,0,5,0,0,0,0,8
2019waamv_qm3,red,frc5827,frc6350,frc948,30,8,0,6,0,0,0,0,5,5,5,5,12,0,0,0,3,3,3,0,0,6,0,5,0,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,6,0,24,0,0,0,0,30
