Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2976,20.70,6.26,0.00,2.21,0.96,1.32,1.58,2.42,1.67,1.84,1.91,1.33,10.69,-0.75,-0.31,-0.15,1.33,0.41,-0.88,0.95,0.70,0.93,-2.43,1.44,1.77,0.92,6.17,1.49,2.61,0.93,2.11,0.18,0.42,0.10,0.09,0.67,0.67,0.67,0.67,0.67,0.67,-0.04,1.53,1.35,0.61,2.21,0.05,17.79,-0.14,0.05,-0.25,0.20,20.70,
frc3588,18.32,4.73,0.00,4.59,0.47,0.66,1.06,1.92,0.56,1.31,1.16,1.01,3.11,-0.28,-0.14,-0.43,0.80,1.46,0.46,0.00,2.95,2.74,1.53,1.38,1.39,1.46,4.93,0.06,1.09,0.03,1.39,0.04,0.28,-0.00,0.77,0.67,0.67,0.67,0.67,0.67,0.67,2.24,2.30,1.19,0.99,4.59,-0.05,10.78,0.04,0.04,0.06,0.45,18.32,
frc5588,12.71,10.41,0.00,3.53,0.81,0.95,0.53,0.51,1.81,0.86,1.03,0.77,3.20,-0.56,-0.16,-0.08,0.48,0.36,1.04,-0.11,-0.26,1.86,0.15,1.81,1.43,2.20,4.38,0.41,0.21,0.37,1.02,0.40,-0.12,0.40,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.07,1.23,1.45,0.51,3.53,0.01,9.44,-0.10,-0.06,0.06,0.05,12.71,
frc4681,10.97,19.96,0.00,1.64,1.48,1.66,1.83,0.12,0.69,0.78,0.96,1.15,6.30,-0.33,-0.02,0.10,-0.06,1.35,-0.34,-0.04,1.61,1.00,0.17,1.07,0.74,1.55,0.43,0.05,0.03,-0.46,0.70,-0.19,0.40,0.21,0.55,0.67,0.67,0.67,0.67,0.67,0.67,2.43,1.46,1.87,-0.16,1.64,0.09,7.73,-0.03,0.35,0.07,0.28,10.97,
frc2906,4.07,13.94,0.00,2.15,0.61,0.92,1.21,0.15,0.11,0.60,0.68,-0.02,1.43,-0.17,-0.13,-0.12,0.96,0.38,0.55,0.61,-0.74,1.99,2.24,0.98,1.60,1.03,-0.76,0.04,-0.16,-0.44,-0.33,-0.08,-0.20,-0.07,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.70,0.09,0.86,0.12,2.15,-0.06,2.66,-0.03,-0.14,-0.01,0.03,4.07,
frc4060,13.88,18.69,0.00,6.12,-0.29,-0.52,-0.09,1.54,0.88,-0.01,0.07,-0.15,-0.98,-1.15,-0.71,-0.46,1.08,0.65,2.12,-0.34,1.70,4.01,-2.40,1.87,1.71,1.50,3.03,-0.10,0.07,-0.06,0.56,0.11,-0.08,0.30,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.82,2.09,1.73,0.18,6.12,-0.05,6.06,-0.16,-0.00,-0.18,-0.23,13.88,
frc948,20.56,10.61,0.00,4.50,1.55,2.21,1.95,1.02,1.02,2.84,2.89,2.76,11.49,-0.08,-0.01,0.08,0.93,0.72,1.10,-0.10,2.66,2.62,-2.24,1.68,0.89,1.96,-0.70,-0.61,0.15,-0.44,0.54,-0.03,0.05,-0.05,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.01,1.55,2.07,0.70,4.50,0.00,13.40,-0.04,0.05,-0.06,-0.05,20.56,
frc7461,9.75,17.63,0.00,2.56,0.33,0.83,1.18,0.03,0.53,-0.03,0.35,0.30,0.95,1.96,-0.57,2.52,0.70,0.94,1.41,0.15,1.02,2.62,2.13,0.62,1.79,0.72,2.60,-0.19,0.67,-0.09,0.61,-0.39,0.49,-0.43,0.68,0.67,0.67,0.67,0.67,0.67,0.67,1.30,1.28,1.76,0.37,2.56,-0.04,6.17,-0.09,0.54,-0.10,0.49,9.75,
frc2927,6.28,12.37,0.00,1.74,0.56,0.79,0.96,1.10,0.09,1.48,0.74,0.64,2.75,-0.17,-0.09,0.07,-0.63,0.47,-0.09,0.13,-0.40,-0.16,-2.51,0.77,1.76,2.03,2.36,0.27,1.02,0.33,0.40,0.08,-0.13,-0.18,0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.54,1.53,0.07,0.29,1.74,-0.05,4.95,-0.07,-0.09,-0.11,0.11,6.28,
frc1983,33.86,14.23,0.00,5.47,1.59,1.21,1.50,3.13,1.36,1.82,2.12,2.07,9.04,4.36,2.30,-0.45,2.67,3.15,4.32,0.31,5.14,9.99,22.32,1.08,1.79,1.58,4.22,0.44,0.28,0.41,0.45,0.15,-0.04,0.14,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.77,1.87,2.36,1.96,5.47,-0.04,23.25,0.33,-0.15,0.31,-0.13,33.86,
