Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4173,9.78,22.82,0.00,3.96,0.59,0.75,1.73,-0.39,-0.34,1.21,1.66,2.00,4.73,-0.14,0.00,0.00,1.42,-1.11,1.28,1.08,-0.62,1.23,-5.54,1.47,0.50,2.04,0.47,0.75,-0.32,1.05,-0.16,0.20,0.03,0.22,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,2.74,1.59,1.37,-0.15,3.96,0.13,6.44,0.15,0.26,-0.03,0.49,9.78,
frc5683,13.39,13.72,0.00,3.29,0.16,-0.03,-0.47,0.59,-0.26,0.36,0.81,0.24,1.96,-0.11,0.00,0.00,-0.63,1.18,1.36,0.11,1.73,1.71,-1.24,1.52,1.76,1.65,4.70,1.71,0.99,1.06,0.94,0.22,0.63,0.30,0.46,0.67,0.67,0.67,0.67,0.67,0.67,1.09,1.58,0.64,0.36,3.29,-0.05,8.37,0.09,0.16,-0.03,-0.01,13.39,
frc4309,12.70,12.19,0.00,2.44,-0.00,-0.21,0.79,1.27,2.51,-0.09,-0.17,-0.11,1.95,-0.71,0.00,0.00,-0.32,3.59,1.07,-0.02,-1.57,4.29,6.90,0.83,1.79,2.11,5.59,0.40,0.93,1.29,0.57,-0.07,-0.04,0.09,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.30,1.30,1.26,0.75,2.44,0.15,11.82,0.07,-0.07,-0.04,-0.12,12.70,
frc4683,6.16,10.18,0.00,0.49,0.11,0.83,0.99,0.50,-0.63,-0.42,-0.06,-0.34,-0.04,-0.83,0.00,0.00,0.34,2.20,0.07,0.62,2.62,2.29,-4.45,1.02,1.32,0.84,0.80,0.35,0.19,-0.46,0.12,0.46,0.06,0.10,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.42,2.59,0.94,0.45,0.49,-0.06,3.05,0.48,-0.07,-0.03,-0.08,6.16,
frc2910,35.80,6.96,0.00,2.98,0.94,0.96,1.27,2.27,2.33,2.19,1.60,0.80,10.33,2.42,0.00,0.00,2.81,3.27,3.80,-0.21,2.02,9.24,20.19,1.29,0.99,1.62,11.23,1.40,2.08,1.26,1.77,-0.07,0.04,-0.13,0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.46,1.44,1.15,1.96,2.98,-0.03,30.80,0.06,0.06,-0.05,0.47,35.80,
frc2903,7.75,14.40,0.00,4.29,1.01,0.50,0.31,0.13,-0.07,-0.22,0.06,0.20,0.70,-0.22,0.00,0.00,1.58,0.39,0.26,-0.13,-0.50,2.25,0.37,1.59,1.88,2.18,1.01,-0.12,0.58,-0.41,0.31,-0.07,-0.17,-0.08,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.07,1.55,0.79,0.09,4.29,0.05,3.96,-0.09,-0.07,-0.06,0.01,7.75,
frc2147,19.61,12.00,0.00,5.87,0.57,1.05,2.02,1.47,1.38,0.99,0.28,-0.03,3.33,-0.90,0.00,0.00,1.50,2.15,0.95,0.18,0.65,4.66,5.08,2.02,1.60,1.32,5.11,0.19,-0.03,0.70,0.45,-0.05,-0.18,0.06,0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.05,1.53,2.39,0.46,5.87,0.12,13.10,-0.15,-0.11,0.14,0.06,19.61,
frc3786,10.74,11.36,0.00,3.67,0.27,0.58,0.80,-0.07,-0.30,1.29,0.40,0.40,1.33,2.35,0.00,0.00,0.32,-0.44,0.54,0.14,4.43,0.15,-4.10,1.51,1.68,0.89,1.15,1.23,-0.44,0.15,-0.15,0.17,0.33,0.09,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.96,0.76,0.91,-0.17,3.67,-0.02,2.63,0.10,0.11,-0.04,-0.11,10.74,
frc2928,23.63,10.05,0.00,6.07,0.88,1.31,1.34,0.95,0.78,1.35,1.78,2.41,7.52,-0.43,0.00,0.00,1.20,2.06,-0.02,-0.02,4.87,3.20,1.10,1.79,2.01,1.20,1.97,0.67,1.03,0.76,1.47,0.56,-0.02,-0.15,0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.44,1.70,1.55,1.14,6.07,-0.05,12.69,0.15,-0.12,0.01,-0.13,23.63,
frc4512,17.87,10.93,0.00,5.94,0.08,0.70,0.58,0.07,-0.12,1.09,1.09,0.62,1.22,-0.44,0.00,0.00,2.89,0.93,1.63,-0.02,1.06,5.75,8.49,2.36,1.69,1.10,3.89,0.60,0.42,0.24,-0.18,0.33,0.47,0.28,0.26,0.67,0.67,0.67,0.67,0.67,0.67,2.06,1.83,1.81,0.97,5.94,-0.09,10.87,0.11,0.28,-0.00,0.22,17.87,
