MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019wasno_qm1,blue,frc4089,frc4683,frc7461,44,36,0,9,0,0,0,5,0,5,5,2,9,0,0,0,12,3,3,0,0,18,30,5,3,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,35,2,0,0,0,44
2019wasno_qm1,red,frc1294,frc4915,frc2928,36,44,0,9,2,5,5,0,0,5,2,5,12,0,0,0,6,3,0,0,0,9,0,3,5,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,6,3,6,0,9,0,27,0,0,2,0,36
2019wasno_qm10,blue,frc1778,frc488,frc4911,79,53,0,12,5,5,5,5,5,5,5,5,30,0,0,0,3,12,3,0,3,18,30,5,5,5,16,2,5,0,5,0,0,0,2,2,2,2,2,2,2,3,6,3,3,12,0,64,0,0,0,0,79
2019wasno_qm10,red,frc492,frc2412,frc3826,53,79,0,15,5,5,5,0,5,0,0,0,15,0,0,0,12,0,3,1,0,15,30,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,38,0,5,0,0,53
2019wasno_qm11,blue,frc3663,frc4512,frc2976,67,51,0,15,2,2,5,5,5,5,5,0,18,0,0,0,12,3,3,0,0,18,30,5,5,5,16,2,5,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,52,0,0,0,0,67
2019wasno_qm11,red,frc4205,frc4683,frc1983,51,67,0,9,5,5,5,2,5,5,5,5,21,0,0,0,6,3,6,0,0,15,30,5,3,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,42,0,0,0,0,51
2019wasno_qm12,blue,frc4173,frc2522,frc1294,49,34,0,15,2,2,5,2,2,0,0,0,3,0,0,0,3,6,6,0,0,15,30,5,5,5,16,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,34,2,0,2,0,49
2019wasno_qm12,red,frc4309,frc5827,frc949,34,49,0,9,0,0,0,2,2,2,0,0,0,0,0,0,3,12,0,0,0,15,30,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,25,0,0,0,0,34
2019wasno_qm13,blue,frc3826,frc4681,frc5588,69,52,0,15,5,5,5,5,5,5,2,2,30,0,0,0,3,0,3,0,0,6,0,5,5,5,18,5,5,5,5,0,2,0,2,2,2,2,2,2,2,6,6,3,2,15,0,54,0,0,0,0,69
2019wasno_qm13,red,frc7118,frc5803,frc4180,52,69,0,12,5,5,5,5,5,2,0,2,15,0,0,0,3,12,0,0,0,15,30,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,40,0,0,0,0,52
