Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4089,21.51,16.65,0.00,3.84,1.77,1.54,0.82,1.47,1.26,2.38,2.17,1.61,7.82,-1.23,-0.19,-0.25,2.53,0.03,3.74,0.67,1.60,6.31,7.33,1.85,1.56,1.82,1.95,-0.29,0.19,-0.13,0.14,-0.07,0.80,0.03,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.29,0.91,1.30,0.86,3.84,0.06,16.07,-0.02,0.41,-0.10,0.00,21.51,
frc4683,6.09,21.34,0.00,-0.64,0.41,0.65,0.47,0.06,0.36,0.79,1.36,1.51,1.35,-1.18,-0.38,-0.16,1.65,1.35,0.81,-0.02,0.38,3.81,5.15,0.95,1.05,0.72,1.18,-0.12,0.48,-0.13,0.22,-0.45,0.54,-0.45,0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.51,2.07,2.47,-0.10,-0.64,0.04,6.35,-0.09,-0.07,-0.18,-0.12,6.09,
frc7461,13.93,24.86,0.00,5.34,0.58,0.37,0.90,1.00,0.48,1.24,1.42,1.68,4.45,1.83,-0.78,2.45,0.93,3.03,-0.39,-0.32,0.55,3.58,0.61,1.41,1.58,1.80,0.01,-0.63,0.12,0.18,0.16,-0.20,-0.23,-0.20,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.89,0.89,1.97,-0.12,5.34,0.05,8.03,-0.00,0.16,-0.04,0.18,13.93,
frc1294,16.47,18.84,0.00,5.02,1.25,1.41,1.96,0.98,0.79,1.31,1.34,1.54,6.99,-1.21,-0.78,-0.39,1.53,0.24,1.35,-0.37,-0.86,3.11,3.43,1.49,1.74,1.71,2.21,0.12,0.40,-0.04,0.47,0.23,0.24,0.40,0.57,0.67,0.67,0.67,0.67,0.67,0.67,1.75,1.27,2.28,0.36,5.02,0.07,12.32,-0.05,-0.23,0.07,-0.10,16.47,
frc4915,10.79,14.35,0.00,3.10,0.90,1.58,1.54,-0.59,-1.14,2.02,1.65,1.24,4.49,1.56,2.41,-0.06,2.51,2.78,-0.39,-0.02,0.22,4.90,6.11,1.67,1.58,1.72,-1.92,-0.25,-0.02,-0.69,-0.34,-0.04,-0.56,0.13,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.61,1.07,0.92,0.46,3.10,-0.03,7.47,0.38,0.18,0.57,-0.01,10.79,
frc2928,27.03,11.20,0.00,4.86,0.60,1.19,1.98,0.67,0.45,1.82,1.71,1.73,9.86,3.61,-0.59,2.46,3.31,2.74,0.39,-0.05,-0.58,6.43,9.22,1.63,1.72,1.59,6.45,1.03,0.67,2.51,0.79,0.27,1.16,0.93,1.57,0.67,0.67,0.67,0.67,0.67,0.67,1.43,1.56,2.53,0.88,4.86,-0.04,22.74,-0.24,0.55,0.16,0.67,27.03,
frc1778,19.26,20.47,0.00,3.17,2.14,2.00,2.35,1.56,-0.20,1.72,1.54,2.07,9.24,-1.29,-0.25,0.03,2.01,0.88,1.65,-0.39,0.19,4.54,7.11,1.76,1.61,1.40,2.13,0.50,-0.06,0.33,0.08,0.52,-0.38,1.19,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.35,1.56,0.41,0.57,3.17,-0.02,15.91,0.21,-0.24,0.53,-0.21,19.26,
frc488,22.36,21.59,0.00,3.90,1.16,1.35,0.88,1.40,2.53,0.50,0.23,0.52,4.46,1.72,2.16,-0.16,1.03,0.93,3.43,-0.04,0.28,5.39,7.72,1.61,1.52,1.30,8.32,1.51,0.70,0.84,0.90,0.50,0.18,0.51,0.32,0.67,0.67,0.67,0.67,0.67,0.67,2.03,1.72,1.65,0.70,3.90,-0.03,18.18,0.57,-0.04,0.24,0.01,22.36,
frc4911,31.24,16.14,0.00,3.11,1.19,1.62,1.21,1.19,1.48,1.56,2.14,2.46,14.63,-1.64,-0.39,-0.17,-0.21,2.15,0.58,-0.07,3.02,2.52,1.35,1.77,1.53,1.35,7.97,1.84,2.55,1.79,2.20,0.42,1.82,0.44,1.54,0.67,0.67,0.67,0.67,0.67,0.67,0.33,2.15,1.22,1.10,3.11,0.00,25.12,0.16,0.08,0.11,-0.01,31.24,
frc492,21.99,19.38,0.00,3.54,1.10,0.94,0.17,0.20,0.50,0.93,0.85,0.58,7.19,1.72,2.35,-0.25,1.86,0.87,3.57,-0.24,0.50,6.30,12.68,1.57,1.58,1.84,4.46,1.06,1.34,1.33,0.47,1.33,0.32,1.83,0.65,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.06,0.85,1.11,3.54,-0.01,17.95,0.30,0.54,0.28,0.89,21.99,
frc2412,20.67,14.65,0.00,4.74,1.21,1.53,1.13,0.53,-0.12,2.03,1.48,1.87,7.26,-0.69,-0.78,0.15,3.46,1.99,1.06,0.67,2.70,6.51,11.69,1.62,1.72,1.66,-0.53,-0.12,-0.08,0.21,0.31,0.12,0.17,-0.33,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.46,2.19,1.04,4.74,-0.03,13.24,-0.12,0.19,-0.15,-0.27,20.67,
frc3826,28.27,25.64,0.00,4.59,1.67,1.14,0.51,2.06,1.94,0.85,1.04,1.03,12.03,1.53,1.80,-0.17,1.65,0.08,1.55,-0.00,0.67,3.28,4.71,1.37,1.75,1.50,7.69,1.88,1.95,2.64,1.39,0.66,0.54,0.64,0.51,0.67,0.67,0.67,0.67,0.67,0.67,1.38,1.80,1.88,0.51,4.59,0.14,23.00,0.41,0.52,0.26,-0.14,28.27,
frc3663,27.45,21.16,0.00,5.05,1.69,1.89,2.18,1.37,1.33,1.82,1.80,1.41,10.96,-1.00,-0.36,-0.15,2.33,2.32,2.23,1.37,1.77,6.88,13.08,1.55,1.60,1.90,2.78,-0.02,1.59,-0.06,1.60,-0.29,1.47,-0.42,1.41,0.67,0.67,0.67,0.67,0.67,0.67,2.13,1.80,1.70,0.93,5.05,0.05,20.62,-0.32,0.15,-0.37,0.23,27.45,
frc4512,19.24,10.41,0.00,5.77,-0.05,0.33,1.92,0.51,1.01,1.72,0.80,0.62,0.33,1.40,-0.75,-0.11,3.64,1.42,0.04,-0.34,1.44,5.11,5.19,1.78,1.57,1.78,6.59,-0.12,0.42,0.27,-0.27,0.26,0.10,0.14,0.18,0.67,0.67,0.67,0.67,0.67,0.67,2.47,1.63,1.27,0.98,5.77,-0.03,12.03,0.51,0.18,0.59,0.44,19.24,
frc2976,25.02,19.42,0.00,3.22,1.45,1.67,1.81,1.79,1.38,0.95,0.85,-0.16,9.82,-1.15,-0.61,-0.19,2.07,0.89,0.95,-0.21,0.58,3.91,2.92,1.71,1.43,1.84,7.48,1.80,1.69,1.50,1.81,1.12,0.81,1.20,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.37,1.52,0.59,0.27,3.22,-0.01,21.22,-0.14,0.57,0.21,0.07,25.02,
frc4205,23.36,21.68,0.00,5.21,1.49,2.21,1.87,1.32,1.79,1.58,1.98,1.32,7.92,-1.77,-0.56,-0.23,2.30,2.47,4.11,-0.00,-0.05,8.88,14.07,1.79,1.57,1.72,1.39,0.64,0.27,0.54,0.08,-0.24,-0.13,0.28,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.17,2.17,1.93,0.56,5.21,-0.04,18.20,-0.44,0.21,-0.44,-0.00,23.36,
frc1983,28.46,11.85,0.00,5.69,1.24,1.17,1.96,1.95,1.99,2.45,1.99,2.28,8.87,2.57,-0.02,0.37,3.60,2.70,0.27,-0.06,3.15,6.57,10.52,1.89,1.59,1.94,4.18,-0.71,1.00,0.17,0.89,-0.57,0.15,-0.48,0.34,0.67,0.67,0.67,0.67,0.67,0.67,2.05,1.26,1.82,1.31,5.69,0.04,19.62,-0.06,0.17,-0.08,0.41,28.46,
frc4173,10.19,25.62,0.00,3.42,1.03,1.47,1.94,-0.40,0.25,1.59,1.57,1.50,4.36,1.84,-0.93,0.09,-0.59,1.40,0.51,0.12,-0.01,1.32,-2.80,1.61,1.61,0.60,1.09,0.35,-0.62,0.49,-0.23,0.31,-0.23,0.13,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.36,2.00,1.59,-0.16,3.42,-0.03,6.77,-0.04,0.16,-0.09,-0.15,10.19,
frc2522,25.05,15.04,0.00,5.29,0.56,0.49,0.46,0.47,0.00,0.96,0.28,0.63,6.38,6.69,5.04,2.41,0.85,1.18,1.16,-0.04,0.00,3.19,1.72,1.73,1.60,1.86,10.20,1.73,1.15,1.58,0.50,1.90,0.50,2.64,0.48,0.67,0.67,0.67,0.67,0.67,0.67,1.91,1.68,1.64,1.19,5.29,0.06,19.76,1.61,1.14,1.76,1.33,25.05,
