MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019waspo_qm1,blue,frc2557,frc4469,frc4980,76,15,0,15,5,5,5,5,0,2,2,2,18,0,0,0,0,12,6,0,13,18,30,5,5,5,12,5,0,5,2,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,48,0,0,0,0,76
2019waspo_qm1,red,frc4104,frc3693,frc2903,15,76,0,6,2,2,5,0,0,5,2,2,6,0,0,0,3,0,0,1,0,3,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,1,9,0,0,0,0,15
2019waspo_qm10,blue,frc3693,frc6076,frc4469,65,70,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,1,10,18,30,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,46,0,0,0,0,65
2019waspo_qm10,red,frc7776,frc2907,frc2046,70,65,0,15,5,5,5,0,0,5,2,2,24,0,0,0,3,3,12,0,3,18,30,5,5,5,10,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,3,15,1,52,2,0,0,0,70
2019waspo_qm11,blue,frc3218,frc2903,frc4980,64,55,0,12,5,5,5,5,5,5,5,5,27,0,0,0,0,3,12,0,0,15,30,5,5,5,10,2,0,5,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,52,0,0,0,0,64
2019waspo_qm11,red,frc3238,frc2557,frc7803,55,64,0,9,5,5,5,5,5,5,5,5,24,0,0,0,6,12,0,0,0,18,30,5,5,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,1,9,0,46,0,0,0,0,55
2019waspo_qm12,blue,frc3223,frc6129,frc2148,50,44,0,9,2,2,2,5,5,5,5,5,15,0,0,0,12,3,3,0,0,18,30,5,3,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,3,9,0,41,0,0,0,0,50
2019waspo_qm12,red,frc7776,frc5920,frc3220,44,50,0,15,2,5,5,0,0,5,5,5,15,0,0,0,3,6,3,0,0,12,0,5,5,5,2,0,0,0,0,0,0,2,0,2,2,2,2,2,2,6,6,3,0,15,0,29,0,0,0,0,44
2019waspo_qm13,blue,frc7696,frc4060,frc4513,33,12,0,9,2,2,2,2,5,2,2,2,3,0,0,0,0,6,3,0,0,9,0,0,5,5,12,0,0,0,0,0,2,0,2,2,2,2,2,2,2,6,6,3,2,9,0,24,0,2,0,2,33
2019waspo_qm13,red,frc3876,frc4104,frc2944,12,33,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,0,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,3,0,0,0,0,12
2019waspo_qm14,blue,frc2046,frc2147,frc4469,93,57,0,15,2,5,2,5,0,2,2,2,36,30,30,0,12,3,0,0,3,15,30,5,5,5,24,5,5,5,5,5,5,5,5,2,2,2,2,2,2,6,3,6,4,15,1,75,5,0,5,2,93
2019waspo_qm14,red,frc6442,frc753,frc1595,57,93,0,15,2,2,5,5,5,5,5,2,21,0,0,0,0,0,3,1,10,3,0,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,32,0,0,0,0,57
