MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019wayak_qm1,blue,frc2944,frc3711,frc5803,46,54,0,12,5,5,5,5,0,5,5,2,21,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,34,0,0,0,0,46
2019wayak_qm1,red,frc4125,frc3693,frc4692,54,46,0,12,2,5,5,5,0,5,5,5,18,0,0,0,6,0,12,0,0,18,30,5,0,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,0,6,3,12,0,42,0,0,0,0,54
2019wayak_qm10,blue,frc2605,frc4911,frc6442,28,26,0,9,0,0,0,2,0,5,2,2,3,0,0,0,6,3,3,0,0,12,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,19,0,0,0,0,28
2019wayak_qm10,red,frc2148,frc7803,frc2811,26,28,0,9,2,2,2,2,0,5,5,2,6,0,0,0,0,0,3,0,0,3,0,5,0,5,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,0,6,0,9,0,17,0,2,0,0,26
2019wayak_qm11,blue,frc3711,frc5468,frc7696,48,42,0,6,2,0,0,5,2,5,5,2,9,0,0,0,12,3,3,0,3,18,30,5,5,3,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,39,0,0,0,0,48
2019wayak_qm11,red,frc3220,frc2522,frc7776,42,48,0,9,2,5,2,0,5,5,2,2,15,0,0,0,3,6,3,1,0,12,0,3,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,33,0,0,0,0,42
2019wayak_qm12,blue,frc4061,frc4692,frc2148,54,91,0,15,2,5,5,0,2,5,5,5,15,0,0,0,3,12,3,0,0,18,30,5,5,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,1,15,1,39,0,0,0,0,54
2019wayak_qm12,red,frc4980,frc1318,frc2910,91,54,0,9,2,5,5,5,5,5,5,5,33,0,0,0,0,3,12,0,10,15,30,5,5,5,24,5,5,5,2,0,2,0,5,2,2,2,2,2,2,3,3,3,3,9,0,72,0,2,0,2,91
2019wayak_qm13,blue,frc4911,frc4104,frc2944,35,45,0,12,2,2,2,2,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,14,2,0,2,0,0,0,0,2,2,2,2,2,2,2,3,3,6,0,12,0,23,0,0,0,0,35
2019wayak_qm13,red,frc3693,frc5468,frc5803,45,35,0,9,5,0,5,2,5,5,5,5,18,0,0,0,0,3,3,0,0,6,0,0,5,5,12,0,2,2,2,0,0,0,0,2,2,2,2,2,2,0,3,6,2,9,0,36,0,0,0,0,45
