Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2944,9.90,17.74,0.00,4.79,1.40,1.18,1.25,0.65,-0.08,0.79,0.88,0.45,1.31,-0.40,0.00,0.00,0.77,1.88,-0.91,0.19,0.52,1.72,0.52,1.19,2.01,1.58,1.56,-0.34,-0.09,-0.29,0.70,-0.14,0.37,-0.08,0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.02,2.29,1.93,-0.02,4.79,-0.03,4.60,-0.16,0.11,-0.09,-0.11,9.90,
frc3711,18.97,21.16,0.00,2.73,1.75,1.69,1.97,0.63,0.74,2.29,2.46,1.58,9.15,-0.70,0.00,0.00,2.10,1.46,4.78,0.00,-1.12,8.39,15.80,2.05,1.36,1.69,-0.18,0.69,-0.39,0.27,0.13,0.23,-0.21,0.61,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.09,0.63,0.95,0.52,2.73,0.04,17.36,-0.09,-0.05,0.09,-0.03,18.97,
frc5803,24.48,19.04,0.00,6.08,2.22,2.20,2.53,2.14,0.68,2.01,2.32,2.23,10.63,-0.22,0.00,0.00,1.24,3.03,1.56,0.32,-1.31,5.89,9.20,1.63,1.99,1.76,3.19,0.26,0.25,0.52,0.59,0.10,-0.09,0.10,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.97,1.59,1.65,1.11,6.08,-0.02,19.71,-0.03,-0.01,0.21,-0.01,24.48,
frc4125,25.93,8.80,0.00,5.79,1.75,2.38,1.56,2.00,1.70,2.13,2.46,1.47,10.23,-0.40,0.00,0.00,1.30,1.06,3.19,0.27,0.19,5.61,3.08,1.99,1.42,1.68,4.12,0.68,0.02,0.15,0.18,0.60,-0.24,0.13,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,2.11,1.61,1.93,0.74,5.79,-0.05,19.95,0.09,-0.02,-0.02,-0.04,25.93,
frc3693,3.66,18.63,0.00,0.50,0.69,0.19,1.19,1.53,-0.17,-0.04,0.05,0.70,1.26,-0.35,0.00,0.00,0.77,-0.27,0.70,1.80,-0.69,1.21,1.18,-0.01,0.79,0.31,1.38,0.03,0.72,-0.29,0.79,0.00,-0.09,-0.19,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,0.21,0.47,0.73,-0.05,0.50,-0.05,3.85,0.08,-0.10,-0.07,-0.07,3.66,
frc4692,27.03,23.47,0.00,6.43,0.94,2.05,2.14,0.42,0.10,2.33,2.06,2.08,9.02,-0.23,0.00,0.00,2.00,5.58,2.35,-0.27,0.38,9.95,18.89,1.94,1.44,1.94,1.24,0.10,1.08,0.36,0.78,-0.04,-0.00,0.27,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.26,1.32,2.20,1.12,6.43,0.23,20.21,-0.10,-0.01,0.12,-0.06,27.03,
frc2605,12.56,14.83,0.00,3.15,1.51,1.49,1.39,0.20,0.48,1.13,1.31,0.82,3.62,-0.36,0.00,0.00,1.54,1.89,0.64,0.59,1.55,4.09,2.21,1.46,2.18,1.49,0.15,0.17,-0.44,0.04,-0.71,0.12,0.04,-0.11,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,0.80,1.34,0.66,0.12,3.15,0.03,7.86,0.26,-0.04,-0.13,-0.06,12.56,
frc4911,18.23,12.45,0.00,3.18,0.51,0.53,0.63,1.06,2.22,1.45,0.84,0.91,4.29,-0.56,0.00,0.00,0.25,1.09,2.71,0.41,0.61,4.07,0.53,1.42,1.80,1.98,6.08,1.06,1.35,0.85,1.22,0.03,0.20,-0.21,0.35,0.67,0.67,0.67,0.67,0.67,0.67,0.85,1.09,1.32,0.58,3.18,-0.05,14.45,0.12,-0.04,-0.10,0.01,18.23,
frc6442,11.97,11.26,0.00,3.70,1.03,1.06,1.39,0.28,0.62,0.96,1.26,1.11,3.43,1.64,0.00,0.00,1.03,1.26,1.18,-0.46,0.79,3.57,1.01,1.87,1.49,2.01,0.49,0.17,-0.09,-0.02,-0.22,0.34,-0.18,0.04,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.31,0.77,1.13,0.45,3.70,-0.01,7.48,0.11,-0.04,-0.04,-0.01,11.97,
frc2148,14.84,21.37,0.00,2.51,1.06,0.63,1.24,1.34,1.10,0.37,0.69,0.67,3.01,-0.43,0.00,0.00,0.21,0.79,0.37,0.05,0.02,1.43,2.38,1.56,1.51,1.37,7.87,0.86,1.20,0.84,1.43,0.47,0.50,0.66,0.64,0.67,0.67,0.67,0.67,0.67,0.67,0.87,0.91,0.70,0.09,2.51,0.13,12.31,0.34,0.30,0.30,0.09,14.84,
