MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019week0_qm1,blue,frc3467,frc501,frc3986,3,9,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,0,0,3,0,0,0,0,0,0,3
2019week0_qm1,red,frc1073,frc7314,frc6153,9,3,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,0,0,0,0,3,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,3,0,0,0,0,9
2019week0_qm10,blue,frc501,frc1153,frc190,28,33,0,9,5,0,0,2,5,0,5,2,9,0,0,0,3,3,0,0,0,6,0,5,5,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,9,0,19,0,0,0,0,28
2019week0_qm10,red,frc3467,frc6153,frc3236,33,28,0,6,5,0,5,0,0,2,5,2,9,0,0,0,0,3,3,0,0,6,0,3,5,5,12,0,2,0,2,0,2,2,0,2,2,2,2,2,2,3,3,3,2,6,0,27,0,2,0,0,33
2019week0_qm11,blue,frc2342,frc1073,frc811,24,24,0,12,2,0,0,5,0,0,0,2,3,0,0,0,0,3,0,0,0,3,0,5,5,5,6,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,6,3,1,12,0,12,0,0,0,2,24
2019week0_qm11,red,frc5687,frc5813,frc7314,24,24,0,6,5,5,5,0,0,5,0,5,15,0,0,0,3,0,0,0,0,3,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,6,0,18,0,0,0,0,24
2019week0_qm12,blue,frc1517,frc3467,frc1153,34,31,0,6,5,5,5,5,5,2,2,2,15,0,0,0,3,3,3,0,0,9,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,1,28,0,0,0,0,34
2019week0_qm12,red,frc1729,frc3323,frc501,31,34,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,0,3,0,10,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,6,0,0,0,0,31
2019week0_qm13,blue,frc246,frc5687,frc1721,20,43,0,6,2,0,2,0,0,2,2,2,0,0,0,0,0,3,3,1,0,6,0,0,5,5,8,0,2,0,2,2,0,0,0,2,2,2,2,2,2,0,3,3,0,6,0,14,0,0,0,0,20
2019week0_qm13,red,frc58,frc2342,frc6153,43,20,0,9,2,2,2,0,5,2,2,2,3,0,0,0,12,3,3,0,3,18,30,5,5,5,10,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,3,3,9,0,31,0,0,0,0,43
2019week0_qm2,blue,frc58,frc190,frc5687,23,12,0,6,0,2,0,0,5,2,2,2,3,0,0,0,12,0,0,0,0,12,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,17,0,0,0,0,23
2019week0_qm2,red,frc246,frc509,frc1517,12,23,0,3,2,2,2,0,0,2,2,2,0,0,0,0,6,3,3,0,0,3,0,0,5,0,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,6,3,3,0,3,0,9,0,0,2,0,12
2019week0_qm3,blue,frc4905,frc811,frc1153,23,15,0,6,2,2,5,2,2,5,5,2,9,0,0,0,0,0,0,0,0,0,0,5,5,3,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,17,0,0,0,0,23
2019week0_qm3,red,frc2084,frc2342,frc1721,15,23,0,9,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,2,0,2,0,0,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,6,0,0,0,0,15
2019week0_qm4,blue,frc3236,frc1729,frc1073,31,7,0,6,2,2,2,0,0,5,5,5,12,0,0,0,3,3,3,0,0,9,0,3,5,5,4,2,0,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,25,0,0,0,0,31
2019week0_qm4,red,frc5813,frc3323,frc246,7,31,0,3,2,2,2,0,2,2,2,2,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,0,6,0,3,0,4,0,0,0,0,7
2019week0_qm5,blue,frc2084,frc3467,frc4905,9,21,0,6,2,0,5,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,3,0,0,0,0,9
2019week0_qm5,red,frc1153,frc509,frc5687,21,9,0,6,2,2,5,0,0,2,2,2,3,0,0,0,0,3,3,0,0,6,0,0,5,5,6,0,2,0,0,2,0,2,0,2,2,2,2,2,2,0,3,3,2,6,0,15,0,0,0,0,21
2019week0_qm6,blue,frc1721,frc58,frc3236,47,26,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,12,3,0,10,18,30,5,5,5,10,2,2,0,0,2,2,0,0,2,2,2,2,2,2,3,3,3,3,9,0,28,2,0,0,0,47
2019week0_qm6,red,frc811,frc3986,frc1729,26,47,0,12,0,2,5,0,0,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,14,0,2,0,0,26
2019week0_qm7,blue,frc2342,frc7314,frc3323,15,21,0,6,2,2,2,0,0,5,2,0,3,0,0,0,3,3,0,0,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,6,0,9,0,0,0,0,15
2019week0_qm7,red,frc190,frc6153,frc1517,21,15,0,9,0,2,2,0,2,2,2,2,0,0,0,0,0,3,3,0,0,6,0,5,5,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,3,3,2,9,0,12,0,0,0,0,21
2019week0_qm8,blue,frc5813,frc1721,frc1729,25,27,0,9,2,2,0,0,0,0,2,2,0,0,0,0,3,3,3,0,3,9,0,5,3,5,4,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,13,0,0,0,0,25
2019week0_qm8,red,frc509,frc501,frc2084,27,25,0,9,5,5,5,0,0,5,2,2,12,0,0,0,3,3,0,1,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,2,9,0,18,0,0,0,0,27
2019week0_qm9,blue,frc1517,frc58,frc3323,18,11,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,9,0,0,0,0,18
2019week0_qm9,red,frc3986,frc4905,frc246,11,18,0,3,2,2,2,2,2,2,2,2,0,0,0,0,0,3,0,0,0,0,0,5,0,3,8,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,8,0,0,0,0,11
