Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3467,-0.90,11.74,0.00,-0.25,-0.02,-1.20,-0.17,0.75,0.67,-1.90,-0.23,-1.44,-1.85,0.00,0.00,0.00,2.84,-0.18,0.43,-0.12,-0.15,2.10,-2.57,-1.04,0.05,1.08,-0.74,-0.55,-0.06,-0.63,-0.27,-0.19,0.37,-0.30,0.22,0.67,0.67,0.67,0.67,0.67,0.67,-0.34,0.13,1.02,-0.65,-0.25,0.21,-0.50,-0.04,0.43,0.36,0.22,-0.90,
frc501,18.09,12.19,0.00,5.37,2.92,1.57,-0.08,0.98,0.32,1.29,1.00,1.43,6.69,0.00,0.00,0.00,0.80,0.42,-0.49,0.39,3.92,1.05,5.08,1.56,3.63,-0.79,1.07,-0.02,-0.57,0.18,0.33,0.13,-0.01,-0.40,0.23,0.67,0.67,0.67,0.67,0.67,0.67,3.02,2.39,-1.02,0.42,5.37,-0.31,8.81,0.06,-0.57,0.05,0.23,18.09,
frc3986,-7.14,-6.09,0.00,0.28,-1.37,1.62,0.64,-0.41,-0.78,-0.21,0.44,0.10,-3.67,0.00,0.00,0.00,-4.07,1.47,0.09,-0.22,-2.73,-1.38,-2.78,1.02,0.54,0.79,0.36,0.23,1.10,-0.05,-0.83,0.04,-0.08,0.42,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,-1.64,1.11,0.45,0.22,0.28,0.22,-4.69,0.06,0.40,-0.57,-0.17,-7.14,
frc1073,-8.57,-18.03,0.00,1.14,-0.76,-0.37,-2.39,1.58,-0.82,-1.41,-0.15,0.84,-3.90,0.00,0.00,0.00,-2.30,-0.39,-0.49,-0.07,-1.60,-2.42,-6.53,-0.15,0.36,2.49,-1.80,0.22,0.17,-0.68,0.69,-0.14,-0.49,-0.71,0.74,0.67,0.67,0.67,0.67,0.67,0.67,-0.41,1.64,0.86,0.81,1.14,-0.26,-8.12,-0.09,-0.90,-0.29,0.74,-8.57,
frc7314,8.38,16.55,0.00,0.78,2.23,2.07,2.13,-0.47,0.52,3.13,0.64,0.50,6.30,0.00,0.00,0.00,5.67,1.63,-1.33,0.05,0.56,4.37,3.09,1.95,2.57,-1.23,-3.62,-0.31,-0.97,-0.23,-0.64,-0.40,0.19,-0.99,-0.51,0.67,0.67,0.67,0.67,0.67,0.67,2.94,0.57,-0.71,-0.21,0.78,0.35,7.04,0.32,0.31,0.54,-0.51,8.38,
frc6153,10.38,5.92,0.00,4.08,0.61,0.24,2.40,-1.12,0.31,0.48,1.46,0.61,-1.69,0.00,0.00,0.00,-0.62,-0.52,2.02,0.14,0.55,2.20,4.38,1.31,1.93,3.50,5.25,0.09,0.84,0.77,0.17,0.73,0.25,1.50,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,0.19,0.70,2.42,1.48,4.08,-0.06,5.76,-0.23,0.56,-0.34,-0.23,10.38,
frc1153,15.33,11.88,0.00,1.48,2.83,1.78,2.82,1.54,3.72,1.14,2.83,1.23,8.05,0.00,0.00,0.00,1.02,0.80,1.21,-0.07,-1.28,3.99,3.51,2.34,0.77,1.29,3.08,0.54,0.59,-0.12,0.24,0.60,-0.20,0.15,-0.47,0.67,0.67,0.67,0.67,0.67,0.67,0.88,0.13,1.12,1.03,1.48,0.50,15.12,-0.04,0.11,-0.35,-0.47,15.33,
frc190,-4.08,4.48,0.00,1.08,-1.54,-1.67,-2.56,-0.23,1.86,-1.20,1.17,-0.89,-4.72,0.00,0.00,0.00,2.20,1.16,-0.89,-0.27,-1.61,1.34,-7.36,1.26,0.55,-0.32,-0.16,-0.37,-0.10,0.05,-0.48,-0.84,0.13,0.09,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.31,0.43,0.14,-0.78,1.08,-0.11,-3.55,0.08,0.15,0.21,0.13,-4.08,
frc3236,24.37,9.42,0.00,1.78,3.06,1.38,3.08,-0.10,-0.91,4.01,3.03,2.76,11.35,0.00,0.00,0.00,-2.54,4.59,1.16,-0.00,1.08,3.16,5.10,2.47,2.73,0.38,6.99,0.70,1.22,0.14,1.95,0.08,1.24,0.73,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.41,-0.42,1.46,1.78,-0.11,21.50,0.56,0.62,-0.07,-0.08,24.37,
frc2342,14.54,6.14,0.00,2.95,1.13,0.54,-0.69,1.51,1.49,0.95,0.34,0.79,3.47,0.00,0.00,0.00,2.76,0.81,0.01,-0.19,0.20,2.80,6.06,1.88,1.98,0.80,5.11,1.06,-0.38,1.27,0.37,0.28,-0.24,1.31,0.49,0.67,0.67,0.67,0.67,0.67,0.67,0.71,2.38,-0.41,-0.10,2.95,-0.16,11.38,-0.25,-0.36,0.18,0.49,14.54,
