MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019wila_qm1,blue,frc7629,frc5903,frc1986,69,76,0,6,5,5,5,5,5,5,5,5,30,0,0,0,3,6,12,0,0,21,30,3,5,5,12,2,5,0,5,0,0,0,2,2,2,2,2,2,2,6,3,3,1,6,0,63,0,0,0,0,69
2019wila_qm1,red,frc2826,frc5914,frc7596,76,69,0,15,5,5,5,0,5,5,5,5,33,0,0,0,12,3,3,0,0,18,30,5,5,5,10,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,3,15,0,61,0,0,0,0,76
2019wila_qm10,blue,frc5914,frc3061,frc648,66,78,0,15,5,5,5,5,2,2,5,5,18,0,0,0,6,6,3,1,0,15,30,5,5,5,18,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,51,0,0,0,0,66
2019wila_qm10,red,frc4296,frc2826,frc5339,78,66,0,15,5,5,5,0,0,5,2,2,30,30,30,0,3,12,3,0,3,18,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,4,15,0,60,5,0,5,0,78
2019wila_qm11,blue,frc4786,frc167,frc2977,51,56,0,12,5,5,5,0,5,5,5,5,21,0,0,0,0,3,0,0,9,3,0,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,30,0,0,0,0,51
2019wila_qm11,red,frc5003,frc967,frc4011,56,51,0,15,5,5,5,5,5,5,2,2,21,0,0,0,3,6,3,3,0,12,0,5,5,5,8,0,0,2,5,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,41,0,0,0,0,56
2019wila_qm12,blue,frc6317,frc4054,frc93,20,71,0,12,2,2,2,2,0,2,5,2,3,0,0,0,0,3,0,4,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,8,0,0,0,0,20
2019wila_qm12,red,frc5019,frc1986,frc3090,71,20,0,9,5,5,2,5,0,5,5,5,21,0,0,0,6,12,3,0,12,21,30,5,5,3,8,0,2,2,5,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,50,0,0,0,0,71
2019wila_qm13,blue,frc2338,frc7629,frc171,52,40,0,9,2,5,5,0,0,5,0,2,21,0,0,0,3,0,6,0,3,9,0,5,0,5,10,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,2,9,0,40,2,0,0,0,52
2019wila_qm13,red,frc4239,frc7432,frc6166,40,52,0,12,5,5,5,0,0,5,5,2,21,0,0,0,0,3,0,1,0,3,0,5,5,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,28,0,0,0,0,40
2019wila_qm14,blue,frc7048,frc6630,frc2667,45,41,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,6,3,1,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,30,0,0,0,0,45
2019wila_qm14,red,frc4624,frc1306,frc2081,41,45,0,9,0,0,0,5,5,5,5,5,15,0,0,0,3,3,3,0,3,6,0,0,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,29,0,0,0,0,41
2019wila_qm15,blue,frc3723,frc7596,frc6420,36,45,0,15,5,5,5,0,0,5,5,2,15,0,0,0,3,0,3,2,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,21,0,0,0,0,36
2019wila_qm15,red,frc3692,frc4021,frc6381,45,36,0,6,5,5,5,0,5,5,2,5,18,0,0,0,3,0,6,0,6,9,0,3,5,3,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,6,0,33,2,0,2,0,45
2019wila_qm16,blue,frc6421,frc4655,frc5903,81,75,0,12,5,2,5,0,0,5,5,5,33,30,0,30,6,12,6,0,0,24,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,4,12,1,69,0,5,0,5,81
2019wila_qm16,red,frc269,frc7021,frc4818,75,81,0,6,5,5,5,5,0,5,5,5,30,0,0,0,3,12,6,0,10,21,30,5,5,3,8,5,0,5,0,0,0,5,0,2,2,2,2,2,2,3,3,6,1,6,0,59,0,0,0,0,75
2019wila_qm17,blue,frc6412,frc1091,frc5442,33,57,0,9,5,5,5,0,0,0,0,0,9,0,0,0,3,3,3,2,0,9,0,3,5,5,6,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,24,0,0,0,0,33
2019wila_qm17,red,frc111,frc6359,frc5976,57,33,0,9,5,5,5,5,0,5,5,5,21,0,0,0,6,3,6,0,6,15,30,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,42,0,0,0,0,57
2019wila_qm18,blue,frc3352,frc2194,frc2531,85,86,0,9,5,5,5,5,5,5,5,5,30,0,0,0,3,12,3,1,20,18,30,3,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,56,0,0,0,0,85
2019wila_qm18,red,frc3928,frc1625,frc2481,86,85,0,15,5,5,5,5,5,2,5,2,24,0,0,0,3,3,12,0,3,18,30,5,5,5,26,2,2,5,2,2,2,0,2,2,2,2,2,2,2,6,3,6,3,15,2,68,2,2,5,0,86
2019wila_qm19,blue,frc6166,frc6630,frc2338,49,58,0,12,2,2,0,0,0,5,5,0,6,0,0,0,3,6,12,0,0,21,30,5,5,5,10,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,6,3,1,12,0,37,0,0,0,2,49
2019wila_qm19,red,frc3090,frc167,frc4296,58,49,0,12,5,5,5,5,5,5,5,5,27,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,2,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,46,0,0,0,0,58
2019wila_qm2,blue,frc2531,frc6381,frc5003,23,40,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,0,3,0,0,6,0,5,0,5,8,0,2,0,2,0,2,0,2,2,2,2,2,2,2,6,0,3,0,9,0,14,0,0,0,0,23
2019wila_qm2,red,frc1306,frc3090,frc6317,40,23,0,12,5,5,5,0,5,5,5,5,21,0,0,0,3,0,0,0,0,3,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,28,0,0,0,0,40
2019wila_qm20,blue,frc1306,frc4239,frc2977,62,69,0,15,2,5,5,0,5,5,5,5,18,0,0,0,3,12,0,4,10,15,30,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,37,0,0,0,0,62
2019wila_qm20,red,frc1986,frc648,frc6420,69,62,0,15,5,5,5,0,2,5,5,5,18,30,0,0,12,3,3,0,12,18,30,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,4,15,1,42,0,0,0,0,69
2019wila_qm21,blue,frc3723,frc4624,frc3692,43,77,0,15,0,2,2,5,5,2,5,5,12,0,0,0,0,0,3,1,3,3,0,5,5,5,10,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,25,0,0,0,0,43
2019wila_qm21,red,frc5019,frc3061,frc4786,77,43,0,15,2,2,0,5,5,5,5,0,18,0,0,0,3,6,6,1,13,15,30,5,5,5,16,2,5,2,5,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,49,0,0,0,0,77
2019wila_qm22,blue,frc4818,frc5339,frc4655,62,63,0,15,2,5,5,5,0,5,5,2,21,0,0,0,0,3,12,0,3,15,30,5,5,5,8,0,5,0,5,0,0,0,2,2,2,2,2,2,2,6,6,3,1,15,0,44,0,0,0,0,62
2019wila_qm22,red,frc5442,frc93,frc7629,63,62,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,3,3,1,0,18,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,48,0,0,0,0,63
2019wila_qm23,blue,frc171,frc2667,frc4011,55,97,0,15,2,5,5,5,5,5,5,5,21,0,0,0,3,3,3,9,0,9,0,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,40,0,0,0,2,55
2019wila_qm23,red,frc6381,frc5903,frc3928,97,55,0,15,5,5,5,5,0,0,5,5,24,0,0,0,6,3,12,0,27,21,30,5,5,5,10,0,5,2,5,0,2,0,0,2,2,2,2,2,2,3,6,6,3,15,0,55,0,0,0,0,97
2019wila_qm24,blue,frc4021,frc6359,frc5914,63,67,0,15,5,5,5,5,5,5,2,2,27,0,0,0,3,0,6,1,0,9,0,5,5,5,12,5,0,5,0,2,0,5,0,2,2,2,2,2,2,6,3,6,0,15,0,48,0,0,0,0,63
2019wila_qm24,red,frc4054,frc2194,frc7021,67,63,0,9,5,5,5,0,5,5,5,5,27,0,0,0,0,12,6,0,3,18,30,5,5,5,10,5,0,5,0,0,2,2,0,2,2,2,2,2,2,3,3,3,3,9,0,55,0,0,0,0,67
2019wila_qm25,blue,frc6412,frc3352,frc7596,41,63,0,12,2,2,2,5,5,5,5,5,15,0,0,0,0,3,3,1,0,6,0,3,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,29,0,0,0,0,41
2019wila_qm25,red,frc5003,frc1625,frc2081,63,41,0,15,5,5,5,0,5,5,2,5,18,0,0,0,3,12,6,0,3,21,30,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,45,0,0,0,0,63
2019wila_qm26,blue,frc6421,frc2826,frc7432,59,86,0,9,2,2,2,0,5,5,5,5,21,0,0,0,0,12,3,0,0,15,30,5,5,5,14,5,5,5,2,0,0,2,0,2,2,2,2,2,2,3,3,3,1,9,0,50,0,0,2,0,59
2019wila_qm26,red,frc1091,frc2481,frc5976,86,59,0,15,2,5,5,5,0,5,5,5,36,30,0,30,3,12,6,0,0,21,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,4,15,0,71,0,5,0,5,86
2019wila_qm27,blue,frc967,frc111,frc6317,77,38,0,12,2,2,2,5,5,5,5,5,30,0,0,0,6,6,3,0,0,15,30,5,5,5,20,5,5,5,5,0,2,0,2,2,2,2,2,2,2,6,3,3,3,12,0,65,0,2,0,5,77
2019wila_qm27,red,frc2531,frc7048,frc269,38,77,0,15,5,2,2,2,5,2,5,2,9,0,0,0,3,3,0,0,0,6,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,23,0,0,0,0,38
2019wila_qm28,blue,frc6630,frc3061,frc4818,78,54,0,15,2,5,5,5,5,5,5,5,27,0,0,0,6,6,3,0,3,15,30,5,5,5,18,5,2,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,60,0,0,0,0,78
2019wila_qm28,red,frc4239,frc6381,frc4011,54,78,0,12,5,5,5,0,0,5,5,5,27,0,0,0,3,3,3,1,0,9,0,5,3,5,6,5,0,5,0,0,0,5,0,2,2,2,2,2,2,6,3,6,0,12,0,42,0,0,0,0,54
2019wila_qm29,blue,frc7021,frc171,frc4021,65,38,0,12,5,5,5,5,5,5,2,5,27,0,0,0,6,3,3,0,0,12,0,5,5,5,14,5,0,5,2,0,0,0,2,2,2,2,2,2,2,3,6,3,2,12,0,53,0,0,0,2,65
2019wila_qm29,red,frc4624,frc2977,frc3090,38,65,0,12,0,2,2,0,5,5,5,5,12,0,0,0,3,0,3,0,0,6,0,5,5,5,8,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,26,0,0,0,0,38
2019wila_qm3,blue,frc3061,frc2667,frc5339,38,53,0,15,0,0,0,2,2,0,5,0,3,0,0,0,6,3,3,0,0,12,0,5,5,5,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,23,0,0,0,0,38
2019wila_qm3,red,frc4786,frc6421,frc6630,53,38,0,15,5,5,5,5,0,5,5,5,21,0,0,0,6,6,3,0,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,38,0,0,0,0,53
2019wila_qm30,blue,frc4786,frc1306,frc93,74,48,0,15,2,2,5,5,5,5,5,5,24,0,0,0,6,3,6,1,6,15,30,5,5,5,14,0,2,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,3,15,0,53,0,5,0,5,74
2019wila_qm30,red,frc7596,frc6359,frc4296,48,74,0,9,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,2,3,6,0,3,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,36,0,0,0,0,48
2019wila_qm31,blue,frc5976,frc5903,frc2826,52,55,0,9,2,2,2,0,0,5,5,5,12,0,0,0,3,0,12,2,6,15,30,5,5,5,10,5,2,2,2,0,2,0,0,2,2,2,2,2,2,3,3,3,1,9,0,37,0,0,0,0,52
2019wila_qm31,red,frc5019,frc2338,frc1625,55,52,0,15,2,5,5,5,5,5,0,0,15,0,0,0,3,3,3,2,6,9,0,5,5,5,10,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,34,0,0,0,0,55
2019wila_qm32,blue,frc2081,frc4054,frc1986,68,79,0,12,5,5,5,5,5,5,5,5,27,0,0,0,6,3,12,2,0,21,30,5,5,5,8,0,5,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,56,0,0,0,0,68
2019wila_qm32,red,frc967,frc5442,frc6421,79,68,0,12,5,2,5,5,5,2,5,5,24,0,0,0,6,12,3,0,6,21,30,5,5,5,16,0,5,2,5,2,2,2,0,2,2,2,2,2,2,6,3,3,3,12,0,61,0,0,0,0,79
2019wila_qm33,blue,frc6317,frc2531,frc3692,33,67,0,15,5,5,5,0,0,5,5,5,18,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,18,0,0,0,0,33
2019wila_qm33,red,frc1091,frc4655,frc3352,67,33,0,15,5,5,5,5,0,5,5,5,24,0,0,0,3,12,3,0,0,18,30,5,5,5,10,0,5,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,52,0,0,0,0,67
2019wila_qm34,blue,frc6420,frc5914,frc6166,34,68,0,15,2,2,2,0,0,5,5,5,9,0,0,0,3,0,3,1,0,6,0,5,5,5,4,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,0,15,0,19,0,0,0,0,34
2019wila_qm34,red,frc7432,frc3928,frc7048,68,34,0,15,2,2,0,0,0,5,5,5,21,0,0,0,3,12,0,0,3,15,30,5,5,5,14,5,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,50,0,2,0,5,68
2019wila_qm35,blue,frc2194,frc5003,frc2481,82,63,0,12,2,5,5,5,5,5,5,5,39,30,0,30,3,3,3,0,6,9,0,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,3,12,0,64,0,5,0,5,82
2019wila_qm35,red,frc269,frc5339,frc111,63,82,0,15,5,5,5,0,0,5,5,5,30,0,0,0,3,0,3,2,0,6,0,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,0,15,0,48,2,0,2,0,63
