Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7629,5.73,18.12,-0.00,4.33,1.19,1.04,1.62,-0.07,0.56,1.46,0.72,0.84,1.12,-2.12,-1.37,-1.39,1.97,0.52,-0.87,0.17,-0.56,1.61,0.33,1.42,1.21,1.37,-0.77,0.19,-0.55,0.34,-0.76,0.18,-0.51,0.09,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.19,1.94,2.64,-0.10,4.33,-0.08,1.96,-0.07,-0.36,-0.29,-0.44,5.73,
frc5903,24.15,23.10,-0.02,3.67,1.85,1.17,1.36,1.04,1.40,0.92,1.77,1.42,8.74,-0.26,-0.75,1.50,0.24,0.57,4.68,-0.04,2.90,5.53,3.41,1.52,1.98,1.83,3.31,-0.48,2.26,0.16,1.54,-0.58,0.80,-0.33,0.71,0.67,0.67,0.67,0.67,0.67,0.67,0.87,1.96,0.91,0.67,3.67,0.15,17.59,0.25,0.31,0.19,0.33,24.15,
frc1986,40.73,18.21,0.02,3.26,2.26,2.19,1.87,1.98,-0.32,1.36,2.06,2.17,15.59,7.76,0.60,5.61,4.00,3.21,4.74,0.21,3.75,12.04,23.48,1.63,1.81,1.64,6.07,1.39,2.59,1.27,2.69,1.09,0.76,0.47,0.98,0.67,0.67,0.67,0.67,0.67,0.67,1.38,0.78,1.29,1.83,3.26,0.07,33.70,0.43,0.88,0.31,0.94,40.73,
frc2826,30.63,21.43,-0.01,3.08,1.45,1.00,0.58,-0.06,0.78,2.10,0.93,1.25,9.36,9.23,8.35,0.29,3.10,3.12,3.18,0.44,1.83,9.40,20.35,1.84,1.69,1.15,6.96,1.99,1.30,1.32,1.01,1.23,1.07,1.52,0.72,0.67,0.67,0.67,0.67,0.67,0.67,0.58,1.61,1.03,1.73,3.08,0.05,25.73,1.22,0.08,1.39,-0.06,30.63,
frc5914,21.89,24.12,0.01,5.42,1.92,1.20,2.18,1.14,2.26,1.44,1.61,2.01,11.21,-0.20,-1.54,2.34,1.39,0.28,0.67,0.06,-0.95,2.33,0.77,1.65,1.50,1.65,3.88,0.41,0.63,1.08,0.84,0.48,0.63,0.28,0.78,0.67,0.67,0.67,0.67,0.67,0.67,1.57,1.55,2.91,0.38,5.42,-0.19,17.41,-0.12,0.40,-0.09,0.38,21.89,
frc7596,6.86,27.08,0.01,3.27,0.33,0.96,1.54,-0.01,1.90,1.18,0.96,0.69,2.18,-3.79,-0.80,-1.93,-0.11,-1.05,1.78,0.64,-0.35,0.64,-3.75,1.04,1.30,1.88,1.11,-0.20,0.29,-0.34,0.53,-0.46,0.10,-0.49,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.39,1.43,1.34,-0.59,3.27,0.08,3.93,-0.13,-0.43,-0.19,-0.42,6.86,
frc3061,33.85,14.22,-0.00,5.76,0.44,1.02,0.56,2.35,1.43,0.30,0.67,0.45,3.88,2.04,-0.34,-0.62,2.80,3.23,1.93,0.12,2.31,8.00,13.76,1.82,1.83,1.69,13.90,2.03,0.95,1.79,1.34,0.45,-0.34,0.55,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.86,1.52,1.66,1.30,5.76,0.17,25.78,0.42,-0.27,0.55,-0.44,33.85,
frc648,13.98,24.39,-0.00,3.98,0.98,1.39,1.76,0.02,0.55,1.27,1.24,1.01,4.68,4.60,0.16,1.75,2.82,0.44,0.37,0.12,0.43,3.62,6.18,1.62,1.51,1.53,1.28,0.88,0.08,0.40,-0.24,0.43,-0.15,0.30,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,2.20,1.31,1.44,0.23,3.98,0.19,9.58,-0.07,0.16,-0.04,0.09,13.98,
frc4296,22.26,18.04,0.01,4.99,2.14,2.47,2.63,1.03,0.83,1.11,1.64,0.91,10.79,0.97,2.14,-0.16,1.48,1.29,0.82,-0.11,-0.69,3.60,0.50,1.43,1.82,1.60,3.56,1.88,0.45,1.83,-0.07,0.14,-0.08,0.05,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.20,0.91,2.65,0.50,4.99,-0.10,17.95,0.36,0.41,0.33,0.47,22.26,
frc5339,11.61,27.40,0.00,5.63,1.03,0.90,1.21,1.15,0.54,1.32,1.22,0.86,4.57,-2.32,0.87,-2.42,-0.02,1.63,0.12,0.04,-0.76,1.78,2.89,1.60,1.46,1.96,0.39,1.00,-0.74,1.29,-0.72,1.01,-0.75,0.85,-0.67,0.67,0.67,0.67,0.67,0.67,0.67,2.16,0.81,2.95,-0.02,5.63,-0.00,6.74,0.55,-0.51,0.26,-0.51,11.61,
frc4786,19.94,8.72,0.02,5.41,0.47,0.53,1.10,1.50,1.26,1.77,1.36,1.31,6.26,-0.49,0.05,0.59,0.50,-0.26,3.06,0.02,2.44,3.31,5.29,1.67,1.71,1.59,2.50,0.57,0.11,-0.10,0.32,-0.05,0.18,-0.27,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.73,2.05,1.61,0.60,5.41,-0.08,12.07,0.49,0.58,0.16,0.64,19.94,
frc167,23.88,17.94,-0.00,3.31,1.02,0.54,1.10,2.60,3.09,1.83,1.55,1.54,9.85,9.04,1.56,4.49,0.65,3.30,-1.36,-0.15,2.01,2.56,2.89,1.76,1.73,1.66,6.15,-0.01,1.38,0.34,1.38,0.08,1.08,0.06,1.15,0.67,0.67,0.67,0.67,0.67,0.67,0.17,1.71,1.09,1.24,3.31,-0.00,18.56,0.21,0.83,0.10,0.68,23.88,
frc2977,9.72,17.82,-0.01,3.34,0.31,1.98,1.65,-0.01,0.76,1.00,1.39,1.43,2.96,1.26,1.46,-0.09,2.08,1.70,-0.81,0.63,0.33,2.97,5.93,1.78,1.52,1.77,0.12,0.15,-0.07,-0.41,0.09,-0.18,-0.54,-0.04,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.73,0.14,0.18,3.34,0.09,6.06,0.08,-0.33,0.21,-0.52,9.72,
frc5003,7.60,17.73,-0.01,3.61,1.45,1.52,1.00,-0.84,0.78,1.46,0.69,1.20,2.80,-0.51,-1.36,-0.53,0.87,-0.03,1.28,0.49,-0.11,2.14,-1.91,1.61,1.36,1.56,-0.83,-0.04,0.48,0.18,0.96,-0.30,-0.42,-0.59,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.33,1.48,0.05,3.61,-0.06,4.11,-0.32,-0.32,-0.35,-0.43,7.60,
frc967,32.45,17.59,-0.01,5.42,1.18,0.88,1.55,2.35,2.67,2.12,1.91,2.10,14.82,-3.25,-0.85,-1.77,1.20,1.36,2.83,-0.02,-0.85,5.41,3.12,1.64,1.65,1.75,7.66,2.30,2.76,2.46,3.00,0.01,0.54,-0.13,0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.86,1.65,1.89,0.98,5.42,0.04,27.89,0.31,0.17,0.00,0.28,32.45,
frc4011,16.66,27.94,0.00,4.96,1.61,1.85,1.11,0.58,1.92,1.33,1.36,0.78,5.75,-0.26,0.00,0.88,-1.10,1.13,1.84,1.56,-0.27,1.89,-5.81,1.75,1.68,1.55,4.32,-0.30,1.22,-0.15,1.07,-0.29,1.08,0.11,0.97,0.67,0.67,0.67,0.67,0.67,0.67,1.64,1.57,1.84,0.19,4.96,0.10,11.96,-0.21,0.25,-0.28,0.40,16.66,
frc6317,7.72,23.19,-0.00,3.13,1.29,1.51,1.62,0.29,0.66,0.64,1.03,0.77,3.81,2.44,4.56,-2.03,-0.15,-0.41,0.42,0.21,-1.12,-0.09,-0.45,1.60,1.55,1.81,1.99,0.36,-0.30,0.91,-0.50,0.69,-0.06,0.61,-0.77,0.67,0.67,0.67,0.67,0.67,0.67,1.21,0.85,1.41,-0.06,3.13,0.10,5.71,0.61,-0.47,0.69,-0.13,7.72,
frc4054,8.05,17.06,-0.10,3.38,1.21,0.90,0.30,0.46,1.20,0.28,1.39,0.23,1.12,-0.65,-1.54,-2.34,0.96,1.35,1.15,0.23,-1.05,3.47,-1.10,1.86,1.36,1.75,1.23,0.43,0.41,0.27,-0.41,0.15,0.05,0.27,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.23,0.96,1.11,0.40,3.38,-0.07,5.82,-0.33,-0.49,-0.36,-0.75,8.05,
frc93,22.79,20.20,0.01,5.92,1.15,1.63,1.13,2.24,1.15,1.59,2.60,1.99,8.51,-0.01,0.16,0.06,1.97,1.70,2.05,0.43,0.51,5.77,12.16,1.84,1.98,1.66,2.07,-0.13,0.79,0.34,-0.07,-0.08,-0.35,-0.13,0.34,0.67,0.67,0.67,0.67,0.67,0.67,1.81,2.40,1.17,0.81,5.92,-0.05,16.35,-0.20,0.57,0.12,0.36,22.79,
frc5019,16.27,16.89,-0.01,5.44,0.82,0.80,0.64,0.61,1.69,2.67,2.01,1.05,3.88,-3.42,-1.57,-2.76,1.43,3.24,-0.16,0.59,3.52,4.44,2.70,1.75,1.90,1.51,-0.99,-0.95,0.02,-0.60,0.65,-0.77,-0.22,-0.41,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.86,1.64,1.51,0.32,5.44,-0.01,7.33,-0.44,-0.41,-0.55,-0.49,16.27,
frc3090,17.69,13.13,0.01,3.77,1.65,2.04,1.08,0.68,1.15,2.15,2.21,2.11,8.19,-3.77,-1.34,-0.74,-0.41,0.80,2.31,0.22,1.79,2.78,0.37,1.84,1.74,1.33,1.16,0.14,0.15,0.72,-0.30,0.04,0.02,0.27,0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.97,0.63,1.31,0.63,3.77,-0.07,12.13,-0.22,-0.34,-0.18,-0.28,17.69,
frc2338,27.75,12.58,0.01,3.35,0.21,0.51,-0.17,0.88,1.27,0.81,-0.43,0.35,9.06,4.18,3.10,3.42,-0.40,1.69,3.32,-0.30,1.45,4.62,5.37,1.69,1.10,1.79,9.25,1.76,1.17,1.50,1.40,1.73,1.47,1.68,1.23,0.67,0.67,0.67,0.67,0.67,0.67,1.30,0.84,1.47,1.29,3.35,-0.14,22.93,0.73,1.23,0.36,1.43,27.75,
frc171,23.66,23.19,0.02,4.47,1.56,2.25,2.41,1.44,1.26,1.57,1.19,1.63,9.82,2.07,-1.10,0.71,1.95,0.92,1.71,0.96,1.42,4.58,1.13,1.56,1.13,1.55,3.36,0.72,0.32,0.15,0.19,0.59,0.48,0.76,0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.99,2.36,0.52,4.47,0.01,17.76,0.11,0.10,-0.04,0.47,23.66,
frc4239,22.67,23.15,0.01,5.19,1.57,2.46,2.19,0.33,0.21,2.54,2.12,1.87,12.48,2.59,-0.55,0.13,1.46,2.66,-0.30,0.88,-0.15,3.89,2.69,1.79,0.97,1.49,1.25,2.07,0.11,1.76,-0.03,1.39,-0.31,1.58,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.94,1.07,2.58,0.19,5.19,-0.10,17.62,0.00,-0.17,-0.05,-0.31,22.67,
frc7432,20.60,17.40,0.01,3.68,1.25,0.51,1.28,-0.20,0.92,1.41,1.39,1.41,8.91,0.50,-0.18,-0.97,-0.11,0.68,0.22,-0.33,1.42,0.85,1.38,1.76,1.83,1.84,5.72,1.12,0.95,1.35,1.51,0.32,0.10,0.53,0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.23,0.82,0.97,0.57,3.68,0.02,15.48,1.30,0.68,1.60,0.69,20.60,
frc6166,-1.30,27.70,-0.10,2.10,0.01,0.21,-0.57,-1.88,-0.95,-0.02,0.48,-0.24,-6.27,1.88,0.73,-1.20,0.02,0.10,1.81,0.50,-0.06,1.94,-1.65,1.71,1.53,1.35,1.10,-0.55,-0.06,-0.23,0.53,-0.09,0.01,-0.30,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,0.61,2.36,0.36,-0.63,2.10,0.26,-3.24,-0.19,-0.10,-0.07,-0.10,-1.30,
frc7048,12.11,12.51,-0.01,6.51,0.79,0.60,1.26,-0.11,0.72,1.34,1.16,0.95,1.21,1.48,-1.13,0.01,0.74,0.14,2.27,0.60,-0.37,3.16,2.45,1.68,1.79,1.86,1.63,0.11,0.47,-0.58,0.14,-0.24,0.04,-0.65,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.90,2.23,1.99,0.34,6.51,0.02,5.99,-0.40,0.24,-0.46,0.57,12.11,
frc6630,19.16,23.16,0.00,4.32,1.75,2.11,1.95,1.53,1.03,2.29,2.82,1.73,7.81,-4.42,-1.00,-2.18,2.43,2.24,2.23,0.04,1.01,6.90,8.48,1.39,1.83,1.66,-0.88,-1.09,-0.16,-0.07,0.21,-0.45,-0.19,-0.55,0.30,0.67,0.67,0.67,0.67,0.67,0.67,2.52,1.02,1.62,0.54,4.32,0.03,13.83,-0.25,-0.50,-0.33,-0.16,19.16,
frc2667,10.96,22.31,-0.01,4.36,0.75,0.79,0.70,-0.99,0.08,0.81,1.44,0.58,3.27,3.28,2.33,2.07,1.27,0.98,0.35,0.58,0.07,2.27,-5.11,1.67,1.88,1.26,1.00,0.29,-0.06,0.25,0.03,0.35,-0.04,0.40,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.47,1.75,0.98,-0.09,4.36,0.02,6.53,0.38,0.27,0.46,0.33,10.96,
frc4624,13.24,15.53,0.01,4.86,-0.38,0.19,0.23,1.45,3.13,0.65,0.97,1.39,2.90,-2.13,0.67,-1.96,1.11,-0.64,0.63,0.05,-0.42,0.76,-4.54,1.20,1.60,1.72,5.14,-0.25,1.05,-0.19,1.62,-0.27,-0.25,-0.64,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,2.39,0.65,2.23,0.17,4.86,-0.03,8.80,-0.33,-0.09,-0.33,0.14,13.24,
frc1306,20.14,20.02,0.01,4.92,1.58,0.83,1.83,0.93,1.90,2.25,2.41,2.13,8.03,-2.46,-1.67,-0.97,1.83,0.49,1.01,0.60,2.64,3.05,5.36,1.26,1.94,1.71,1.49,0.41,0.10,0.11,0.17,-0.61,-0.13,-0.90,0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.26,1.89,1.74,0.05,4.92,0.02,12.57,-0.49,0.68,-0.44,0.81,20.14,
frc2081,17.58,21.72,0.01,4.93,0.77,1.18,1.07,0.36,2.22,2.10,1.38,1.85,6.08,-2.05,-0.30,-0.74,0.11,2.76,2.25,0.58,-0.47,4.84,4.88,1.14,1.51,1.82,2.20,0.04,-0.21,0.20,-0.23,0.08,-0.04,0.24,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.53,1.97,1.18,0.09,4.93,0.02,13.12,0.38,0.11,0.27,0.10,17.58,
frc3723,11.20,27.61,-0.00,5.13,1.06,0.87,1.63,0.95,-0.26,1.30,1.13,1.62,2.57,-0.16,0.19,-0.13,1.08,-0.08,1.96,0.24,-0.38,3.08,6.05,1.85,1.45,1.83,0.80,0.33,-0.51,0.34,-0.14,0.17,-0.27,0.16,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.63,1.88,-0.08,5.13,0.14,6.45,0.17,-0.26,-0.04,-0.24,11.20,
frc6420,15.57,14.63,0.01,5.97,1.14,1.78,1.40,0.66,0.48,2.25,2.12,1.06,5.04,1.05,-0.94,-1.24,2.95,0.32,-0.36,0.22,0.99,2.61,-0.06,1.84,1.76,1.23,0.96,-0.50,0.66,-0.31,0.40,-0.60,0.29,-0.05,0.59,0.67,0.67,0.67,0.67,0.67,0.67,2.39,2.38,0.66,0.12,5.97,-0.01,8.61,-0.36,-0.18,-0.13,-0.27,15.57,
frc3692,17.18,15.72,0.01,4.70,1.88,2.02,1.89,1.31,1.19,2.21,1.85,2.10,8.69,-0.02,1.71,-1.06,0.35,2.73,0.00,-0.07,-0.16,3.09,1.72,1.36,1.82,1.54,0.85,-0.01,-1.22,0.48,-0.97,0.63,-0.44,0.81,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.51,2.28,1.55,0.51,4.70,0.05,12.63,0.60,-0.23,0.62,-0.38,17.18,
frc4021,17.38,16.19,-0.01,5.12,1.46,0.48,0.70,0.42,1.60,0.70,0.27,0.69,4.90,-0.11,1.82,-2.55,1.34,-0.90,1.65,-0.43,-0.67,2.20,0.73,1.67,1.83,1.62,5.85,1.88,0.19,1.78,0.26,0.68,-0.07,0.75,0.22,0.67,0.67,0.67,0.67,0.67,0.67,2.09,1.29,1.85,0.55,5.12,0.11,12.95,0.64,-0.02,0.68,0.51,17.38,
frc6381,14.51,17.89,0.01,2.73,1.04,1.70,1.67,0.73,-0.99,0.96,1.10,1.39,4.72,-0.44,0.11,0.74,0.17,0.21,2.80,0.46,1.73,3.18,0.64,1.57,0.95,1.56,2.13,0.20,0.08,0.30,0.90,-0.11,0.85,0.48,0.46,0.67,0.67,0.67,0.67,0.67,0.67,1.91,0.91,0.76,0.04,2.73,-0.09,10.03,0.07,-0.11,0.14,-0.12,14.51,
frc6421,20.19,20.73,-0.01,3.00,1.86,1.19,1.77,1.49,0.59,0.20,1.88,0.82,7.29,3.81,-0.19,3.84,2.51,3.85,0.02,0.01,0.50,6.38,11.46,1.81,1.23,1.55,3.02,0.31,0.91,0.14,0.83,0.13,0.75,0.29,0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.17,0.64,1.04,0.78,3.00,0.08,16.69,-0.24,0.42,0.16,0.42,20.19,
frc4655,27.57,23.18,0.01,4.82,1.50,1.90,1.47,0.28,0.57,1.80,1.25,1.49,8.38,5.04,-0.63,1.89,4.08,3.12,2.74,-0.07,1.97,9.95,17.19,1.75,1.63,1.67,2.44,0.54,1.47,0.86,0.56,-0.11,0.56,-0.45,0.93,0.67,0.67,0.67,0.67,0.67,0.67,1.63,2.02,0.83,1.01,4.82,0.20,20.77,-0.35,0.39,-0.35,-0.09,27.57,
frc269,22.68,26.01,-0.01,3.20,2.71,2.21,1.26,1.11,0.62,1.09,2.11,1.57,11.56,4.37,1.81,-1.46,1.13,0.34,1.46,0.16,2.25,3.07,3.79,1.84,1.87,1.52,2.62,0.85,0.72,1.27,0.33,1.19,-0.20,1.72,-0.46,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.76,0.67,0.50,3.20,0.09,17.24,1.01,-0.50,0.77,-0.58,22.68,
frc7021,25.58,26.37,0.01,2.19,1.07,2.03,1.84,0.57,1.06,2.23,1.52,1.92,10.16,1.64,-1.26,3.98,2.60,2.45,1.97,0.14,2.92,6.96,10.70,1.49,1.69,1.26,3.33,1.67,-0.03,2.03,0.86,-0.61,0.53,0.02,0.66,0.67,0.67,0.67,0.67,0.67,0.67,0.61,1.33,1.42,0.40,2.19,-0.02,20.46,-0.54,0.47,-0.33,0.55,25.58,
frc4818,23.22,16.80,0.02,5.41,0.81,1.15,1.61,2.01,0.21,1.70,1.45,1.68,8.72,0.16,0.53,0.98,0.65,1.19,1.42,-0.17,1.23,3.33,5.46,1.86,1.67,1.63,4.51,1.74,1.18,1.74,1.12,0.28,0.07,0.62,0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.26,2.16,1.99,0.44,5.41,-0.09,16.56,-0.12,0.21,-0.01,0.28,23.22,
frc6412,9.78,26.61,0.02,3.12,1.45,1.80,1.80,1.08,0.33,1.54,1.06,1.40,6.43,0.91,-0.24,2.47,-1.06,0.10,0.39,0.51,-1.15,-0.58,-10.05,1.31,1.19,1.75,1.93,-0.30,0.11,-0.52,-0.15,0.04,0.80,-0.14,0.60,0.67,0.67,0.67,0.67,0.67,0.67,1.34,0.90,2.09,-0.59,3.12,-0.13,7.79,0.29,0.28,0.20,0.34,9.78,
frc1091,19.42,15.15,0.02,5.25,0.58,0.79,0.25,1.06,-0.32,0.82,0.98,0.97,4.56,4.61,-0.82,4.99,2.56,1.76,-0.24,0.68,1.99,4.11,1.54,1.69,1.64,1.51,3.48,0.67,1.33,-0.37,1.11,-0.27,0.52,-0.07,0.36,0.67,0.67,0.67,0.67,0.67,0.67,2.60,1.65,1.38,0.71,5.25,-0.07,12.16,-0.28,0.53,-0.22,0.46,19.42,
frc5442,26.31,21.44,0.01,3.54,2.57,2.19,2.42,1.17,1.64,-0.04,0.35,0.56,7.26,-1.55,0.83,-1.58,4.75,3.85,1.82,0.09,1.24,10.47,20.17,1.53,2.02,1.84,3.79,0.87,0.28,1.32,0.67,1.11,-0.32,0.66,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.03,1.07,1.44,1.62,3.54,0.05,21.53,0.07,-0.43,0.14,-0.37,26.31,
frc111,33.14,11.22,-0.01,3.66,0.55,1.02,0.86,0.69,-0.65,0.80,0.87,1.45,11.42,6.16,3.92,4.92,2.75,2.35,0.66,-0.19,3.11,5.82,11.26,1.71,1.72,1.78,9.13,1.13,3.05,0.98,2.80,0.99,1.71,0.94,2.01,0.67,0.67,0.67,0.67,0.67,0.67,1.39,0.50,1.45,1.47,3.66,-0.04,26.38,0.70,1.96,0.76,2.29,33.14,
frc6359,20.29,17.64,0.01,3.09,1.54,2.27,2.04,2.96,0.63,2.66,1.27,1.55,9.29,-0.22,-0.39,0.33,1.65,1.57,-0.22,0.33,2.61,3.07,4.07,1.60,1.72,1.55,2.23,0.18,-0.45,0.79,-0.55,0.84,-0.29,0.86,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.46,1.73,1.33,0.41,3.09,0.12,14.58,0.40,-0.19,0.10,-0.32,20.29,
frc5976,15.54,13.21,0.02,3.31,1.23,1.36,1.28,0.08,1.26,1.79,2.03,1.93,3.58,-3.46,-2.31,0.24,2.37,0.89,3.80,-0.09,1.70,7.00,10.94,1.60,1.75,1.76,-0.06,0.24,0.16,0.20,-0.25,-0.82,-0.05,-1.24,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.29,0.86,0.76,0.45,3.31,-0.10,10.52,-0.61,-0.07,-0.62,-0.08,15.54,
frc3352,26.41,18.03,-0.10,5.18,1.73,0.85,1.46,2.47,1.80,1.80,1.75,1.90,11.51,4.55,0.64,2.07,-1.09,4.66,0.35,-0.14,1.29,4.02,6.01,1.28,1.67,1.83,4.51,-0.36,1.50,0.07,1.94,-0.08,0.38,-0.09,0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.78,2.66,0.64,5.18,-0.06,20.04,0.08,1.00,0.00,0.79,26.41,
frc2194,34.23,22.22,0.02,3.24,1.45,2.14,2.26,2.76,2.46,1.87,1.70,1.70,13.64,2.21,1.20,2.05,1.53,4.42,3.97,0.28,1.67,9.92,20.10,1.53,1.87,1.86,5.75,0.11,2.04,0.61,1.36,-0.04,1.36,-0.11,0.48,0.67,0.67,0.67,0.67,0.67,0.67,1.00,0.86,1.24,1.70,3.24,0.12,29.31,0.09,0.45,0.11,0.49,34.23,
frc2531,10.13,19.83,0.01,3.98,1.52,0.65,0.62,0.83,-0.13,1.28,1.28,0.91,0.84,-2.98,-1.84,-0.89,1.88,0.10,0.68,-0.04,2.28,2.41,1.07,1.64,0.97,1.21,0.61,0.23,0.42,-0.64,0.59,-0.45,0.06,-0.50,0.45,0.67,0.67,0.67,0.67,0.67,0.67,2.14,0.96,1.86,-0.08,3.98,0.04,3.86,-0.44,-0.27,-0.47,-0.08,10.13,
frc3928,30.95,26.05,0.01,5.13,1.65,1.41,0.27,2.23,0.84,1.11,2.41,2.36,9.79,-3.02,-1.17,-1.40,1.68,3.40,3.80,0.34,2.41,8.91,19.43,1.78,1.72,1.23,4.70,1.14,1.90,1.06,1.72,-0.09,-0.18,-0.60,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.07,2.46,1.87,1.07,5.13,0.23,23.40,-0.34,0.15,-0.08,0.33,30.95,
frc1625,23.04,14.65,-0.01,5.09,1.61,1.72,1.94,1.92,0.90,0.67,0.71,0.67,3.67,-0.85,-0.23,-1.61,3.64,2.97,1.67,0.08,1.98,8.26,13.43,1.67,1.77,1.55,4.05,0.44,-0.18,0.83,-0.23,0.40,-0.40,-0.09,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.97,1.86,1.41,1.35,5.09,0.23,15.98,0.67,-0.19,0.57,-0.46,23.04,
