MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019wimi_qm1,blue,frc7417,frc1716,frc537,40,52,0,6,5,5,5,0,5,5,2,2,15,0,0,0,3,3,3,0,6,9,0,5,5,3,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,28,0,0,0,0,40
2019wimi_qm1,red,frc6807,frc2040,frc6574,52,40,0,15,5,2,5,0,5,5,5,5,18,0,0,0,3,6,6,2,0,15,30,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,37,0,0,0,0,52
2019wimi_qm10,blue,frc2451,frc537,frc1732,67,23,0,12,5,5,5,2,5,5,5,5,24,0,0,0,3,3,12,0,3,18,30,5,5,5,10,2,2,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,52,0,0,0,0,67
2019wimi_qm10,red,frc5586,frc7915,frc7619,23,67,0,9,2,5,0,0,0,0,2,2,3,0,0,0,3,3,3,1,0,9,0,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,14,0,0,0,0,23
2019wimi_qm11,blue,frc269,frc3596,frc4531,44,45,0,12,5,5,5,5,0,2,2,2,12,0,0,0,3,3,12,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,32,0,0,0,0,44
2019wimi_qm11,red,frc6574,frc1710,frc4247,45,44,0,9,5,5,5,5,0,5,5,2,24,0,0,0,3,3,0,0,0,6,0,5,5,3,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,36,0,0,0,0,45
2019wimi_qm12,blue,frc4786,frc2704,frc7432,31,31,0,15,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,1,0,9,0,5,5,5,4,0,0,0,0,0,5,0,2,2,2,2,2,2,2,6,6,3,1,15,0,16,0,0,0,0,31
2019wimi_qm12,red,frc1716,frc279,frc7900,31,31,0,15,0,0,0,2,2,2,2,2,0,0,0,0,3,3,3,0,3,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,13,0,0,0,0,31
2019wimi_qm13,blue,frc2194,frc6643,frc3692,43,43,0,3,2,2,2,2,0,2,2,2,6,0,0,0,12,0,3,0,13,15,30,5,3,3,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,3,0,27,0,0,0,0,43
2019wimi_qm13,red,frc7417,frc1038,frc1714,43,43,0,15,5,5,2,0,0,2,2,2,9,0,0,0,3,3,3,1,0,9,0,5,5,5,10,0,2,0,2,0,5,0,2,2,2,2,2,2,2,3,6,6,1,15,1,28,0,0,0,2,43
2019wimi_qm14,blue,frc3197,frc5125,frc5096,60,28,0,9,5,5,5,0,0,5,2,2,18,0,0,0,12,3,3,0,9,18,30,5,5,3,6,5,0,5,0,2,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,42,0,0,0,0,60
2019wimi_qm14,red,frc4804,frc7103,frc6223,28,60,0,9,2,2,2,0,0,2,2,2,3,0,0,0,12,0,0,3,0,12,0,5,5,0,4,0,0,0,0,5,0,2,0,2,2,2,2,2,2,6,3,0,0,9,0,19,0,0,0,0,28
2019wimi_qm15,blue,frc1792,frc5148,frc3418,66,64,0,12,2,2,2,0,5,5,5,2,21,0,0,0,12,6,3,0,0,21,30,5,5,5,12,0,5,0,5,0,0,0,2,2,2,2,2,2,2,3,3,6,3,12,0,54,0,5,0,5,66
2019wimi_qm15,red,frc2022,frc1259,frc5837,64,66,0,15,5,5,5,0,5,5,5,5,30,0,0,0,0,6,3,0,0,9,0,5,5,5,10,0,5,0,5,0,2,0,5,2,2,2,2,2,2,6,6,3,0,15,0,49,0,0,0,0,64
2019wimi_qm16,blue,frc7498,frc2040,frc2202,79,39,0,15,5,5,5,5,5,5,5,5,36,0,0,0,3,6,3,0,0,12,0,5,5,5,16,0,5,0,5,5,0,5,0,2,2,2,2,2,2,3,6,6,2,15,0,64,2,0,2,0,79
2019wimi_qm16,red,frc1306,frc3381,frc2169,39,79,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,27,0,0,0,0,39
2019wimi_qm17,blue,frc6670,frc6807,frc2830,40,61,0,9,5,5,5,5,0,5,5,5,21,0,0,0,0,0,6,0,0,6,0,3,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,31,0,0,0,0,40
2019wimi_qm17,red,frc2062,frc233,frc1091,61,40,0,12,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,0,9,0,5,5,5,10,5,2,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,49,0,0,0,0,61
2019wimi_qm18,blue,frc1675,frc930,frc706,62,45,0,12,0,2,2,5,0,2,2,2,12,0,0,0,3,0,3,0,6,6,0,5,5,5,26,2,2,2,0,5,0,5,2,2,2,2,2,2,2,6,3,3,2,12,0,44,5,0,2,2,62
2019wimi_qm18,red,frc2506,frc2077,frc6421,45,62,0,9,2,2,5,2,2,5,2,2,15,0,0,0,3,0,0,2,0,3,0,5,5,5,18,2,0,0,0,5,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,36,5,0,5,0,45
2019wimi_qm19,blue,frc6643,frc7900,frc1714,5,77,0,0,2,2,2,0,0,2,2,2,0,0,0,0,3,0,0,1,0,3,0,3,3,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,0,0,5,0,0,0,2,5
2019wimi_qm19,red,frc5125,frc6574,frc1732,77,5,0,9,5,5,5,2,0,5,5,2,33,30,30,0,3,3,12,0,3,18,30,3,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,4,9,0,65,5,0,5,0,77
