Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7417,15.65,22.42,0.00,3.53,2.57,2.47,1.74,1.16,2.13,0.98,1.11,0.80,8.09,-0.94,-0.62,-0.16,0.70,0.13,1.39,0.70,-2.07,2.26,0.20,1.69,1.20,1.77,3.84,0.12,1.31,0.23,1.28,0.04,0.07,0.19,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.21,1.65,1.36,-0.38,3.53,0.30,14.20,0.08,-0.27,0.31,-0.09,15.65,
frc1716,9.98,23.53,0.00,4.59,1.24,1.00,0.80,0.24,0.14,1.99,1.30,0.83,2.43,-0.64,-0.07,-0.01,0.19,1.07,0.53,0.45,1.58,1.82,1.06,1.88,2.11,1.00,-0.43,-0.56,-0.22,-0.54,-0.77,-0.09,-0.15,0.34,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.14,1.32,1.56,-0.56,4.59,-0.04,3.81,-0.03,-0.32,0.34,-0.32,9.98,
frc537,21.86,15.28,0.00,2.83,1.31,1.13,1.83,1.12,2.10,2.08,1.52,1.59,5.62,-0.82,0.06,-0.23,1.60,-0.54,2.12,-0.02,7.11,3.18,0.73,1.79,1.65,1.76,3.11,0.14,-0.26,0.21,0.49,0.21,-0.09,0.02,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,0.70,0.81,1.11,0.53,2.83,-0.07,11.91,0.37,0.28,0.31,-0.11,21.86,
frc6807,4.26,20.50,0.00,2.57,1.08,1.14,1.43,-0.03,0.47,0.84,1.25,1.43,1.53,-0.64,0.01,0.10,-0.14,1.77,0.10,1.15,-2.28,1.74,2.00,1.45,1.74,1.54,0.69,-0.45,0.75,-0.97,0.19,-0.36,0.05,-0.39,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.53,0.15,1.55,0.13,2.57,0.15,3.96,-0.05,0.62,0.03,-0.05,4.26,
frc2040,32.07,20.86,0.00,5.26,1.92,1.12,2.27,1.73,1.86,1.28,1.88,1.42,12.20,4.29,2.03,-0.39,0.57,1.37,3.68,0.98,5.32,5.69,6.79,1.38,1.77,1.79,3.60,0.27,1.84,1.13,0.85,0.67,0.03,0.97,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.30,1.92,2.40,1.13,5.26,-0.08,21.49,0.32,-0.24,0.41,-0.26,32.07,
frc6574,25.65,12.41,0.00,5.56,2.03,1.98,2.34,0.23,1.19,1.81,1.72,1.25,10.25,1.22,2.07,-0.10,1.64,0.32,4.37,-0.48,1.68,6.27,11.81,1.74,1.83,1.45,1.90,0.69,0.23,0.86,0.80,0.58,-0.29,0.46,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.65,2.09,2.05,1.04,5.56,0.04,18.42,0.28,-0.10,0.51,-0.13,25.65,
frc2451,23.58,18.94,0.00,5.69,1.56,2.00,1.27,1.24,0.04,1.87,1.63,1.42,9.58,-1.08,-0.66,0.18,0.73,4.97,1.04,1.12,-2.18,6.78,5.99,1.79,1.44,1.26,3.72,1.39,0.40,0.81,-0.14,1.25,-0.03,1.52,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.91,2.38,2.05,0.71,5.69,0.02,20.08,0.62,0.17,0.56,0.00,23.58,
frc1732,31.48,11.56,0.00,2.23,1.35,1.75,1.44,-0.21,0.93,1.85,2.16,1.56,11.67,6.58,3.58,-0.14,2.42,3.78,4.38,0.68,1.45,10.60,25.75,0.70,1.88,1.93,5.53,1.80,1.24,1.70,1.16,0.46,0.02,0.82,0.26,0.67,0.67,0.67,0.67,0.67,0.67,2.19,1.09,-0.12,1.91,2.23,-0.02,27.80,0.98,0.16,0.94,0.09,31.48,
frc5586,16.90,14.31,0.00,2.49,1.07,1.40,1.11,0.12,0.32,0.92,1.44,2.01,4.82,-1.19,-0.59,-0.35,2.72,0.34,1.26,0.02,4.75,4.36,4.85,1.67,1.45,1.72,0.48,0.30,-0.38,0.70,0.50,-0.07,-0.22,0.10,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,0.87,1.48,0.73,0.59,2.49,0.08,9.66,-0.30,0.06,0.28,0.08,16.90,
frc7915,10.15,25.92,0.00,5.09,1.87,1.49,1.01,1.86,1.32,0.84,0.50,0.65,2.74,-0.49,-0.14,-0.40,0.81,0.70,0.36,1.32,0.08,1.96,0.83,1.82,1.81,1.99,0.28,-0.09,0.55,-0.05,-0.09,-0.80,-0.26,-0.79,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.86,1.79,1.61,-0.01,5.09,0.09,4.98,-0.37,-0.43,-0.40,-0.45,10.15,
