MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,autoInitLinePoints,autoPoints,controlPanelPoints,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulCount,foulPoints,initLineRobot1,initLineRobot2,initLineRobot3,rp,shieldEnergizedRankingPoint,shieldOperationalRankingPoint,stage1Activated,stage2Activated,stage3Activated,stage3TargetColor,tba_numRobotsHanging,tba_shieldEnergizedRankingPointFromFoul,techFoulCount,teleopCellPoints,teleopCellsBottom,teleopCellsInner,teleopCellsOuter,teleopPoints,totalPoints
2020miket_qm1,blue,frc6548,frc7894,frc2337,73,62,0,18,0,3,0,15,33,0,30,Park,None,Hang,NotLevel,0,0,Exited,Exited,Exited,2,false,false,false,false,false,Unknown,1,false,0,10,0,0,5,40,73
2020miket_qm1,red,frc6093,frc3322,frc6081,62,73,0,4,0,0,1,15,19,0,25,None,None,Hang,NotLevel,0,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,1,false,0,18,4,2,4,43,62
2020miket_qm10,blue,frc5612,frc6091,frc5260,35,73,0,0,0,0,0,10,10,0,25,None,None,Hang,NotLevel,0,0,None,Exited,Exited,0,false,false,false,false,false,Unknown,1,false,0,0,0,0,0,25,35
2020miket_qm10,red,frc6081,frc4998,frc5641,73,35,0,20,0,0,5,15,35,0,15,Park,Park,Park,IsLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,23,2,3,6,38,73
2020miket_qm11,blue,frc2337,frc7491,frc8368,121,111,0,52,0,8,1,10,62,0,30,Hang,None,Park,NotLevel,0,15,Exited,Exited,None,2,false,false,true,false,false,Unknown,1,false,0,14,4,0,5,44,121
2020miket_qm11,red,frc4994,frc27,frc5509,111,121,0,14,0,1,2,15,29,0,65,Hang,Hang,None,IsLevel,0,0,Exited,Exited,Exited,1,false,true,true,false,false,Unknown,2,false,1,17,0,1,7,82,111
2020miket_qm12,blue,frc1322,frc494,frc5067,66,127,0,8,0,0,2,10,18,0,30,None,Park,Hang,NotLevel,0,3,None,Exited,Exited,0,false,false,true,false,false,Unknown,1,false,0,15,0,1,6,45,66
2020miket_qm12,red,frc1506,frc3535,frc3542,127,66,0,12,0,0,3,15,27,0,65,Hang,Hang,None,IsLevel,1,0,Exited,Exited,Exited,3,false,true,true,false,false,Unknown,2,false,0,35,0,3,13,100,127
2020miket_qm13,blue,frc5215,frc7784,frc5527,50,99,0,0,0,0,0,10,10,0,15,Park,Park,Park,IsLevel,1,24,Exited,None,Exited,0,false,false,false,false,false,Unknown,0,false,3,1,1,0,0,16,50
2020miket_qm13,red,frc6102,frc5238,frc6093,99,50,0,0,0,0,0,10,10,0,30,None,Hang,Park,NotLevel,3,48,None,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,1,11,7,0,2,41,99
2020miket_qm14,blue,frc7056,frc245,frc6610,58,116,0,0,0,0,0,15,15,0,30,Park,Hang,None,NotLevel,4,0,Exited,Exited,Exited,0,false,false,false,false,false,Unknown,1,false,0,13,0,1,5,43,58
2020miket_qm14,red,frc2337,frc3568,frc5713,116,58,0,30,0,5,0,5,35,0,50,Hang,Park,Park,IsLevel,0,12,Exited,None,None,2,false,false,true,false,false,Unknown,1,false,0,19,3,0,8,69,116
2020miket_qm15,blue,frc5084,frc7894,frc3535,104,82,0,0,0,0,0,10,10,0,70,Hang,Park,Hang,IsLevel,2,15,Exited,None,Exited,3,false,true,false,false,false,Unknown,2,false,0,9,0,3,0,79,104
2020miket_qm15,red,frc1506,frc5150,frc6091,82,104,0,4,0,0,1,10,14,0,45,Hang,Park,None,IsLevel,0,6,Exited,None,Exited,0,false,false,true,false,false,Unknown,1,false,1,17,1,2,5,62,82
2020miket_qm16,blue,frc5067,frc27,frc4998,63,50,0,16,0,0,4,15,31,0,5,None,None,Park,IsLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,27,0,1,12,32,63
2020miket_qm16,red,frc6102,frc1322,frc6081,50,63,0,12,0,0,3,5,17,0,30,Park,None,Hang,NotLevel,0,0,None,None,Exited,0,false,false,false,false,false,Unknown,1,false,0,3,0,1,0,33,50
2020miket_qm17,blue,frc5612,frc3568,frc3322,103,53,0,28,0,2,4,15,43,0,15,Park,Park,Park,IsLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,45,4,3,16,60,103
2020miket_qm17,red,frc7166,frc7491,frc7784,53,103,0,0,0,0,0,5,5,0,30,None,Park,Hang,NotLevel,0,0,None,Exited,None,0,false,false,true,false,false,Unknown,1,false,0,18,0,0,9,48,53
2020miket_qm18,blue,frc5260,frc8385,frc5641,73,71,0,12,0,0,3,15,27,0,10,Park,None,Park,IsLevel,0,18,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,18,18,0,0,28,73
2020miket_qm18,red,frc8368,frc6548,frc5238,71,73,0,4,2,0,0,10,14,0,45,None,Park,Hang,IsLevel,6,0,None,Exited,Exited,0,false,false,true,false,false,Unknown,1,false,0,12,12,0,0,57,71
2020miket_qm19,blue,frc5697,frc4994,frc5527,51,68,0,0,0,0,0,15,15,0,35,Park,Hang,Park,NotLevel,0,0,Exited,Exited,Exited,0,false,false,false,false,false,Unknown,1,false,0,1,1,0,0,36,51
2020miket_qm19,red,frc3542,frc494,frc7056,68,51,0,24,0,0,6,15,39,0,10,None,Park,Park,NotLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,19,0,3,5,29,68
2020miket_qm2,blue,frc5509,frc5150,frc5641,30,56,0,0,0,0,0,5,5,0,10,Park,None,Park,IsLevel,0,15,None,None,Exited,0,false,false,false,false,false,Unknown,0,false,1,0,0,0,0,10,30
2020miket_qm2,red,frc5561,frc245,frc494,56,30,0,12,0,0,3,15,27,0,5,None,Park,None,NotLevel,0,15,Exited,Exited,Exited,2,false,false,false,false,false,Unknown,0,false,1,9,0,1,3,14,56
2020miket_qm20,blue,frc5509,frc5561,frc2145,89,60,0,12,0,0,3,10,22,0,50,Park,Hang,Park,IsLevel,0,3,None,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,1,14,12,0,1,64,89
2020miket_qm20,red,frc5215,frc6093,frc5538,60,89,0,0,0,0,0,15,15,0,15,Park,Park,Park,IsLevel,1,15,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,0,false,0,15,5,0,5,30,60
2020miket_qm21,blue,frc5238,frc7894,frc3568,63,40,0,6,3,0,0,10,16,0,35,Hang,Park,Park,NotLevel,0,3,Exited,None,Exited,2,false,false,true,false,false,Unknown,1,false,0,9,9,0,0,44,63
2020miket_qm21,red,frc4998,frc1322,frc6548,40,63,0,0,0,0,0,10,10,0,15,Park,Park,Park,NotLevel,1,0,Exited,None,Exited,0,false,false,true,false,false,Unknown,0,false,0,15,13,0,1,30,40
2020miket_qm22,blue,frc245,frc5067,frc5150,39,104,0,0,0,0,0,10,10,0,25,None,Hang,None,NotLevel,0,0,Exited,Exited,None,0,false,false,false,false,false,Unknown,1,false,0,4,0,0,2,29,39
2020miket_qm22,red,frc3322,frc5641,frc5527,104,39,0,22,0,1,4,15,37,0,30,Hang,Park,None,NotLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,0,37,1,6,9,67,104
2020miket_qm23,blue,frc1506,frc6081,frc5697,125,61,0,24,0,0,6,15,39,0,55,Hang,Park,Hang,NotLevel,1,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,2,false,0,31,6,3,8,86,125
2020miket_qm23,red,frc5084,frc7784,frc8368,61,125,0,0,0,0,0,10,10,0,30,Park,Hang,None,NotLevel,0,3,Exited,None,Exited,0,false,false,true,false,false,Unknown,1,false,0,18,14,0,2,48,61
2020miket_qm24,blue,frc3542,frc7491,frc4994,118,59,0,20,3,1,2,15,35,0,55,Park,Hang,Hang,NotLevel,0,3,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,2,false,1,25,0,1,11,80,118
2020miket_qm24,red,frc6091,frc2145,frc6093,59,118,0,0,0,0,0,15,15,0,15,Park,Park,Park,IsLevel,1,15,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,0,false,0,14,12,0,1,29,59
2020miket_qm25,blue,frc5538,frc6102,frc5260,69,59,0,6,3,0,0,15,21,0,30,Park,None,Hang,NotLevel,1,3,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,1,15,15,0,0,45,69
2020miket_qm25,red,frc8385,frc5215,frc6610,59,69,0,4,0,0,1,15,19,0,15,Park,Park,Park,IsLevel,1,18,Exited,Exited,Exited,0,false,false,false,false,false,Unknown,0,false,0,7,0,1,2,22,59
2020miket_qm26,blue,frc27,frc5713,frc7056,104,117,0,28,0,2,4,15,43,0,50,Hang,Park,Park,IsLevel,0,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,1,false,0,11,0,1,4,61,104
