Team,score,opponents score,adjustpoints,autocellpoints,autocellsbottom,autocellsinner,autocellsouter,autoinitlinepoints,autopoints,controlpanelpoints,endgamepoints,foulcount,foulpoints,rp,tba_numrobotshanging,techfoulcount,teleopcellpoints,teleopcellsbottom,teleopcellsinner,teleopcellsouter,teleoppoints,totalpoints,
frc6548,22.24,10.84,0.00,1.76,0.71,0.20,-0.21,5.19,6.96,0.00,7.08,0.44,6.21,0.28,0.08,-0.09,2.00,5.01,-0.13,-1.31,9.08,22.24,
frc7894,4.51,37.81,0.00,-0.72,0.22,-0.18,-0.02,0.53,-0.19,0.00,-0.01,0.14,2.63,-0.10,-0.10,0.98,2.08,-0.83,0.39,0.87,2.07,4.51,
frc2337,73.92,20.26,0.00,21.17,-0.08,3.56,-0.01,2.79,23.97,0.00,31.97,-0.13,3.47,1.67,1.02,-0.25,14.51,-0.95,0.99,6.24,46.48,73.92,
frc6093,19.66,30.43,0.00,-2.34,-0.16,-0.19,-0.22,5.76,3.42,0.00,5.40,0.18,3.85,0.13,0.04,0.08,6.99,2.16,0.43,1.76,12.39,19.66,
frc3322,67.22,15.10,0.00,16.14,0.01,1.93,1.14,4.85,20.99,0.00,16.25,0.03,4.91,1.46,0.62,-0.12,25.06,-0.08,2.40,8.97,41.31,67.22,
frc6081,29.68,23.24,0.00,7.78,0.39,-0.00,1.75,5.17,12.95,0.00,12.68,-0.12,-1.82,0.16,0.44,-0.31,5.87,0.93,0.69,1.44,18.56,29.68,
frc5612,29.74,21.40,0.00,6.48,-0.23,-0.00,1.74,4.21,10.68,0.00,5.20,0.08,8.48,0.30,0.09,-0.17,5.38,-0.40,0.47,2.19,10.58,29.74,
frc6091,23.51,30.65,0.00,1.26,0.01,0.34,-0.21,4.37,5.63,0.00,12.69,-0.24,3.27,0.02,0.26,0.28,1.91,0.18,0.66,-0.12,14.60,23.51,
frc5260,49.35,28.93,0.00,2.70,1.49,0.20,-0.37,4.70,7.40,0.00,28.07,-0.18,1.53,1.04,1.02,0.32,12.35,10.90,-0.13,0.92,40.42,49.35,
frc4998,21.47,18.82,0.00,8.06,-0.03,-0.01,2.05,4.13,12.19,0.00,6.49,0.06,0.39,0.22,0.08,0.21,2.41,1.16,0.10,0.47,8.89,21.47,
frc5641,24.59,17.82,0.00,6.97,-0.33,-0.16,2.15,5.57,12.54,0.00,-1.43,-0.07,6.05,0.73,-0.10,-0.11,7.43,0.96,1.07,1.63,6.00,24.59,
