MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,autoInitLinePoints,autoPoints,controlPanelPoints,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulCount,foulPoints,initLineRobot1,initLineRobot2,initLineRobot3,rp,shieldEnergizedRankingPoint,shieldOperationalRankingPoint,stage1Activated,stage2Activated,stage3Activated,stage3TargetColor,tba_numRobotsHanging,tba_shieldEnergizedRankingPointFromFoul,techFoulCount,teleopCellPoints,teleopCellsBottom,teleopCellsInner,teleopCellsOuter,teleopPoints,totalPoints
2020mimcc_qm1,blue,frc6567,frc7788,frc7789,16,91,0,0,0,0,0,5,5,0,10,None,Park,Park,IsLevel,4,0,None,Exited,None,0,false,false,false,false,false,Unknown,0,false,2,1,1,0,0,11,16
2020mimcc_qm1,red,frc3875,frc7226,frc7188,91,16,0,0,0,0,0,15,15,0,10,None,Park,Park,IsLevel,0,42,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,24,0,2,9,34,91
2020mimcc_qm10,blue,frc4961,frc6567,frc6190,55,41,0,0,0,0,0,10,10,0,35,Hang,Park,Park,NotLevel,0,3,Exited,None,Exited,2,false,false,false,false,false,Unknown,1,false,1,7,0,1,2,42,55
2020mimcc_qm10,red,frc135,frc5860,frc7762,41,55,0,0,0,0,0,15,15,0,10,Park,None,Park,IsLevel,1,15,Exited,Exited,Exited,0,false,false,false,false,false,Unknown,0,false,0,1,1,0,0,11,41
2020mimcc_qm11,blue,frc910,frc8398,frc1718,110,91,0,16,0,2,1,10,26,0,25,None,None,Hang,NotLevel,0,15,Exited,None,Exited,2,false,false,true,false,false,Unknown,1,false,0,44,0,0,22,69,110
2020mimcc_qm11,red,frc4680,frc5066,frc3875,91,110,0,2,1,0,0,15,17,0,35,Park,Park,Hang,NotLevel,0,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,1,false,1,39,0,7,9,74,91
2020mimcc_qm12,blue,frc772,frc302,frc5843,107,114,0,20,0,0,5,15,35,0,50,Hang,Hang,None,NotLevel,0,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,2,false,0,22,0,0,11,72,107
2020mimcc_qm12,red,frc6077,frc5424,frc7196,114,107,0,26,0,1,5,15,41,0,50,Hang,Park,Park,IsLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,0,23,0,1,10,73,114
2020mimcc_qm13,blue,frc4827,frc7197,frc7788,30,189,0,0,0,0,0,15,15,0,10,Park,None,Park,NotLevel,0,0,Exited,Exited,Exited,0,false,false,false,false,false,Unknown,0,false,0,5,5,0,0,15,30
2020mimcc_qm13,red,frc3641,frc1188,frc5436,189,30,0,48,0,2,9,15,63,0,90,Hang,Hang,Hang,IsLevel,0,0,Exited,Exited,Exited,3,false,true,true,false,false,Unknown,3,false,0,36,0,4,12,126,189
2020mimcc_qm14,blue,frc5555,frc8380,frc3875,66,113,0,10,0,1,1,15,25,0,15,Park,Park,Park,NotLevel,0,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,0,false,0,26,1,3,8,41,66
2020mimcc_qm14,red,frc217,frc4680,frc1718,113,66,0,28,0,0,7,15,43,0,10,Park,None,Park,IsLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,60,0,6,21,70,113
2020mimcc_qm15,blue,frc5502,frc4961,frc7762,103,61,0,0,0,0,0,15,15,0,65,Hang,Hang,None,IsLevel,0,15,Exited,Exited,Exited,3,false,true,false,false,false,Unknown,2,false,1,8,6,0,1,73,103
2020mimcc_qm15,red,frc6616,frc3175,frc772,61,103,0,20,0,0,5,10,30,0,10,Park,Park,None,IsLevel,0,15,None,Exited,Exited,0,false,false,false,false,false,Unknown,0,false,1,6,0,0,3,16,61
2020mimcc_qm16,blue,frc7197,frc5424,frc5114,138,104,0,32,0,0,8,15,47,0,30,None,Park,Hang,NotLevel,1,30,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,0,31,0,1,14,61,138
2020mimcc_qm16,red,frc5843,frc2834,frc7196,104,138,0,12,0,0,3,10,22,0,65,Hang,Hang,None,IsLevel,0,3,Exited,None,Exited,1,false,true,true,false,false,Unknown,2,false,2,14,0,0,7,79,104
2020mimcc_qm17,blue,frc4827,frc7188,frc7789,81,132,0,6,3,0,0,10,16,0,10,Park,None,Park,NotLevel,2,45,Exited,Exited,None,0,false,false,true,false,false,Unknown,0,false,2,10,10,0,0,20,81
2020mimcc_qm17,red,frc3539,frc910,frc6033,132,81,0,20,0,0,5,10,30,0,50,Hang,Park,Park,IsLevel,0,36,Exited,None,Exited,2,false,false,true,false,false,Unknown,1,false,3,16,0,0,8,66,132
2020mimcc_qm18,blue,frc5860,frc302,frc1188,153,15,0,26,0,1,5,15,41,0,65,None,Hang,Hang,IsLevel,0,15,Exited,Exited,Exited,3,false,true,true,false,false,Unknown,2,false,0,32,0,2,13,97,153
2020mimcc_qm18,red,frc8398,frc6190,frc3302,15,153,0,0,0,0,0,10,10,0,5,None,Park,None,IsLevel,0,0,Exited,Exited,None,0,false,false,false,false,false,Unknown,0,false,1,0,0,0,0,5,15
2020mimcc_qm19,blue,frc5436,frc6077,frc135,160,37,0,30,0,1,6,15,45,0,90,Hang,Hang,Hang,IsLevel,0,0,Exited,Exited,Exited,3,false,true,true,false,false,Unknown,3,false,0,25,0,1,11,115,160
2020mimcc_qm19,red,frc5066,frc6567,frc7226,37,160,0,4,0,0,1,15,19,0,5,None,None,Park,IsLevel,0,0,Exited,Exited,Exited,0,false,false,false,false,false,Unknown,0,false,0,13,0,1,5,18,37
2020mimcc_qm2,blue,frc3539,frc5860,frc5502,90,75,0,12,0,0,3,15,27,0,25,None,None,Hang,NotLevel,0,33,Exited,Exited,Exited,2,false,false,false,false,false,Unknown,1,false,0,5,1,0,2,30,90
2020mimcc_qm2,red,frc8380,frc5114,frc3641,75,90,0,28,0,0,7,15,43,0,10,Park,None,Park,NotLevel,1,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,0,false,2,22,0,0,11,32,75
2020mimcc_qm20,blue,frc3641,frc6033,frc5424,130,109,0,24,0,0,6,15,39,0,50,Hang,None,Hang,NotLevel,0,3,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,2,false,0,38,0,0,19,88,130
2020mimcc_qm20,red,frc1718,frc7762,frc7196,109,130,0,12,0,0,3,15,27,0,35,Park,Park,Hang,NotLevel,1,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,1,false,0,47,0,5,16,82,109
2020mimcc_qm21,blue,frc217,frc3539,frc7197,78,32,0,8,0,0,2,15,23,0,40,None,Hang,None,IsLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,0,15,3,2,3,55,78
2020mimcc_qm21,red,frc6190,frc7788,frc6616,32,78,0,0,0,0,0,10,10,0,15,Park,Park,Park,IsLevel,0,0,Exited,Exited,None,0,false,false,false,false,false,Unknown,0,false,0,7,5,0,1,22,32
2020mimcc_qm22,blue,frc8380,frc7226,frc772,51,128,0,18,0,1,3,15,33,0,10,None,Park,Park,IsLevel,0,0,Exited,Exited,Exited,0,false,false,false,false,false,Unknown,0,false,7,8,0,0,4,18,51
2020mimcc_qm22,red,frc4680,frc6567,frc7188,128,51,0,0,0,0,0,10,10,0,5,Park,None,None,IsLevel,0,105,Exited,None,Exited,2,false,false,false,false,false,Unknown,0,false,0,8,0,0,4,13,128
2020mimcc_qm23,blue,frc3875,frc7789,frc135,56,74,0,16,0,2,1,10,26,0,0,None,None,None,IsLevel,1,15,Exited,None,Exited,0,false,false,true,false,false,Unknown,0,false,0,15,5,0,5,15,56
2020mimcc_qm23,red,frc5436,frc5066,frc302,74,56,0,4,0,0,1,15,19,0,35,Hang,Park,Park,NotLevel,0,3,Exited,Exited,Exited,2,false,false,false,false,false,Unknown,1,false,1,17,0,3,4,52,74
2020mimcc_qm24,blue,frc5555,frc3302,frc6077,60,138,0,6,0,1,0,10,16,0,10,Park,None,Park,NotLevel,0,18,Exited,None,Exited,0,false,false,true,false,false,Unknown,0,false,2,16,0,0,8,26,60
2020mimcc_qm24,red,frc4827,frc5843,frc5114,138,60,0,32,2,0,7,15,47,0,25,None,None,Hang,NotLevel,1,30,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,1,36,4,0,16,61,138
2020mimcc_qm25,blue,frc5860,frc4961,frc910,63,123,0,16,0,0,4,10,26,0,30,Park,Hang,None,NotLevel,0,0,Exited,Exited,None,0,false,false,false,false,false,Unknown,1,false,1,7,0,1,2,37,63
2020mimcc_qm25,red,frc1188,frc5502,frc2834,123,63,0,16,0,2,1,10,26,0,65,None,Hang,Hang,IsLevel,0,15,Exited,Exited,None,3,false,true,true,false,false,Unknown,2,false,0,17,5,0,6,82,123
2020mimcc_qm26,blue,frc8398,frc772,frc5066,81,81,0,12,0,0,3,15,27,0,30,None,Hang,Park,NotLevel,1,0,Exited,Exited,Exited,1,false,false,true,false,false,Unknown,1,false,1,24,0,0,12,54,81
2020mimcc_qm26,red,frc8380,frc3175,frc7197,81,81,0,12,0,0,3,15,27,0,30,Hang,Park,None,NotLevel,0,18,Exited,Exited,Exited,1,false,false,true,false,false,Unknown,1,false,0,6,6,0,0,36,81
2020mimcc_qm27,blue,frc7226,frc7196,frc4680,71,104,0,12,0,0,3,15,27,0,5,None,None,Park,IsLevel,0,15,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,0,false,0,24,0,0,12,29,71
2020mimcc_qm27,red,frc5555,frc3539,frc7762,104,71,0,14,1,0,3,15,29,0,55,Park,Hang,Hang,NotLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,2,false,1,20,2,4,3,75,104
2020mimcc_qm28,blue,frc135,frc6033,frc6616,51,86,0,24,0,0,6,10,34,0,10,Park,None,Park,IsLevel,0,3,Exited,Exited,None,0,false,false,false,false,false,Unknown,0,false,0,4,0,0,2,14,51
2020mimcc_qm28,red,frc6077,frc910,frc2834,86,51,0,4,0,0,1,5,9,0,65,Hang,None,Hang,IsLevel,1,0,Exited,None,None,3,false,true,false,false,false,Unknown,2,false,0,12,0,0,6,77,86
2020mimcc_qm29,blue,frc5843,frc3875,frc3175,87,86,0,32,0,0,8,15,47,0,10,Park,Park,None,IsLevel,0,15,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,15,0,1,6,25,87
2020mimcc_qm29,red,frc5860,frc7789,frc3641,86,87,0,8,0,0,2,10,18,0,65,Hang,None,Hang,IsLevel,0,0,Exited,None,Exited,1,false,true,false,false,false,Unknown,2,false,1,3,3,0,0,68,86
2020mimcc_qm3,blue,frc6033,frc7196,frc217,15,14,0,0,0,0,0,15,15,0,0,None,None,None,IsLevel,0,0,Exited,Exited,Exited,2,false,false,false,false,false,Unknown,0,false,0,0,0,0,0,0,15
2020mimcc_qm3,red,frc8398,frc6616,frc4961,14,15,0,0,0,0,0,5,5,0,5,None,Park,None,NotLevel,0,0,None,None,Exited,0,false,false,false,false,false,Unknown,0,false,0,4,0,0,2,9,14
2020mimcc_qm30,blue,frc3302,frc217,frc4961,75,53,0,16,0,2,1,10,26,0,25,None,None,Hang,NotLevel,0,18,None,Exited,Exited,2,false,false,false,false,false,Unknown,1,false,0,6,0,0,3,31,75
2020mimcc_qm30,red,frc302,frc5502,frc6567,53,75,0,18,3,0,3,10,28,0,10,Park,Park,None,NotLevel,1,0,Exited,Exited,None,0,false,false,true,false,false,Unknown,0,false,1,15,5,0,5,25,53
2020mimcc_qm31,blue,frc1718,frc4827,frc1188,129,111,0,32,3,1,5,15,47,0,10,None,Park,Park,IsLevel,1,15,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,57,11,6,14,67,129
2020mimcc_qm31,red,frc5424,frc7188,frc5436,111,129,0,14,0,1,2,15,29,0,65,Hang,None,Hang,IsLevel,0,3,Exited,Exited,Exited,1,false,true,true,false,false,Unknown,2,false,1,14,0,0,7,79,111
2020mimcc_qm32,blue,frc135,frc8398,frc7788,45,154,0,8,0,0,2,15,23,0,10,Park,None,Park,IsLevel,0,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,0,false,2,12,4,0,4,22,45
2020mimcc_qm32,red,frc5114,frc7762,frc6190,154,45,0,24,0,0,6,15,39,0,50,Hang,Park,Park,IsLevel,0,30,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,0,35,4,3,11,85,154
2020mimcc_qm33,blue,frc4680,frc3641,frc6077,146,106,0,16,0,0,4,15,31,0,65,None,Hang,Hang,IsLevel,1,0,Exited,Exited,Exited,3,false,true,true,false,false,Unknown,2,false,0,50,0,2,22,115,146
2020mimcc_qm33,red,frc2834,frc7789,frc4961,106,146,0,14,0,1,2,5,19,0,65,Hang,None,Hang,IsLevel,0,3,None,None,Exited,1,false,true,true,false,false,Unknown,2,false,0,19,6,1,5,84,106
2020mimcc_qm34,blue,frc4827,frc6616,frc3875,111,133,0,6,3,0,0,10,16,0,65,Hang,None,Hang,IsLevel,0,0,Exited,None,Exited,1,false,true,true,false,false,Unknown,2,false,1,30,8,0,11,95,111
2020mimcc_qm34,red,frc5502,frc1718,frc7226,133,111,0,12,0,0,3,15,27,0,55,Park,Hang,Hang,NotLevel,0,15,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,2,false,0,36,3,3,12,91,133
2020mimcc_qm35,blue,frc5843,frc217,frc5860,56,77,0,16,0,2,1,15,31,0,10,None,Park,Park,IsLevel,0,3,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,0,false,0,12,0,0,6,22,56
2020mimcc_qm35,red,frc5436,frc772,frc7788,77,56,0,28,0,0,7,15,43,0,10,Park,Park,None,IsLevel,1,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,24,0,2,9,34,77
2020mimcc_qm36,blue,frc3175,frc910,frc302,44,129,0,10,0,1,1,15,25,0,5,None,None,Park,IsLevel,0,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,0,false,0,14,0,0,7,19,44
2020mimcc_qm36,red,frc7188,frc5114,frc3539,129,44,0,28,0,0,7,15,43,0,40,None,None,Hang,IsLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,0,46,0,6,14,86,129
2020mimcc_qm37,blue,frc6033,frc7197,frc6190,51,110,0,10,3,0,1,15,25,0,10,None,Park,Park,IsLevel,0,0,Exited,Exited,Exited,0,false,false,true,false,false,Unknown,0,false,1,16,3,1,5,26,51
