Team,score,opponents score,adjustpoints,autocellpoints,autocellsbottom,autocellsinner,autocellsouter,autoinitlinepoints,autopoints,controlpanelpoints,endgamepoints,foulcount,foulpoints,rp,tba_numrobotshanging,techfoulcount,teleopcellpoints,teleopcellsbottom,teleopcellsinner,teleopcellsouter,teleoppoints,totalpoints,
frc6567,17.42,33.32,0.00,-0.49,0.18,-0.11,-0.05,2.79,2.30,0.00,8.71,0.31,7.31,0.27,0.19,0.21,-0.89,0.39,-0.48,0.07,7.81,17.42,
frc7788,-5.08,42.58,0.00,2.77,-0.14,-0.29,1.20,4.67,7.43,0.00,-9.78,1.01,-4.66,-0.34,-0.49,0.16,1.93,1.54,0.24,-0.16,-7.85,-5.08,
frc7789,13.48,39.14,0.00,1.26,-0.05,0.02,0.31,2.23,3.49,0.00,8.84,0.83,2.94,-0.26,0.11,0.19,-1.80,4.24,-0.41,-2.41,7.05,13.48,
frc3875,43.66,34.11,0.00,4.51,0.23,0.48,0.29,5.23,9.74,0.00,20.76,-0.04,-1.06,0.95,0.63,0.05,14.22,0.69,1.59,4.38,34.98,43.66,
frc7226,23.34,44.78,0.00,1.21,-0.10,0.06,0.26,5.37,6.58,0.00,3.85,0.00,5.63,-0.12,0.05,0.33,7.27,-0.25,0.76,2.62,11.12,23.34,
frc7188,21.19,21.59,0.00,0.32,0.26,0.02,-0.09,4.74,5.06,0.00,2.25,0.22,12.24,0.29,-0.03,0.77,1.65,0.09,0.04,0.72,3.89,21.19,
frc4961,42.20,16.27,0.00,6.26,-0.29,0.23,1.36,3.22,9.48,0.00,25.66,-0.23,-0.66,0.84,1.00,-0.16,7.71,0.52,0.37,3.04,33.37,42.20,
frc6190,19.86,31.54,0.00,0.39,0.11,0.26,-0.34,4.87,5.26,0.00,3.09,0.15,5.59,0.12,-0.08,0.03,5.92,0.90,0.39,1.92,9.00,19.86,
frc135,30.29,28.00,0.00,4.89,-0.00,-0.01,1.24,4.22,9.10,0.00,11.67,-0.08,5.54,0.21,0.35,0.05,3.98,-0.12,-0.16,2.29,15.65,30.29,
frc5860,18.92,19.01,0.00,1.10,-0.01,0.18,0.01,5.08,6.18,0.00,10.35,-0.20,3.62,0.28,0.28,0.17,-1.23,-0.85,0.05,-0.26,9.12,18.92,
frc7762,31.20,29.76,0.00,-0.95,0.58,-0.30,-0.08,5.11,4.16,0.00,15.57,0.18,8.14,0.32,0.55,0.15,3.32,0.66,0.39,0.74,18.89,31.20,
frc910,28.45,40.77,0.00,4.18,-0.22,0.45,0.47,2.52,6.70,0.00,11.43,0.30,5.30,0.07,0.26,0.41,5.03,0.45,-0.39,2.87,16.45,28.45,
frc8398,9.50,61.23,0.00,-0.67,0.41,-0.15,-0.15,4.62,3.94,0.00,3.68,-0.11,-1.46,0.12,0.05,0.99,3.34,0.45,-0.29,1.87,7.02,9.50,
frc1718,50.90,18.97,0.00,9.49,-0.10,0.14,2.21,4.72,14.21,0.00,16.89,0.08,-2.89,1.12,0.59,-0.11,22.69,0.06,2.73,7.22,39.58,50.90,
frc4680,33.93,23.59,0.00,7.16,-0.04,-0.13,2.01,4.48,11.64,0.00,-2.26,0.16,7.62,0.39,-0.18,-0.11,16.93,0.04,1.08,6.82,14.67,33.93,
frc5066,32.51,23.63,0.00,1.07,-0.06,0.09,0.16,5.62,6.70,0.00,11.46,0.19,9.56,0.30,0.39,-0.01,4.80,-0.09,0.88,1.13,16.26,32.51,
frc772,41.28,33.03,0.00,11.44,-0.13,0.25,2.55,4.73,16.16,0.00,14.35,0.36,-0.45,0.19,0.45,0.63,11.22,-0.58,0.69,4.87,25.57,41.28,
