MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,autoInitLinePoints,autoPoints,controlPanelPoints,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulCount,foulPoints,initLineRobot1,initLineRobot2,initLineRobot3,rp,shieldEnergizedRankingPoint,shieldOperationalRankingPoint,stage1Activated,stage2Activated,stage3Activated,stage3TargetColor,tba_numRobotsHanging,tba_shieldEnergizedRankingPointFromFoul,techFoulCount,teleopCellPoints,teleopCellsBottom,teleopCellsInner,teleopCellsOuter,teleopPoints,totalPoints
2020misou_qm1,blue,frc5577,frc6013,frc3538,79,14,0,8,0,0,2,10,18,0,10,None,Park,Park,NotLevel,0,0,None,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,51,0,5,18,61,79
2020misou_qm1,red,frc8179,frc4854,frc5197,14,79,0,0,0,0,0,5,5,0,5,None,None,Park,IsLevel,0,0,Exited,None,None,0,false,false,false,false,false,Unknown,0,false,0,4,0,0,2,9,14
2020misou_qm10,blue,frc5756,frc5498,frc4840,25,20,0,0,0,0,0,15,15,0,10,None,Park,Park,IsLevel,0,0,Exited,Exited,Exited,2,false,false,false,false,false,Unknown,0,false,0,0,0,0,0,10,25
2020misou_qm10,red,frc240,frc2591,frc7716,20,25,0,0,0,0,0,10,10,0,5,Park,None,None,IsLevel,0,0,Exited,Exited,None,0,false,false,false,false,false,Unknown,0,false,0,5,0,1,1,10,20
2020misou_qm11,blue,frc5197,frc7232,frc7145,20,159,0,0,0,0,0,15,15,0,5,None,None,Park,IsLevel,0,0,Exited,Exited,Exited,0,false,false,false,false,false,Unknown,0,false,4,0,0,0,0,5,20
2020misou_qm11,red,frc5695,frc1481,frc6742,159,20,0,4,0,0,1,15,19,0,65,None,Hang,Hang,IsLevel,0,60,Exited,Exited,Exited,3,false,true,true,false,false,Unknown,2,false,0,15,3,0,6,80,159
2020misou_qm12,blue,frc5531,frc7191,frc4758,41,52,0,4,2,0,0,5,9,0,30,Park,Hang,None,NotLevel,3,0,None,None,Exited,0,false,false,false,false,false,Unknown,1,false,0,2,0,0,1,32,41
2020misou_qm12,red,frc33,frc7692,frc94,52,41,0,0,0,0,0,10,10,0,30,None,Park,Hang,NotLevel,0,9,None,Exited,Exited,2,false,false,false,false,false,Unknown,1,false,0,3,3,0,0,33,52
2020misou_qm13,blue,frc3096,frc548,frc8179,96,59,0,8,0,0,2,15,23,0,50,None,Hang,Hang,NotLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,2,false,0,23,3,0,10,73,96
2020misou_qm13,red,frc247,frc7865,frc2591,59,96,0,8,0,0,2,10,18,0,35,Hang,Park,Park,NotLevel,0,0,Exited,None,Exited,0,false,false,false,false,false,Unknown,1,false,0,6,0,0,3,41,59
2020misou_qm14,blue,frc1481,frc5756,frc240,25,41,0,4,0,0,1,10,14,0,5,None,None,Park,IsLevel,0,0,Exited,Exited,None,0,false,false,false,false,false,Unknown,0,false,0,6,0,0,3,11,25
2020misou_qm14,red,frc3414,frc835,frc4854,41,25,0,0,0,0,0,15,15,0,10,Park,None,Park,IsLevel,0,0,Exited,Exited,Exited,2,false,false,false,false,false,Unknown,0,false,0,16,0,2,5,26,41
2020misou_qm15,blue,frc5531,frc5532,frc8280,17,78,0,0,0,0,0,10,10,0,5,None,None,Park,IsLevel,0,0,None,Exited,Exited,0,false,false,false,false,false,Unknown,0,false,0,2,0,0,1,7,17
2020misou_qm15,red,frc6013,frc4130,frc7716,78,17,0,24,0,0,6,10,34,0,35,Park,Hang,Park,NotLevel,0,0,Exited,Exited,None,2,false,false,true,false,false,Unknown,1,false,0,9,0,1,3,44,78
2020misou_qm16,blue,frc4758,frc548,frc7232,147,22,0,0,0,0,0,15,15,0,45,None,Hang,Park,IsLevel,0,60,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,0,27,0,1,12,72,147
2020misou_qm16,red,frc7865,frc7856,frc4840,22,147,0,0,0,0,0,10,10,0,10,None,Park,Park,IsLevel,0,0,None,Exited,Exited,0,false,false,false,false,false,Unknown,0,false,4,2,0,0,1,12,22
2020misou_qm17,blue,frc5197,frc33,frc6742,79,29,0,12,0,0,3,15,27,0,50,None,Hang,Hang,NotLevel,0,0,Exited,Exited,Exited,2,false,false,false,false,false,Unknown,2,false,0,2,2,0,0,52,79
