Team,score,opponents score,adjustpoints,autocellpoints,autocellsbottom,autocellsinner,autocellsouter,autoinitlinepoints,autopoints,controlpanelpoints,endgamepoints,foulcount,foulpoints,rp,tba_numrobotshanging,techfoulcount,teleopcellpoints,teleopcellsbottom,teleopcellsinner,teleopcellsouter,teleoppoints,totalpoints,
frc5577,14.48,2.09,0.00,0.44,-0.05,-0.08,0.25,4.36,4.80,0.00,5.37,0.35,4.88,0.55,0.01,0.09,-0.57,-0.36,-0.22,0.23,4.79,14.48,
frc6013,25.24,9.47,0.00,7.97,-0.07,0.20,1.74,4.55,12.52,0.00,6.19,-0.10,-0.79,0.76,0.06,-0.11,7.32,1.94,0.55,1.87,13.51,25.24,
frc3538,70.12,26.66,0.00,15.26,-0.09,1.41,1.74,4.57,19.83,0.00,19.99,-0.11,-0.06,1.05,0.50,0.22,30.35,-0.66,3.16,10.76,50.34,70.12,
frc8179,24.36,29.27,0.00,0.79,0.10,0.16,-0.09,5.31,6.10,0.00,14.30,0.09,7.24,0.28,0.47,-0.07,-3.27,-0.19,-0.62,-0.61,11.03,24.36,
frc4854,15.56,18.99,0.00,1.51,-0.03,-0.05,0.47,4.49,5.99,0.00,3.22,-0.06,2.44,0.36,-0.18,0.46,3.90,-0.26,-0.28,2.50,7.12,15.56,
frc5197,-2.91,33.21,0.00,0.13,-0.08,-0.04,0.12,4.24,4.37,0.00,2.81,1.03,-10.75,-0.21,0.11,0.04,0.66,0.92,0.10,-0.28,3.47,-2.91,
frc5756,12.65,23.59,0.00,0.47,-0.07,-0.04,0.22,5.13,5.60,0.00,7.04,-0.14,-0.31,0.26,0.15,0.06,0.32,0.72,0.20,-0.50,7.36,12.65,
frc5498,13.68,23.81,0.00,2.05,0.02,-0.04,0.57,4.14,6.19,0.00,1.84,1.14,6.29,0.10,-0.07,0.23,-0.64,-0.43,-0.10,0.04,1.20,13.68,
frc4840,11.11,34.11,0.00,0.87,0.12,-0.12,0.34,4.98,5.86,0.00,2.03,-0.09,1.22,0.15,-0.06,0.66,2.00,0.50,0.16,0.51,4.03,11.11,
frc240,35.57,18.43,0.00,8.80,-0.19,0.13,2.09,4.65,13.45,0.00,16.61,-0.41,1.31,0.43,0.60,0.01,4.19,-0.81,0.75,1.37,20.81,35.57,
frc2591,12.64,19.03,0.00,0.57,0.14,0.04,0.01,4.88,5.46,0.00,4.74,-0.01,-0.55,0.02,0.01,-0.22,3.00,0.28,-0.01,1.37,7.74,12.64,
frc7716,-5.04,24.29,0.00,-0.13,-0.08,0.10,-0.14,0.14,0.00,0.00,1.52,0.09,-6.08,-0.54,-0.03,0.61,-0.49,-0.02,0.31,-0.71,1.03,-5.04,
frc7232,23.53,32.55,0.00,0.20,-0.02,-0.16,0.30,5.91,6.10,0.00,13.43,0.37,2.12,0.43,0.32,0.37,1.88,-0.34,-0.32,1.59,15.31,23.53,
frc7145,1.43,30.45,0.00,0.96,0.34,-0.04,0.12,3.03,3.99,0.00,-1.36,0.37,-1.41,0.25,-0.17,0.94,0.20,1.32,-0.15,-0.33,-1.15,1.43,
frc5695,22.44,40.23,0.00,-1.92,-0.16,-0.03,-0.35,4.87,2.95,0.00,13.44,-0.14,3.90,0.35,0.35,0.65,2.15,0.37,-0.17,1.14,15.59,22.44,
frc1481,47.84,15.90,0.00,5.22,0.15,-0.10,1.38,4.18,9.40,0.00,12.34,0.05,14.33,0.93,0.41,-0.12,11.78,0.02,0.21,5.57,24.12,47.84,
frc6742,47.84,4.99,0.00,1.85,0.65,0.09,0.01,5.16,7.01,0.00,20.27,-0.24,20.39,0.87,0.65,-0.18,0.17,0.34,-0.27,0.32,20.44,47.84,
