MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,autoInitLinePoints,autoPoints,controlPanelPoints,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulCount,foulPoints,initLineRobot1,initLineRobot2,initLineRobot3,rp,shieldEnergizedRankingPoint,shieldOperationalRankingPoint,stage1Activated,stage2Activated,stage3Activated,stage3TargetColor,tba_numRobotsHanging,tba_shieldEnergizedRankingPointFromFoul,techFoulCount,teleopCellPoints,teleopCellsBottom,teleopCellsInner,teleopCellsOuter,teleopPoints,totalPoints
2020mitvc_qm1,blue,frc5560,frc5504,frc5562,89,103,0,0,0,0,0,5,5,0,15,Park,Park,Park,IsLevel,0,60,Exited,None,None,0,false,false,true,false,false,Unknown,0,false,0,9,9,0,0,24,89
2020mitvc_qm1,red,frc3618,frc5086,frc4398,103,89,0,22,0,1,4,15,37,0,45,Park,Hang,None,IsLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,4,21,0,3,6,66,103
2020mitvc_qm10,blue,frc4983,frc8400,frc5525,26,56,0,0,0,0,0,10,10,0,15,Park,Park,Park,IsLevel,0,0,Exited,Exited,None,0,false,false,false,false,false,Unknown,0,false,0,1,1,0,0,16,26
2020mitvc_qm10,red,frc6097,frc6074,frc5504,56,26,0,12,0,0,3,15,27,0,10,Park,None,Park,NotLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,0,false,0,19,3,0,8,29,56
2020mitvc_qm11,blue,frc3357,frc6122,frc3618,117,68,0,12,0,0,3,15,27,0,45,Hang,Park,None,IsLevel,0,15,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,1,false,0,30,0,0,15,75,117
2020mitvc_qm11,red,frc7244,frc7855,frc5110,68,117,0,18,3,0,3,10,28,0,30,Hang,None,Park,NotLevel,0,0,Exited,None,Exited,0,false,false,true,false,false,Unknown,1,false,1,10,1,1,3,40,68
2020mitvc_qm12,blue,frc4376,frc6121,frc4377,103,101,0,12,0,0,3,10,22,0,50,Park,Hang,Park,IsLevel,0,21,None,Exited,Exited,2,false,false,false,false,false,Unknown,1,false,0,10,0,0,5,60,103
2020mitvc_qm12,red,frc5086,frc6087,frc7790,101,103,0,18,3,0,3,10,28,0,50,Hang,Hang,None,NotLevel,2,0,Exited,Exited,None,0,false,false,true,false,false,Unknown,2,false,1,23,13,0,5,73,101
2020mitvc_qm13,blue,frc6599,frc1596,frc3688,55,108,0,12,0,0,3,5,17,0,30,None,Park,Hang,NotLevel,0,0,None,None,Exited,0,false,false,false,false,false,Unknown,1,false,0,8,0,0,4,38,55
2020mitvc_qm13,red,frc7160,frc1711,frc5560,108,55,0,20,0,0,5,15,35,0,50,Hang,None,Hang,NotLevel,0,0,Exited,Exited,Exited,2,false,false,true,false,false,Unknown,2,false,0,23,5,0,9,73,108
