Team,score,opponents score,adjustpoints,autocellpoints,autocellsbottom,autocellsinner,autocellsouter,autoinitlinepoints,autopoints,controlpanelpoints,endgamepoints,foulcount,foulpoints,rp,tba_numrobotshanging,techfoulcount,teleopcellpoints,teleopcellsbottom,teleopcellsinner,teleopcellsouter,teleoppoints,totalpoints,
frc5560,35.10,25.55,0.00,2.09,0.21,0.25,0.04,4.00,6.09,0.00,11.90,-0.08,9.32,0.54,0.22,-0.18,7.79,4.94,0.53,0.63,19.69,35.10,
frc5504,15.11,8.54,0.00,0.77,-0.25,-0.19,0.60,3.48,4.25,0.00,5.47,-0.19,4.87,0.13,0.16,-0.00,0.52,0.89,-0.25,0.19,5.99,15.11,
frc5562,2.27,54.56,0.00,-1.01,0.15,-0.05,-0.26,3.98,2.96,0.00,-4.12,0.10,1.58,-0.71,-0.24,0.24,1.85,1.35,-0.21,0.56,-2.27,2.27,
frc3618,25.87,29.44,0.00,7.83,-0.01,0.08,1.84,5.44,13.27,0.00,8.90,0.20,-1.20,0.33,0.11,0.71,4.89,1.44,-0.14,1.94,13.79,25.87,
frc5086,47.89,34.88,0.00,15.39,0.25,0.28,3.30,4.78,20.17,0.00,13.89,-0.05,1.06,0.80,0.41,0.54,12.77,0.27,1.42,4.12,26.66,47.89,
frc4398,19.78,39.16,0.00,-0.20,0.21,-0.05,-0.08,5.02,4.82,0.00,10.96,0.46,4.12,0.15,0.18,0.18,-0.11,0.87,0.11,-0.66,10.85,19.78,
frc4983,22.58,23.29,0.00,-1.52,0.08,0.03,-0.46,5.26,3.74,0.00,12.55,-0.00,2.12,0.49,0.28,0.26,4.17,-0.42,0.43,1.65,16.72,22.58,
frc8400,25.82,19.94,0.00,-0.31,-0.12,0.06,-0.10,4.27,3.97,0.00,9.83,0.12,9.20,0.69,0.09,-0.17,2.82,1.77,0.18,0.26,12.65,25.82,
frc5525,1.61,28.13,0.00,-0.10,-0.17,0.07,-0.05,1.34,1.24,0.00,-3.33,0.04,1.97,-0.42,-0.20,0.22,1.74,-0.34,-0.18,1.31,-1.60,1.61,
frc6097,42.23,21.94,0.00,10.38,0.18,0.31,2.05,6.06,16.44,0.00,9.15,-0.12,2.38,0.35,0.16,-0.22,14.26,1.28,1.48,4.28,23.41,42.23,
frc6074,14.96,32.78,0.00,0.26,0.16,-0.11,0.14,5.41,5.67,0.00,4.40,-0.02,-0.50,0.18,-0.01,-0.09,5.38,1.24,-0.21,2.38,9.78,14.96,
frc3357,57.68,6.00,0.00,4.79,-0.01,0.35,0.68,5.49,10.28,0.00,27.39,-0.17,11.46,1.05,0.92,-0.13,8.55,-0.01,-0.03,4.33,35.94,57.68,
frc6122,20.07,38.27,0.00,5.29,-0.19,0.28,1.00,4.96,10.25,0.00,-4.54,0.12,2.90,0.07,-0.29,0.22,11.46,-1.08,0.07,6.17,6.92,20.07,
frc7244,40.48,46.22,0.00,10.43,0.12,0.16,2.31,5.02,15.45,0.00,17.91,-0.10,0.95,0.58,0.73,0.09,6.17,-0.67,0.51,2.65,24.08,40.48,
frc7855,3.99,39.45,0.00,-0.55,0.04,0.04,-0.22,-0.02,-0.57,0.00,-0.42,0.04,-2.28,-0.32,-0.13,0.22,7.25,3.22,0.21,1.70,6.83,3.99,
frc5110,20.54,28.82,0.00,5.10,2.05,0.03,0.21,5.16,10.27,0.00,9.12,0.24,-2.39,0.12,0.20,0.72,3.54,2.55,-0.15,0.73,12.66,20.54,
frc4376,14.84,29.66,0.00,1.67,0.02,-0.06,0.50,5.34,7.01,0.00,-0.16,0.10,-1.35,0.08,-0.09,-0.20,9.34,-0.13,0.48,4.01,9.18,14.84,
