MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCargoLowerBlue,autoCargoLowerFar,autoCargoLowerNear,autoCargoLowerRed,autoCargoPoints,autoCargoTotal,autoCargoUpperBlue,autoCargoUpperFar,autoCargoUpperNear,autoCargoUpperRed,autoPoints,autoTaxiPoints,cargoBonusRankingPoint,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,hangarBonusRankingPoint,matchCargoTotal,quintetAchieved,rp,taxiRobot1,taxiRobot2,taxiRobot3,techFoulCount,teleopCargoLowerBlue,teleopCargoLowerFar,teleopCargoLowerNear,teleopCargoLowerRed,teleopCargoPoints,teleopCargoTotal,teleopCargoUpperBlue,teleopCargoUpperFar,teleopCargoUpperNear,teleopCargoUpperRed,teleopPoints,totalPoints
2022midet_qm1,blue,frc5642,frc4851,frc5619,2,40,0,0,0,0,0,0,0,0,0,0,0,2,2,false,0,None,None,None,0,0,false,0,false,0,No,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,2
2022midet_qm1,red,frc5090,frc2224,frc3414,40,2,0,0,0,0,0,4,1,0,0,1,0,6,2,false,12,Mid,None,Mid,0,0,false,12,false,2,Yes,No,No,0,0,0,0,0,22,11,2,3,5,1,34,40
2022midet_qm10,blue,frc5577,frc7865,frc5901,14,32,0,0,0,0,0,0,0,0,0,0,0,4,4,false,6,None,None,Mid,3,4,false,0,false,0,Yes,No,Yes,0,0,0,0,0,0,0,0,0,0,0,6,14
2022midet_qm10,red,frc33,frc3302,frc6616,32,14,0,0,0,0,0,8,2,0,1,1,0,12,4,false,0,None,None,None,1,12,false,6,false,2,No,Yes,Yes,0,0,0,0,0,8,4,1,1,1,1,8,32
2022midet_qm11,blue,frc4851,frc7145,frc3096,15,0,0,0,1,0,0,2,1,0,0,0,0,8,6,false,0,None,None,None,0,4,false,4,false,2,Yes,Yes,Yes,0,0,1,1,1,3,3,0,0,0,0,3,15
2022midet_qm11,red,frc2224,frc7196,frc5197,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,None,None,None,1,0,false,0,false,0,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0
2022midet_qm12,blue,frc8352,frc6096,frc6532,16,11,0,0,0,0,1,2,1,0,0,0,0,6,4,false,6,Mid,None,None,1,0,false,5,false,2,Yes,No,Yes,0,1,1,1,1,4,4,0,0,0,0,10,16
2022midet_qm12,red,frc5478,frc5217,frc2048,11,16,0,0,0,0,1,2,1,0,0,0,0,6,4,false,0,None,None,None,0,4,false,2,false,0,Yes,No,Yes,0,0,0,0,1,1,1,0,0,0,0,1,11
2022midet_qm13,blue,frc5065,frc5532,frc4680,4,12,0,0,0,0,1,2,1,0,0,0,0,2,0,false,0,None,None,None,0,0,false,2,false,0,No,No,No,0,0,0,0,0,2,1,0,1,0,0,2,4
2022midet_qm13,red,frc7191,frc5756,frc2673,12,4,0,0,0,1,0,2,1,0,0,0,0,4,2,false,4,None,None,Low,0,0,false,5,false,2,No,No,Yes,0,1,0,2,1,4,4,0,0,0,0,8,12
