Team,score,opponents score,adjustpoints,autocargolowerblue,autocargolowerfar,autocargolowernear,autocargolowerred,autocargopoints,autocargototal,autocargoupperblue,autocargoupperfar,autocargouppernear,autocargoupperred,autopoints,autotaxipoints,endgamepoints,foulcount,foulpoints,matchcargototal,rp,techfoulcount,teleopcargolowerblue,teleopcargolowerfar,teleopcargolowernear,teleopcargolowerred,teleopcargopoints,teleopcargototal,teleopcargoupperblue,teleopcargoupperfar,teleopcargouppernear,teleopcargoupperred,teleoppoints,totalpoints,
frc5642,-1.42,14.69,0.00,0.11,-0.02,-0.09,0.02,-0.47,-0.11,0.04,-0.03,-0.12,-0.01,-0.99,-0.52,-0.44,0.03,1.07,-0.71,-0.32,0.00,-0.11,0.00,0.08,-0.09,-1.07,-0.60,-0.10,-0.09,-0.26,-0.02,-1.50,-1.42,
frc4851,4.94,10.13,0.00,0.16,0.07,0.07,0.04,0.62,0.32,-0.06,-0.06,0.11,-0.00,2.39,1.78,-1.17,0.09,3.01,0.65,0.15,-0.03,-0.01,0.18,0.05,-0.24,0.71,0.33,-0.06,0.03,0.03,0.35,-0.46,4.94,
frc5619,4.09,3.55,0.00,0.07,0.14,0.14,-0.00,0.82,0.39,-0.03,0.07,-0.01,0.02,2.79,1.97,-0.65,0.01,0.63,1.11,0.14,-0.06,-0.25,-0.05,0.01,0.33,1.32,0.72,-0.07,0.39,0.53,-0.17,0.67,4.09,
frc5090,15.20,2.95,0.00,-0.12,0.10,0.04,-0.11,2.09,0.50,-0.10,0.27,0.14,0.28,3.85,1.76,3.95,0.10,0.07,4.48,0.63,0.03,-0.08,0.33,0.27,0.00,7.33,3.98,0.36,1.21,0.86,1.03,11.28,15.20,
frc2224,3.17,16.56,0.00,0.03,-0.00,0.06,-0.08,-0.18,-0.03,-0.07,-0.06,0.14,-0.05,0.90,1.08,-0.35,0.10,0.71,1.27,-0.23,-0.05,0.32,-0.04,-0.13,0.51,1.91,1.31,-0.15,0.31,0.67,-0.18,1.56,3.17,
frc3414,22.77,3.09,0.00,-0.09,-0.05,0.01,-0.05,4.30,1.00,0.52,0.23,0.36,0.06,5.73,1.43,5.42,0.41,-1.43,7.94,1.17,0.02,0.08,0.33,0.28,0.07,13.05,6.95,2.05,1.10,1.51,1.52,18.47,22.77,
frc5577,10.91,6.21,0.00,0.05,-0.05,-0.03,0.07,0.22,0.10,-0.01,-0.01,0.16,-0.08,1.78,1.56,4.76,0.17,2.03,1.14,0.69,-0.03,-0.24,-0.04,-0.10,0.03,2.34,1.04,0.65,0.32,0.11,0.32,7.10,10.91,
frc7865,2.39,6.60,0.00,-0.16,0.02,-0.02,-0.06,0.39,-0.01,0.11,-0.01,-0.09,0.19,1.36,0.97,0.31,0.23,1.31,-0.30,0.29,0.08,0.18,0.21,-0.24,-0.12,-0.59,-0.29,-0.06,0.19,-0.38,-0.07,-0.28,2.39,
frc5901,5.75,8.86,0.00,-0.04,0.01,0.13,-0.02,1.89,0.51,0.10,-0.06,0.14,0.26,3.98,2.09,-0.09,0.33,-0.78,1.70,0.07,-0.04,-0.22,0.12,-0.00,-0.15,2.64,1.18,0.09,0.37,0.50,0.49,2.55,5.75,
frc33,28.31,1.90,0.00,-0.02,-0.04,0.01,0.00,8.40,2.09,0.62,0.75,0.25,0.50,10.52,2.13,5.67,0.29,0.60,9.12,1.61,-0.08,1.05,0.55,0.51,0.37,11.52,7.04,0.44,1.31,1.25,1.56,17.19,28.31,
frc3302,2.96,11.38,0.00,0.15,0.09,-0.00,0.23,1.09,0.53,-0.02,0.16,-0.04,-0.04,2.49,1.40,0.02,0.27,0.18,1.24,-0.13,0.03,0.28,-0.22,0.45,0.52,0.28,0.72,-0.22,0.09,-0.05,-0.14,0.29,2.96,
frc6616,4.07,6.68,0.00,0.25,-0.09,-0.02,-0.03,-0.94,-0.16,-0.06,-0.04,-0.02,-0.16,-0.21,0.73,3.34,-0.03,1.87,-0.27,0.38,-0.02,0.01,0.29,-0.04,0.34,-0.94,-0.11,-0.32,-0.06,-0.37,0.05,2.41,4.07,
frc7145,5.56,6.54,0.00,0.16,0.09,-0.12,-0.10,-0.17,-0.00,0.13,0.03,-0.03,-0.16,1.49,1.66,0.18,0.25,2.13,0.88,0.19,-0.00,-0.08,-0.02,-0.05,0.02,1.76,0.89,0.48,0.14,0.09,0.30,1.93,5.56,
frc3096,9.21,8.38,0.00,0.21,0.27,-0.06,0.16,1.47,0.58,0.12,-0.05,-0.12,0.05,3.33,1.86,2.95,-0.17,1.28,2.83,0.17,0.08,0.68,1.04,1.14,0.34,1.65,2.25,-0.40,-0.16,0.06,-0.46,4.60,9.21,
frc7196,-1.28,14.14,0.00,-0.01,-0.01,-0.15,-0.03,-0.93,-0.33,0.05,-0.02,-0.02,-0.12,-0.89,0.04,-0.50,-0.03,-0.55,-0.04,-0.44,-0.06,0.07,0.05,0.07,-0.37,0.66,0.29,0.00,0.30,0.03,0.13,0.16,-1.28,
frc5197,5.24,6.51,0.00,-0.08,0.11,0.04,0.21,0.82,0.35,-0.03,0.13,0.01,-0.04,1.33,0.51,3.05,0.41,-0.11,1.09,0.34,0.15,0.26,-0.16,0.05,0.34,0.96,0.74,0.11,-0.09,0.27,-0.03,4.01,5.24,
frc8352,14.31,-2.21,0.00,-0.04,-0.02,0.13,0.03,2.71,0.74,0.10,0.15,0.17,0.23,5.13,2.42,7.10,0.48,-0.87,2.16,1.31,-0.07,-0.24,-0.08,0.17,-0.10,2.96,1.42,0.42,0.59,0.42,0.23,10.06,14.31,
frc6096,-0.01,2.51,0.00,0.20,0.17,0.05,0.10,0.87,0.50,-0.01,-0.07,0.06,0.00,1.12,0.25,-0.61,0.10,-1.10,0.57,0.11,-0.05,-0.39,-0.02,0.04,-0.20,0.59,0.07,0.36,0.14,0.00,0.13,-0.02,-0.01,
frc6532,10.58,11.70,0.00,0.53,0.02,0.03,0.04,1.35,0.56,-0.01,-0.05,0.01,-0.01,3.20,1.85,1.24,0.16,0.35,5.34,0.76,0.42,0.97,1.00,1.14,1.27,5.79,4.78,0.06,0.19,0.14,0.01,7.03,10.58,
frc5478,6.06,11.66,0.00,-0.09,0.35,0.20,0.31,2.29,0.95,0.13,0.05,-0.06,0.07,3.63,1.34,1.70,0.09,0.23,1.74,0.16,0.02,0.07,0.21,0.09,0.74,0.49,0.79,-0.21,-0.25,0.13,-0.00,2.19,6.06,
