MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCargoLowerBlue,autoCargoLowerFar,autoCargoLowerNear,autoCargoLowerRed,autoCargoPoints,autoCargoTotal,autoCargoUpperBlue,autoCargoUpperFar,autoCargoUpperNear,autoCargoUpperRed,autoPoints,autoTaxiPoints,cargoBonusRankingPoint,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,hangarBonusRankingPoint,matchCargoTotal,quintetAchieved,rp,taxiRobot1,taxiRobot2,taxiRobot3,techFoulCount,teleopCargoLowerBlue,teleopCargoLowerFar,teleopCargoLowerNear,teleopCargoLowerRed,teleopCargoPoints,teleopCargoTotal,teleopCargoUpperBlue,teleopCargoUpperFar,teleopCargoUpperNear,teleopCargoUpperRed,teleopPoints,totalPoints
2022mifor_qm1,blue,frc1918,frc1023,frc1711,64,17,0,0,0,0,1,10,3,2,0,0,0,14,4,true,21,Traversal,None,Mid,1,0,true,21,false,4,No,Yes,Yes,0,3,2,2,0,29,18,1,2,6,2,50,64
2022mifor_qm1,red,frc7289,frc7911,frc5424,17,64,0,0,0,0,1,2,1,0,0,0,0,4,2,false,6,None,None,Mid,0,4,false,4,false,0,Yes,No,No,0,1,2,0,0,3,3,0,0,0,0,9,17
2022mifor_qm10,blue,frc5256,frc6121,frc5152,35,49,0,0,0,0,2,4,2,0,0,0,0,8,4,false,21,Mid,None,Traversal,1,0,true,7,false,1,Yes,No,Yes,0,1,1,2,0,6,5,0,1,0,0,27,35
2022mifor_qm10,red,frc7234,frc5162,frc1711,49,35,0,1,0,2,0,6,3,0,0,0,0,12,6,true,15,None,None,Traversal,0,4,false,21,false,3,Yes,Yes,Yes,0,5,3,7,3,18,18,0,0,0,0,33,49
2022mifor_qm11,blue,frc8397,frc8832,frc7244,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,None,None,None,1,0,false,1,false,0,No,No,No,0,0,0,0,0,2,1,0,0,0,1,2,2
2022mifor_qm11,red,frc1023,frc3357,frc3603,74,2,0,1,2,0,0,18,6,0,1,1,1,24,6,true,4,None,None,Low,0,4,false,29,true,3,Yes,Yes,Yes,0,1,0,3,0,42,23,5,5,7,2,46,74
2022mifor_qm12,blue,frc1918,frc8612,frc2075,79,33,0,0,0,0,0,24,6,1,1,2,2,28,4,true,21,Traversal,None,Mid,0,0,true,21,true,4,Yes,No,Yes,0,0,0,0,0,30,15,4,2,6,3,51,79
2022mifor_qm12,red,frc7054,frc3234,frc6581,33,79,0,0,0,0,0,8,2,0,1,0,1,12,4,false,0,None,None,None,0,0,false,14,false,0,No,Yes,Yes,0,1,0,0,2,21,12,3,2,1,3,21,33
2022mifor_qm13,blue,frc5162,frc4004,frc8423,15,27,0,0,0,1,1,4,2,0,0,0,0,10,6,false,0,None,None,None,0,0,false,7,false,0,Yes,Yes,Yes,0,1,1,2,1,5,5,0,0,0,0,5,15
2022mifor_qm13,red,frc6121,frc6561,frc6081,27,15,0,2,0,0,0,4,2,0,0,0,0,6,2,false,6,None,None,Mid,0,0,false,17,false,2,Yes,No,No,0,3,4,1,7,15,15,0,0,0,0,21,27
2022mifor_qm14,blue,frc1023,frc7289,frc7226,66,29,0,0,0,0,0,8,2,1,0,0,1,12,4,true,16,Low,Mid,Mid,0,0,true,21,false,4,Yes,No,Yes,0,0,0,0,0,38,19,5,5,5,4,54,66
2022mifor_qm14,red,frc5256,frc8397,frc7056,29,66,0,1,0,0,2,6,3,0,0,0,0,8,2,false,12,Mid,None,Mid,0,0,false,12,false,0,Yes,No,No,0,1,3,1,4,9,9,0,0,0,0,21,29
2022mifor_qm15,blue,frc5704,frc7160,frc7911,24,39,0,0,0,0,0,4,1,0,1,0,0,8,4,false,10,None,High,None,0,4,false,2,false,0,Yes,Yes,No,0,0,0,0,0,2,1,1,0,0,0,12,24
2022mifor_qm15,red,frc5152,frc8832,frc6112,39,24,0,0,0,1,0,6,2,1,0,0,0,10,4,false,25,High,None,Traversal,1,0,true,4,false,3,Yes,Yes,No,0,0,0,0,0,4,2,0,1,0,1,29,39
2022mifor_qm16,blue,frc7054,frc3603,frc5086,56,41,0,0,0,0,0,8,2,0,0,1,1,14,6,true,6,None,Mid,None,0,0,false,20,false,3,Yes,Yes,Yes,0,0,0,0,0,36,18,4,1,9,4,42,56
2022mifor_qm16,red,frc5424,frc6122,frc1711,41,56,0,0,1,0,0,2,1,0,0,0,0,8,6,false,16,High,None,Mid,0,0,true,14,false,1,Yes,Yes,Yes,0,1,1,0,7,17,13,2,1,0,1,33,41
2022mifor_qm17,blue,frc3357,frc7818,frc8612,59,30,0,0,0,0,0,8,2,1,0,0,1,12,4,false,21,None,Mid,Traversal,0,0,true,15,false,3,Yes,Yes,No,0,0,0,0,0,26,13,3,5,2,3,47,59
2022mifor_qm17,red,frc7234,frc7244,frc3572,30,59,0,1,0,0,0,2,1,0,0,0,0,8,6,false,16,Mid,None,High,0,0,true,6,false,1,Yes,Yes,Yes,0,0,0,4,0,6,5,0,1,0,0,22,30
2022mifor_qm18,blue,frc1918,frc5162,frc6112,54,84,0,1,0,0,1,8,3,0,1,0,0,14,6,false,30,Traversal,None,Traversal,0,0,true,9,false,1,Yes,Yes,Yes,0,0,0,1,1,10,6,3,0,0,1,40,54
2022mifor_qm18,red,frc7056,frc2075,frc7160,84,54,0,0,0,1,0,18,5,1,0,0,3,24,6,true,15,None,None,Traversal,0,0,false,32,true,3,Yes,Yes,Yes,0,4,2,1,2,45,27,5,2,8,3,60,84
2022mifor_qm19,blue,frc3234,frc5086,frc6121,43,22,0,1,0,0,0,10,3,1,1,0,0,12,2,false,10,None,High,None,0,0,false,19,false,2,Yes,No,No,0,2,5,2,2,21,16,0,0,2,3,31,43
2022mifor_qm19,red,frc6581,frc1023,frc8397,22,43,0,0,0,0,0,4,1,0,0,1,0,10,6,false,6,None,Mid,None,0,0,false,4,false,0,Yes,Yes,Yes,0,0,0,0,0,6,3,0,0,2,1,12,22
