Team,score,opponents score,adjustpoints,autocargolowerblue,autocargolowerfar,autocargolowernear,autocargolowerred,autocargopoints,autocargototal,autocargoupperblue,autocargoupperfar,autocargouppernear,autocargoupperred,autopoints,autotaxipoints,endgamepoints,foulcount,foulpoints,matchcargototal,rp,techfoulcount,teleopcargolowerblue,teleopcargolowerfar,teleopcargolowernear,teleopcargolowerred,teleopcargopoints,teleopcargototal,teleopcargoupperblue,teleopcargoupperfar,teleopcargouppernear,teleopcargoupperred,teleoppoints,totalpoints,
frc1918,29.82,12.40,0.00,0.06,-0.09,-0.10,0.30,3.83,0.95,0.35,0.22,0.03,0.19,5.53,1.70,12.88,0.12,-0.72,7.59,1.67,0.00,0.23,0.36,0.06,0.32,12.13,6.64,0.97,0.47,2.42,1.81,25.01,29.82,
frc1023,25.05,7.75,0.00,0.16,0.10,-0.15,-0.12,3.89,0.99,0.36,0.02,0.53,0.10,5.77,1.89,2.73,0.05,0.80,8.42,1.19,0.00,-0.04,-0.13,0.10,-0.77,15.75,7.43,1.98,1.80,2.89,1.61,18.48,25.05,
frc1711,26.90,13.48,0.00,-0.00,0.35,0.48,-0.00,2.22,0.99,0.01,0.14,-0.09,0.10,4.08,1.87,13.07,0.26,-0.25,10.17,1.48,0.00,2.25,1.64,2.12,2.41,10.00,9.19,-0.15,0.34,0.78,-0.19,23.07,26.90,
frc7289,12.63,18.49,0.00,0.00,0.20,0.05,-0.10,1.35,0.43,0.24,-0.05,0.20,-0.11,1.78,0.43,6.38,-0.01,0.45,3.47,0.61,0.00,-0.18,0.86,0.44,0.96,4.02,3.04,-0.11,0.41,0.60,0.04,10.40,12.63,
frc7911,0.73,20.06,0.00,0.06,-0.21,0.00,0.10,-0.25,-0.07,-0.04,-0.11,0.06,0.06,0.50,0.75,-0.86,0.17,0.87,0.51,-0.37,0.00,0.40,0.65,0.02,-0.08,0.21,0.58,0.85,-0.40,-0.52,-0.34,-0.65,0.73,
frc5424,9.75,8.90,0.00,0.11,0.19,-0.05,0.36,2.26,0.87,-0.03,0.12,0.12,0.04,4.00,1.74,4.16,0.23,0.20,2.88,0.20,0.00,0.08,0.35,0.61,1.60,1.39,2.02,-0.15,0.03,-0.34,-0.17,5.55,9.75,
frc5256,4.95,14.43,0.00,0.21,-0.05,-0.13,0.24,0.04,0.18,0.17,-0.09,-0.11,-0.05,0.31,0.26,4.42,0.08,-0.83,0.64,0.20,0.00,0.14,-0.11,-0.22,0.12,1.06,0.46,0.01,0.69,-0.51,0.35,5.48,4.95,
frc6121,12.69,18.58,0.00,0.28,0.08,0.04,0.25,1.81,0.79,0.08,0.18,-0.15,0.03,2.97,1.16,3.26,0.40,-0.54,7.52,0.15,0.00,1.21,1.36,1.70,2.23,7.00,6.73,-0.15,-0.29,0.69,-0.02,10.27,12.69,
frc5152,13.42,19.94,0.00,-0.08,-0.03,0.53,0.25,1.00,0.59,0.19,-0.03,-0.34,0.10,3.44,2.44,9.26,0.44,-0.50,2.19,0.75,0.00,0.39,0.94,0.22,0.45,1.22,1.60,-0.39,-0.15,-0.05,0.21,10.48,13.42,
frc7234,12.67,16.09,0.00,0.25,0.33,0.10,0.12,2.40,1.03,-0.03,0.04,0.22,-0.01,3.90,1.50,4.23,0.42,0.78,6.27,0.71,0.00,2.00,0.59,2.31,1.86,3.76,5.23,-0.38,-0.21,-0.29,-0.65,7.99,12.67,
frc5162,8.28,19.60,0.00,0.20,0.36,0.25,0.33,1.10,0.84,-0.09,-0.06,0.03,-0.17,3.25,2.14,0.20,-0.15,-0.21,4.97,-0.12,0.00,0.40,0.61,1.46,0.75,5.04,4.13,0.33,-0.19,0.29,0.49,5.24,8.28,
frc8397,0.04,15.61,0.00,-0.05,-0.02,0.07,0.19,0.02,0.11,0.04,-0.07,-0.21,0.17,-0.15,-0.17,0.16,0.21,0.09,0.68,0.18,0.00,0.67,0.61,-0.01,-0.04,-0.06,0.57,-0.42,-0.24,-0.54,0.54,0.10,0.04,
frc8832,4.34,7.33,0.00,0.02,-0.07,0.05,0.16,2.04,0.62,0.06,0.07,0.21,0.11,2.72,0.68,1.29,0.22,1.16,0.52,0.00,0.00,-0.04,0.12,0.62,-0.02,-0.83,-0.10,-0.50,-0.21,-0.12,0.04,0.46,4.34,
frc7244,12.15,11.64,0.00,0.03,-0.08,-0.12,0.02,0.20,-0.03,-0.06,0.28,0.09,-0.19,2.09,1.89,2.77,0.03,-0.29,3.68,0.52,0.00,-0.13,-0.29,0.19,0.06,7.58,3.71,0.97,0.66,1.50,0.74,10.35,12.15,
frc3357,47.73,9.84,0.00,-0.08,0.12,-0.03,-0.03,9.02,2.26,0.60,0.90,0.41,0.36,10.95,1.93,12.69,0.17,2.62,13.47,2.10,0.00,0.00,0.16,0.63,0.18,21.47,11.21,2.80,2.31,2.59,2.54,34.16,47.73,
frc3603,23.16,12.52,0.00,0.34,0.15,-0.07,-0.11,3.28,0.98,0.13,0.05,0.24,0.26,5.55,2.27,3.63,0.16,0.77,7.74,0.90,0.00,-0.30,-0.20,0.29,0.53,13.21,6.76,1.35,1.39,2.56,1.13,16.83,23.16,
frc8612,2.27,9.84,0.00,-0.05,0.10,0.06,-0.10,-0.35,-0.07,0.02,-0.10,-0.09,0.09,0.24,0.59,2.19,0.38,0.05,-0.11,-0.13,0.00,0.29,-0.19,0.03,0.03,-0.21,-0.05,0.40,0.27,-0.40,-0.48,1.98,2.27,
