MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCargoLowerBlue,autoCargoLowerFar,autoCargoLowerNear,autoCargoLowerRed,autoCargoPoints,autoCargoTotal,autoCargoUpperBlue,autoCargoUpperFar,autoCargoUpperNear,autoCargoUpperRed,autoPoints,autoTaxiPoints,cargoBonusRankingPoint,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,hangarBonusRankingPoint,matchCargoTotal,quintetAchieved,rp,taxiRobot1,taxiRobot2,taxiRobot3,techFoulCount,teleopCargoLowerBlue,teleopCargoLowerFar,teleopCargoLowerNear,teleopCargoLowerRed,teleopCargoPoints,teleopCargoTotal,teleopCargoUpperBlue,teleopCargoUpperFar,teleopCargoUpperNear,teleopCargoUpperRed,teleopPoints,totalPoints
2022miket_qm1,blue,frc5641,frc5538,frc3568,23,13,0,1,0,0,0,2,1,0,0,0,0,6,4,false,6,None,None,Mid,0,0,false,12,false,2,Yes,No,Yes,0,3,2,5,1,11,11,0,0,0,0,17,23
2022miket_qm1,red,frc6067,frc1506,frc6091,13,23,0,0,0,1,0,2,1,0,0,0,0,8,6,false,0,None,None,None,0,0,false,6,false,0,Yes,Yes,Yes,0,1,1,0,3,5,5,0,0,0,0,5,13
2022miket_qm10,blue,frc5084,frc815,frc5234,50,18,0,2,1,0,0,10,4,0,0,0,1,16,6,true,15,Traversal,None,None,1,0,false,23,false,3,Yes,Yes,Yes,0,3,5,6,5,19,19,0,0,0,0,34,50
2022miket_qm10,red,frc3568,frc2145,frc8193,18,50,0,0,0,0,1,6,2,1,0,0,0,10,4,false,0,None,None,None,0,4,false,6,false,0,Yes,No,Yes,0,0,0,1,3,4,4,0,0,0,0,4,18
2022miket_qm11,blue,frc5561,frc494,frc5114,88,12,0,0,0,0,1,18,5,2,0,1,1,24,6,true,36,Traversal,Traversal,Mid,0,0,true,19,true,4,Yes,Yes,Yes,0,0,0,0,0,28,14,2,4,4,4,64,88
2022miket_qm11,red,frc6610,frc8774,frc6067,12,88,0,0,1,0,0,2,1,0,0,0,0,4,2,false,6,None,None,Mid,0,0,false,3,false,0,Yes,No,No,0,0,1,1,0,2,2,0,0,0,0,8,12
2022miket_qm12,blue,frc4994,frc5260,frc5166,62,21,0,0,1,1,0,12,4,2,0,0,0,16,4,false,27,Traversal,Mid,Mid,0,0,true,17,false,3,Yes,No,Yes,0,2,2,2,1,19,13,1,1,2,2,46,62
2022miket_qm12,red,frc1506,frc4998,frc8385,21,62,0,0,0,0,0,0,0,0,0,0,0,2,2,false,6,Mid,None,None,0,0,false,7,false,0,No,No,Yes,0,0,1,0,0,13,7,0,3,2,1,19,21
2022miket_qm13,blue,frc8767,frc8193,frc3542,29,13,0,0,0,0,1,6,2,0,0,1,0,8,2,false,4,None,Low,None,0,0,false,15,false,2,No,Yes,No,0,4,1,2,2,17,13,1,1,2,0,21,29
2022miket_qm13,red,frc5641,frc5247,frc6091,13,29,0,0,0,0,0,0,0,0,0,0,0,4,4,false,6,None,Mid,None,0,0,false,3,false,0,Yes,No,Yes,0,0,0,1,2,3,3,0,0,0,0,9,13
