Team,score,opponents score,adjustpoints,autocargolowerblue,autocargolowerfar,autocargolowernear,autocargolowerred,autocargopoints,autocargototal,autocargoupperblue,autocargoupperfar,autocargouppernear,autocargoupperred,autopoints,autotaxipoints,endgamepoints,foulcount,foulpoints,matchcargototal,rp,techfoulcount,teleopcargolowerblue,teleopcargolowerfar,teleopcargolowernear,teleopcargolowerred,teleopcargopoints,teleopcargototal,teleopcargoupperblue,teleopcargoupperfar,teleopcargouppernear,teleopcargoupperred,teleoppoints,totalpoints,
frc5641,8.68,8.92,0.00,-0.12,0.15,0.44,-0.27,0.27,0.09,0.12,-0.12,-0.17,0.07,1.62,1.35,0.64,-0.36,1.31,3.88,0.24,0.00,1.70,0.68,0.69,1.55,5.00,3.79,-0.48,-0.25,-0.14,0.04,5.63,8.56,
frc5538,2.00,11.09,0.00,-0.05,-0.08,-0.19,0.13,-0.86,-0.30,-0.03,-0.21,0.24,-0.13,0.58,1.44,-0.64,0.16,-0.05,1.05,0.04,0.00,-0.14,-0.15,0.65,-0.01,2.06,1.35,0.34,0.38,0.36,-0.08,1.42,1.94,
frc3568,13.94,9.12,0.00,-0.01,0.11,0.31,0.40,1.59,0.82,0.06,-0.15,0.09,0.02,3.42,1.83,4.93,0.05,-0.17,5.55,0.40,0.00,0.01,1.26,1.19,1.27,5.70,4.73,-0.05,0.11,0.20,0.74,10.63,13.88,
frc6067,8.19,11.87,0.00,0.25,0.17,0.10,0.32,1.90,0.90,0.08,0.10,-0.04,-0.08,3.52,1.62,4.12,-0.16,0.72,1.78,0.28,0.00,-0.17,0.56,0.87,0.67,-0.28,0.88,-0.27,-0.51,-0.27,0.01,3.85,8.09,
frc1506,27.35,11.32,0.00,-0.18,0.13,0.11,-0.08,4.76,1.20,0.28,0.55,0.36,0.03,6.62,1.86,1.87,0.30,0.56,10.31,1.34,0.00,-0.52,-0.12,-0.07,0.41,18.31,9.11,2.05,3.36,2.51,1.50,20.18,27.37,
frc6091,5.21,17.87,0.00,-0.02,0.07,0.17,0.18,-0.77,0.03,-0.17,-0.18,-0.03,0.01,1.62,2.39,2.49,-0.00,1.07,1.24,-0.24,0.00,0.24,0.29,1.02,0.51,-0.08,1.21,-0.21,-0.08,-0.41,-0.16,2.41,5.09,
frc5084,30.20,17.05,0.00,0.38,0.99,0.53,0.18,4.54,2.19,0.07,0.06,-0.19,0.16,6.65,2.11,13.94,0.21,0.47,12.68,1.90,0.00,2.67,3.11,2.16,3.00,9.83,10.49,-0.02,-0.37,0.15,-0.22,23.77,30.89,
frc815,8.73,16.61,0.00,0.00,0.09,-0.08,0.21,2.05,0.65,-0.15,0.05,0.42,0.10,3.54,1.49,0.10,0.22,1.16,2.54,-0.16,0.00,-0.50,-0.10,0.40,-0.11,3.94,1.88,0.32,0.60,0.62,0.65,4.03,8.73,
frc5234,10.84,2.97,0.00,0.37,0.07,0.36,0.24,2.14,1.07,-0.09,0.07,-0.04,0.09,4.24,2.09,1.04,0.34,-0.92,6.93,0.42,0.00,1.87,0.87,1.29,1.04,6.51,5.87,0.30,-0.01,0.50,-0.00,7.54,10.86,
frc2145,5.75,14.82,0.00,-0.08,0.01,0.00,0.02,0.68,0.17,0.41,-0.05,-0.19,0.04,1.91,1.23,6.50,-0.21,-0.14,-1.00,0.60,0.00,0.33,-0.01,-0.27,0.01,-2.64,-1.17,-0.24,-0.18,-0.48,-0.34,3.86,5.63,
frc8193,7.11,5.74,0.00,0.05,-0.12,-0.10,0.24,2.80,0.74,0.16,0.37,0.17,-0.02,4.16,1.35,-0.49,-0.01,0.68,2.52,0.34,0.00,0.23,0.00,0.44,-0.18,2.86,1.78,0.73,0.26,0.78,-0.50,2.37,7.21,
frc5561,11.17,13.05,0.00,-0.02,0.26,0.06,0.25,-0.54,0.07,0.08,-0.20,-0.25,-0.12,1.04,1.58,7.11,-0.12,-0.36,1.89,0.71,0.00,0.43,0.10,-0.09,0.12,3.30,1.82,-0.27,0.52,0.28,0.72,10.41,11.09,
frc494,38.20,15.94,0.00,-0.02,0.05,-0.14,0.01,7.10,1.63,0.21,0.45,0.74,0.34,9.33,2.23,12.54,0.36,-0.60,9.13,1.77,0.00,0.74,-0.34,-0.38,-0.45,17.61,7.49,2.53,1.86,1.82,1.73,30.14,38.88,
frc5114,27.64,9.70,0.00,-0.01,-0.05,-0.05,0.03,11.22,2.78,0.42,0.77,0.85,0.82,12.94,1.72,7.43,-0.14,0.44,6.16,1.21,0.00,-0.24,0.02,-0.20,0.52,6.45,3.38,0.98,0.05,1.26,0.99,13.88,27.25,
frc6610,4.85,27.74,0.00,0.59,0.33,0.00,0.16,2.41,1.15,-0.03,0.19,-0.11,0.01,4.04,1.63,0.94,0.00,-1.63,3.43,-0.63,0.00,1.21,0.69,0.96,0.31,1.60,2.29,-0.11,-0.26,-0.28,-0.25,2.54,4.96,
frc8774,6.39,7.82,0.00,0.05,-0.08,0.25,0.01,1.79,0.53,0.10,0.03,0.17,-0.01,3.22,1.43,1.62,0.40,1.49,0.59,0.49,0.00,-0.17,0.14,0.16,0.03,0.13,0.06,0.18,-0.24,0.16,-0.21,1.75,6.45,
frc4994,18.84,7.61,0.00,0.07,0.10,0.21,-0.01,0.82,0.40,0.05,0.12,-0.19,0.04,2.25,1.43,12.61,-0.07,0.17,2.70,1.13,0.00,0.42,0.16,0.81,-0.63,3.86,2.30,0.64,0.28,0.14,0.49,16.47,18.89,
frc5260,15.85,9.06,0.00,0.06,0.41,0.23,0.00,2.14,0.81,0.16,-0.03,-0.04,0.02,3.76,1.62,6.63,0.01,0.94,4.47,0.57,0.00,0.60,0.45,0.89,1.25,4.48,3.66,0.10,0.14,0.35,-0.12,11.11,15.81,
frc5166,17.56,16.46,0.00,-0.00,0.19,0.10,-0.20,4.43,1.16,0.41,-0.08,0.19,0.55,5.98,1.55,4.74,0.43,0.97,3.96,0.76,0.00,-0.31,-0.03,-0.47,0.31,5.92,2.80,0.81,1.01,0.98,0.48,10.66,17.61,
frc4998,0.66,16.41,0.00,-0.03,0.40,0.03,-0.08,1.33,0.49,0.27,-0.11,0.09,-0.08,1.54,0.21,-2.87,0.04,-0.28,3.00,-0.37,0.00,0.88,1.36,1.09,-0.11,1.91,2.51,0.08,-0.01,-0.29,-0.49,-0.95,0.30,
frc8385,4.44,19.10,0.00,0.20,-0.09,-0.11,0.15,-0.54,-0.05,-0.14,0.04,-0.16,0.06,-0.28,0.26,3.71,-0.03,0.17,1.22,0.00,0.00,1.04,0.48,0.00,0.09,0.83,1.27,-0.19,0.38,-0.56,0.03,4.53,4.43,
